Key,SourceString,DevComment
"appearance_code","Appearance Code",""
"modal_selection","Selection",""
"selection_entry_none","None","This is a generic selection entry used, when nothing is selected (e.g. could be used for an entry in tattoo style, where no tattoos are present)."
"selection_entry_style","Style {Index}","This is a generic selection entry, that dynamically counts up (e.g. could be used, to list different hair styles)."
"selection_entry_type","Type {Index}","This is a generic selection entry, that dynamically counts up (e.g. could be used, to list different head types)."
"general","General",""
"body","Body",""
"body_basic","Basic",""
"body_basic_muscle_amount","Muscle Amount",""
"body_basic_weight","Body Fat",""
"body_basic_skin_color","Skin Color",""
"body_basic_skin_type","Skin Type","This category uses a 7-point scale describing skin type, ranging from dry (1) to shiny (7)."
"body_basic_skin_type_01","Dry","Scale 1/7"
"body_basic_skin_type_02","Smooth","Scale 2/7"
"body_basic_skin_type_03","Regular","Scale 3/7"
"body_basic_skin_type_04","Moist","Scale 4/7"
"body_basic_skin_type_05","Oily","Scale 5/7"
"body_basic_skin_type_06","Wet","Scale 6/7"
"body_basic_skin_type_07","Shiny","Scale 7/7"
"body_hair","Body Hair",""
"body_hair_amount","Hair Amount","This category uses a 5-point scale describing body hair amount, ranging from light (1) to extreme (5)."
"body_hair_amount_01","Light","Scale 1/5"
"body_hair_amount_02","Medium","Scale 2/5"
"body_hair_amount_03","Moderate","Scale 3/5"
"body_hair_amount_04","Heavy","Scale 4/5"
"body_hair_amount_05","Extreme","Scale 5/5"
"body_hair_color","Hair Color",""
"body_skin","Skin Details",""
"body_skin_scar_type","Scar Type","This category lists different scar types, based on intensity, age or cause."
"body_skin_scar_type_01","Light Scars",""
"body_skin_scar_type_02","Scars",""
"body_skin_scar_type_03","Fresh Scar",""
"body_skin_scar_type_04","Old Scar",""
"body_skin_scar_type_05","Burnt",""
"body_skin_freckle_amount","Freckle Amount",""
"body_skin_freckle_intensity","Freckle Intensity",""
"body_skin_vitiligo_intensity","Vitiligo Intensity",""
"head","Head",""
"head_face","Face Presets",""
"head_face_head_type","Head Type",""
"head_face_head_size","Head Size",""
"head_hair_detail","Hair Details",""
"head_hair_detail_combined","Match Details",""
"head_hair_detail_combined_true","Matched",""
"head_hair_detail_combined_false","Individual",""
"head_hair_detail_hair_color","Hair Color",""
"head_hair_detail_root_color","Root Color",""
"head_hair_detail_root_intensity","Root Intensity",""
"head_hair_detail_tip_color","Tip Color",""
"head_hair_detail_tip_intensity","Tip Intensity",""
"head_hair_detail_strand_color","Strand Color",""
"head_hair_detail_strand_intensity","Strand Intensity",""
"head_hair_style_hair_type","Hair Type","This category uses a 3-point scale describing hair texture, ranging from dull (1) to glossy (3)."
"head_hair_style_hair_type_01","Dull","Scale 1/3"
"head_hair_style_hair_type_02","Regular","Scale 2/3"
"head_hair_style_hair_type_03","Glossy","Scale 3/3"
"head_hair_style_hair_style","Hair Style",""
"head_beard_detail","Beard Details",""
"head_beard_detail_beard_color","Hair Color",""
"head_beard_detail_root_color","Root Color",""
"head_beard_detail_root_intensity","Root Intensity",""
"head_beard_detail_tip_color","Tip Color",""
"head_beard_detail_tip_intensity","Tip Intensity",""
"head_beard_detail_strand_color","Strand Color",""
"head_beard_detail_strand_intensity","Strand Intensity",""
"head_hair_style_beard_style","Beard Style",""
"face","Face",""
"face_eye_combined","Match Eyes",""
"face_eye_combined_true","Matched",""
"face_eye_combined_false","Individual",""
"face_eye_r","Eye Right",""
"face_eye_r_iris_size","Iris Size",""
"face_eye_r_pupil_size","Pupil Size",""
"face_eye_r_iris_color_main","Iris Main Color",""
"face_eye_r_iris_color_detail","Iris Detail Color",""
"face_eye_r_sclera_color","Sclera Color",""
"face_eye_l","Eye Left",""
"face_eye_l_iris_size","Iris Size",""
"face_eye_l_iris_color_main","Iris Main Color",""
"face_eye_l_iris_color_detail","Iris Detail Color",""
"face_eye_l_pupil_size","Pupil Size",""
"face_eye_l_sclera_color","Sclera Color",""
"face_detail_eyebrow","Face Details",""
"face_detail_eyebrow_color","Eyebrow Color",""
"face_detail_eyebrow_type","Eyebrow Type","This category lists different eyebrow types based on shape and thickness."
"face_detail_eyebrow_type_01","Medium Straight",""
"face_detail_eyebrow_type_02","Medium Angled",""
"face_detail_eyebrow_type_03","Wide Angled",""
"face_detail_eyebrow_type_04","Wide Tapered",""
"face_detail_eyebrow_type_05","Medium Tapered",""
"face_detail_eyebrow_type_06","Wide Straight",""
"face_detail_eyebrow_type_07","Wide Slanted",""
"face_detail_eyebrow_type_08","Tapered Slanted",""
"face_detail_eyebrow_type_09","Slim",""
"face_detail_eyebrow_type_10","Narrow",""
"face_detail_eyebrow_type_11","Slim Tapered",""
"face_detail_eyebrow_type_12","Slim Slanted",""
"face_detail_eyebrow_type_13","Slim Angled",""
"face_detail_eyebrow_type_14","Slim Short",""
"face_detail_eyebrow_type_15","Medium Wide",""
"face_detail_eyebrow_type_16","Medium Curved",""
"face_detail_eyelash_type","Eyelash Type","This category uses a 4-point scale describing eyelash length, ranging from short (1) to very long (4)."
"face_detail_eyelash_type_01","Short","Scale 1/4"
"face_detail_eyelash_type_02","Medium","Scale 2/4"
"face_detail_eyelash_type_03","Long","Scale 3/4"
"face_detail_eyelash_type_04","Very Long","Scale 4/4"
"face_anatomy","Anatomy Details",""
"face_anatomy_nose_depth","Nose Depth",""
"face_anatomy_nose_width","Nose Width",""
"face_anatomy_nose_height","Nose Height",""
"face_anatomy_nose_side_bend","Nose Bend",""
"face_anatomy_nose_up_bend","Nose Direction",""
"face_anatomy_eye_size","Eye Size",""
"face_anatomy_eye_distance","Eye Distance",""
"face_anatomy_eye_position","Eye Depth",""
"face_anatomy_eye_height","Eye Height",""
"face_anatomy_eye_rotation","Eye Rotation",""
"face_anatomy_jaw_position","Jaw Position",""
"accessories","Accessories",""
"accessories_tattoo","Tattoo",""
"accessories_tattoo_style","Tattoo Style","This category lists different tattoo styles based on different patterns."
