Key,SourceString,DevComment
"ba_bodyguard","Bodyguard",""
"ba_cutthroat","Cutthroat",""
"ba_highwayman","Highwayman",""
"ba_leader","Chief",""
"ba_leader_onetas","Onetas",""
"ba_marauder","Marauder",""
"ba_ragged","Wretch",""
"ba_ranger","Ranger",""
"ba_scoundrel","Scoundrel",""
"ba_trainee_ice","Ice Neophyte",""
"ba_trainee_lightning","Lightning Neophyte",""
"ba_trapper","Trapper",""
"ic_alchemist","Alchemist",""
"ic_alchemist_leader","Exalted Alchemist",""
"ic_brute","Brute",""
"ic_brute_leader","Massive Brute",""
"ic_crab","Crab",""
"ic_guard","Guardian",""
"ic_hunter","Mancatcher",""
"ic_hydromancer","Hydromancer",""
"ic_hydromancer_leader","Master Hydromancer",""
"ic_kingcrab","King Crab",""
"ic_kingcrab_leader","Emperor Crab",""
"ic_militia","Warrior",""
"ic_ranger","Hunter",""
"ic_shaman","Enchanter",""
"ic_shaman_leader","First Enchanter",""
"ic_trooper","Trooper",""
"un_skeleton_archer","Archer",""
"un_skeleton_evoker_fire","Evoker",""
"un_skeleton_evoker_ice","Evoker",""
"un_skeleton_evoker_lightning","Evoker",""
"un_skeleton_fighter","Fighter",""
"un_skeleton_guard","Guard",""
"un_skeleton_revenant_burning","Burning Revenant",""
"un_skeleton_revenant_frost","Frost Revenant",""
"un_skeleton_revenant_storm","Storm Revenant",""
"un_skeleton_warlock","Warlock",""
"un_skeleton_warrior","Warrior",""
"wl_boar","Boar",""
"wl_bomber_spider","Exploding Spider",""
"wl_cobra","Cobra",""
"wl_entangling_spider","Entangling Spider",""
"wl_giant_bat","Giant Bat",""
"wl_giant_eagle","Ravenous Eagle",""
"wl_horse","Horse",""
"wl_monstrous_boar","Monstrous Boar",""
"wl_poison_spider","Venomous Spider",""
"wl_snapping_turtle","Snapper",""
"wl_spitting_turtle","Spitter",""
"wl_swarming_spider","Swarming Spider",""
"wl_venomous_cobra","Venomous Cobra",""
"wl_wolf","Wolf",""
"wl_minyade","Minyade",""
"ne_accusing_shadow","Accusing Shadow",""
"ne_stalking_shadow","Stalking Shadow",""
"boss_pan","God of the Wild","follows prefix: boss_pan_prefix"
"miniboss_hippocampus","Devourer of the Lost","follows prefix: miniboss_hippocampus_prefix"
"miniboss_griffin","Scourge of Proti Island","follows prefix: miniboss_griffin_prefix"
"miniboss_aristomenes","King of Messenia","follows prefix: miniboss_aristomenes_prefix"
"miniboss_aristomenes_charioteer","Charioteer of Aristomenes","follows prefix: miniboss_aristomenes_charioteer_prefix"
"miniboss_aristomenes_champion","Champion of Aristomenes","follows prefix: miniboss_aristomenes_champion_prefix"
"miniboss_aristomenes_tactician","Tactician of Aristomenes","follows prefix: miniboss_aristomenes_tactician_prefix"
"boss_pan_prefix","Pan","followed by: boss_pan"
"miniboss_aristomenes_prefix","Aristomenes","followed by: miniboss_aristomenes"
"miniboss_aristomenes_champion_prefix","Otonia","followed by: miniboss_aristomenes_champion"
"miniboss_aristomenes_charioteer_prefix","Hyllus","followed by: miniboss_aristomenes_charioteer"
"miniboss_aristomenes_tactician_prefix","Tydeus","followed by: miniboss_aristomenes_tactician"
"miniboss_griffin_prefix","Appollonia the Terrible","followed by: miniboss_griffin"
"miniboss_hippocampus_prefix","Hippokampos","followed by: miniboss_hippocampus"
"unique_01_ff_mr","Feasts-On-Bones","Ichthian Leader at Lookout's Vantage - Spawn: ""01_ff_s_mr_spawn_encounter_elite"""
"unique_01_ff_hh_1","Bile-That-Burns","Ichthian Commader at ""Roadside Encampment"" - Spawn: ""01_ff_s_hh_spawn_hunt_ichthian_1"""
"unique_01_ff_hh_2","Scales-Like-Shell","Ichthian Commader at ""Foggy Hideout"" - Spawn: ""01_ff_s_hh_spawn_ichthian_2_hunt"""
"unique_01_ff_hh_3","Claws-Of-Crimson","Ichthian Commader at ""Butcher's Fort"" - Spawn: ""01_ff_s_hh_spawn_hunt_ichthian_3"""
"unique_01_ff_hh_4","Fist-That-Breaks","Ichthian Commader at ""Clifftop Outpost"" - Spawn: ""01_ff_s_hh_spawn_hunt_ichthian_4"""
"unique_01_ff_mh","Teeth-Like-Stone","Ichthian with Kaenas' sword - Spawn: ""01_ff_s_mh_kaenas_sword_thief_posse2"""
"unique_01_ff_ct","Mother Crab","The mother crab in ""Crab Threat"" - Spawn: ""01_ff_s_ct_spawn_reinforcements_king_crab"""
"ic_undead_trooper","Undead Trooper","Skeleton version of Ichthian Trooper"
"ic_undead_brute","Undead Brute","Skeleton version of Ichthian Brute"
"ic_undead_militia","Undead Warrior","Skeleton version of Ichthian Militia"
"ic_necromancer","Necromancer",""
"ic_commander","Commander",""
"miniboss_ichthian_general","King-of-Tides",""
"ne_empusa_punisher","Punisher",""
"ne_empusa_magistrate","Magistrate",""
"ne_empusa_archon","Archon",""
"ce_warrior","Warrior",""
"ce_archer","Archer",""
"ce_alpha","Alpha",""
"ce_chieftain","Chieftain",""
"ce_spirit_caller","Spirit Caller",""
"ce_hunter","Hunter",""
"miniboss_ichthian_general_prefix","Leader of the Ichthians",""
"miniboss_gryphon_ajax","Ajax the Magnificent",""
"miniboss_gryphon_ajax_title","Lord of the Skies",""
"boss_skylla","Skylla",""
"boss_skylla_title","Bane of Sailors",""
"unique_02_nb_m_if_old_ichthian","Eyes-of-Pearl",""
"unique_02_nb_m_if_old_ichthian_title","Ichthian Shaman",""
"bo_shieldbearer","Shieldbearer",""
"bo_axe_thrower","Axe Thrower",""
"bo_brawler","Brawler",""
"bo_geomancer","Geomancer",""
"bo_leader","Warlord",""
"ic_bruiser","Bruiser",""
"wl_hippokampos_foal","Hippokampos Foal",""
"wl_leech","Leech",""
"wl_hydro_boar","Hydrokapron",""
"miniboss_ghost_soldier_moirai_cave","Tauros",""
"miniboss_ghost_soldier_moirai_cave_title","Ancient Minoan King",""
"miniboss_ghost_cutthroat_moirai_cave","Klepton",""
"miniboss_ghost_cutthroat_moirai_cave_title","Cursed Temple Looter",""
"miniboss_undead_champion_moirai_cave","Dysepilogos",""
"miniboss_undead_champion_moirai_cave_title","Denier of Destiny",""
"wl_lion_male","Lion",""
"wl_lion_female","Lioness",""
"wl_scorpion_small","Scorpionling",""
"wl_scorpion_medium","Scorpion",""
"wl_crocolisk","Dryland Crocolisk",""
"ls_hoplite","Hoplite",""
"ls_juggernaught","Juggernaught",""
"ls_soldier","Soldier",""
"miniboss_centaur_champion_title","Centaur Champion",""
"boss_ixion","Ixion",""
"boss_ixion_title","The Punished King",""
"miniboss_centaur_champion","Skirion",""
"boss_skylla_minion","Skylla\'s Maw",""
"wl_scorpion_mother","Scorpion Broodmother",""
"boss_centaurus","Centaurus",""
"boss_centaurus_title","The First Centaur",""
"ic_mudcrab","Mud Crab",""
"miniboss_hippocampos_feral","Feral Hippokampos",""
"miniboss_flint_kicker","Flint Kicker",""
"miniboss_flint_kicker_title","Exiled Caller",""
"ce_charger","Charger",""
"ce_crusher","Crusher",""
"ce_ritualist","Ritualist",""
"ce_caller_storm","Storm Caller",""
"ce_caller_flame","Flame Caller",""
"ce_caller_plague","Plague Caller",""
"ce_captain","Captain",""
"miniboss_hippocampos_feral_title","Escaped Prisoner",""
"wl_frilled_lizard","Frilled Lizard",""
"ic_lightning_crab","Lightning Crab",""
"bo_feral","Feral Boarman",""
"bo_grunt","Grunt",""
"bo_fire_juggler","Fire Juggler",""
"bo_firemancer","Firemancer",""
"nc_initiate","Initiate",""
"nc_adept","Adept",""
"nc_punisher","Punisher",""
"nc_disciple","Disciple",""
"nc_blackguard","Blackguard",""
"nc_assassin","Assassin",""
"nc_priest","Priest",""
"nc_consecrator","Consecrator",""
"nc_arch_lector","Arch Lector",""
"wl_cobra_king","King Cobra",""
"wl_cobra_mother","Mother Cobra",""
"wl_diving_eagle","Giant Eagle",""
"wl_gust_eagle","Eagle",""
"wl_spider_mother","Broodmother",""
"wl_spider_hunter","Hunter Spider",""
"wl_spiderling","Spiderling",""
"hm_03_ap_spartan_captain","Spartan Captain",""
"hm_03_ap_spartan_captain_spear","Dypilos",""
"hm_03_ap_spartan_captain_sword","Aspimachos",""
"wl_crocolisk_wetland","Wetland Crocolisk",""
