Key,SourceString,DevComment
"da_cr_03_ap_m_cc_dynatoi_crowd_01_male.m_CreatureDesc.Name","Porte-flambeau",""
"da_cr_03_ap_m_cc_dynatoi_crowd_02_female.m_CreatureDesc.Name","Porte-flambeau",""
"da_cr_03_ap_m_cc_dynatoi_crowd_03_male.m_CreatureDesc.Name","Porte-flambeau",""
"da_cr_03_ap_m_cc_dynatoi_crowd_04_female.m_CreatureDesc.Name","Porte-flambeau",""
"da_cr_03_ap_m_cc_dynatoi_crowd_05_male.m_CreatureDesc.Name","Porte-flambeau",""
"da_cr_03_ap_m_cc_sophoi_crowd_01_female.m_CreatureDesc.Name","Centaure des Sophoi",""
"da_cr_ca_arena_path_crowd_Dynatos_Crowd_01_Male.m_CreatureDesc.Name","Porte-flambeau",""
"da_cr_ca_arena_path_crowd_Dynatos_Crowd_02_Female.m_CreatureDesc.Name","Porte-flambeau",""
"da_cr_ca_arena_path_crowd_Dynatos_Crowd_03_Male.m_CreatureDesc.Name","Porte-flambeau",""
"da_cr_ca_arena_path_crowd_Sophoi_Crowd_01_Female.m_CreatureDesc.Name","Centaure des Sophoi",""
"da_cr_ca_arena_path_crowd_Stone_Hoof_Crowd_01_Female.m_CreatureDesc.Name","Porte-flambeau",""
"da_cr_ca_arena_path_crowd_Stone_Hoof_Crowd_02_Male.m_CreatureDesc.Name","Porte-flambeau",""
"da_cr_ca_centaurus.m_CreatureDesc.Name","Centauros",""
"da_cr_ca_evil_lieutenant.m_CreatureDesc.Name","Skirion",""
"da_cr_ca_evil_lieutenant.m_CreatureDesc.Title","La Débandade",""
"da_cr_ca_friendly_lieutenant.m_CreatureDesc.Name","Thespios",""
"da_cr_ca_friendly_lieutenant_at_gate.m_CreatureDesc.NamePrefix","Thespios",""
"da_cr_ca_magic_ritual_shopkeeper.m_CreatureDesc.Name","Chaman des Sophoi",""
"da_cr_ca_melee_ritual_shopkeeper.m_CreatureDesc.Name","Chaman des Sophoi",""
"da_cr_ca_neutral_lieutenant.m_CreatureDesc.Name","Orestax",""
"da_cr_ca_neutral_lieutenant.m_CreatureDesc.Title","Le Bastion",""
"da_cr_03_ap_m_cc_pegea.m_CreatureDesc.Name","Pégée",""
"da_cr_03_ap_m_cc_selepos.m_CreatureDesc.Name","Sélépos",""
"da_cr_03_ap_m_ix_dia.m_CreatureDesc.Name","Dia",""
"da_cr_03_ol_s_hub_aglaia.m_CreatureDesc.Name","Aglaé",""
"da_cr_03_ol_s_hub_automaton.m_CreatureDesc.Name","Automate",""
"da_cr_03_ol_s_hub_daedalus_warrior_merchant.m_CreatureDesc.Name","Dédale",""
"da_cr_03_ol_s_hub_eurydice.m_CreatureDesc.Name","Eurydice",""
"da_cr_03_ol_s_hub_kedalion_general_merchant.m_CreatureDesc.Name","Kédalion",""
"da_cr_03_ol_s_hub_living_statue.m_CreatureDesc.Name","Statue vivante",""
"da_cr_03_ol_s_hub_medea_magic_merchant.m_CreatureDesc.Name","Médée",""
"da_cr_03_ol_s_hub_narcissus.m_CreatureDesc.Name","Narcisse",""
"da_cr_03_ol_s_hub_orion_hunter_merchant.m_CreatureDesc.Name","Orion",""
"da_cr_03_ol_s_hub_orpheus.m_CreatureDesc.Name","Orphée",""
"da_cr_scorpion_character_olympos.m_CreatureDesc.Title","Compagnon d'Orion",""
"da_cr_03_ap_m_cc_kyra.m_CreatureDesc.Name","Kyra",""
"da_cr_ce_tegea_beacon_noticer_01.m_CreatureDesc.Name","Porte-flambeau",""
"da_cr_ce_tegea_beacon_noticer_02.m_CreatureDesc.Name","Porte-flambeau",""
