Key,SourceString,DevComment
"bandit_gryphon_cult","Culte du Griffon","Bandits in Chapter 0, Intro"
"bandit_bronze_lions","Lions de bronze","Bandits in Chapter 1, Flooded Farmlands"
"ichthian_ichthians","Ichthien","Ichthians in Chapter 1, Flooded Farmlands [creature default]"
"undead_skeletons","Squelette","Basic Skeletons in Chapter 1, Flooded Farmlands [creature default]"
"turtle_giant","Tortue géante",""
"bandit_bandits","Bandit","Bandits undefined [creature default]"
"nemesis_empusa","Empuse","Nemesis goons in early chapters [creature default]"
"nemesis_tartaros","Gardes du Tartare","Nemesis goons in the late game"
"undead_gilded","Mort-doré","Golden varaint of skeletons, slightly stronger"
"centaur_centaurs","Centaure","Centaurs undefined"
"undead_zombie","Cadavre ambulant","Zombie variant of skeletons, slow but tough"
"bandit_ghosts","Marin noyé","Ghost Bandits in Chapter 2, Northern Beaches"
"bandit_kraken","Proches du Kraken","Bandits in Chapter 2, Northern Beaches"
"ichthian_pale","Ichthien pâle","Ichthians in Moirai Temple and Tartarus"
"Ichthian_coastal","Ichthien côtier","Ichthians in Chapter 2, Northern Beaches"
"titan_titanic","Titanique",""
"boarmen_boarman","Homme-sanglier","Boarmen undefined [creature default]"
"living_statues","Statue vivante","Statues undefined [creature default]"
"bandit_looters","Pillards","Bandits in Chapter 3, Arcadian Plains (rare, only name override)"
"undead_spartans_AP","Spartiate défunt","Event skeletons in Chapter 3, Arcadian Plains (rare, only name override)"
"bandit_lostsouls","Âmes perdues","Ghost Bandits in Chapter 3, Arcadian Plains (Ixion)"
"centaur_brandbearer","Centaure porte-flambeau","Centaurs in Chapter 3, Arcadian Plains [creature default]"
"centaur_sophoi","Sophoi","Peaceful centaurs in Chapter 3, Arcadian Plains"
"bandits_nemesis","Disciples de Némésis","Cultists in Chapter 4, Holy Grounds"
"bandit_mercs","Mercenaires du désert","Bandits in Chapter 4, Holy Grounds"
