Key,SourceString
"map_toggle_questlog","Focus Quest Log"
"map_toggle_portals","Focus Portals"
"map_zoom","Zoom"
"map_scroll","Move"
"generic_select","Select"
"generic_back","Back"
"inventory_special_drop","Drop"
"inventory_special_sell","Sell"
"inventory_special_store","Store"
"inventory_equip","Equip"
"inventory_unequip","Unequip"
"inventory_buy","Buy"
"inventory_special_withdraw","Take"
"tooltip_pick_up","Pick Up"
"masteries_spell_pick_up","Pick Up"
"masteries_modifier_level_up","Level Up"
"masteries_modifier_level_down","Level Down"
"generic_scroll","Scroll"
"generic_move","Move"
"masteries_spell_drop","Drop"
"masteries_modifier_slot","Slot"
"masteries_modifier_unslot","Unslot"
"character_selection_delete_character","Delete"
"character_selection_rotate","Rotate Character"
"credits_scroll_down","Down"
"credits_scroll_up","Up"
"generic_close","Close"
"map_focus_player","Focus Player"
