Key,SourceString,DevComment
"dialogue_option_1","Dialogue Option 1",""
"dialogue_option_2","Dialogue Option 2",""
"dialogue_option_3","Dialogue Option 3",""
"loot_tooltip_visibility","Loot Tooltip Visibility",""
"attributes","Attributes",""
"inventory","Inventory",""
"map","Map",""
"masteries","Masteries",""
"game_menu","Game Menu",""
"continue_dialogue","Continue Dialogue",""
"dialogue_option_4","Dialogue Option 4",""
"loot_plate_visibility","Loot Plate Visibility",""
"loot_plate_interactability","Loot Plate Interactability",""
"tooltip_advanced","Inspect","For now only the nested tooltips are implemented. Will be changed back to 'Show Advanced Tooltip' once the full functionality is present"
"hide_ui","Hide UI",""
