Key,SourceString,DevComment
"tooltip_equipped_note","Equipped","Shown on item comparison tooltips to say that this is the currently equipped item"
"tooltip_requirements","Requires:","Header line for item requirements in tooltips"
"tooltip_value","Value: {Gold}",""
"item_subline_levelsuffix","Lv {ItemLevel}","Optional {LevelSuffix} to insert into the item_subline"
"item_subline_quest_item","Quest Item","Quest items show this instead of the item_subline"
"comparison_other_item_prompt","Compare",""
"inventory","Inventory",""
"inventory_button_details","Details",""
"inventory_button_resources","Repository",""
"inventory_button_quest","Quest","Switch to Quest Inventory"
"inventory_button_sort","Sort",""
"inventory_button_regular_inventory","Equipment","Switch back to the normal inventory"
"inventory_character_summary","Level {CharacterLevel} - {CharacterClass}",""
"notification_inventory_full","Inventory Full",""
"gold","Gold",""
"item_armor","Armor","used to describe armor rating"
"item_damage","Damage","used to describe damage rating"
"item_category_weapon","Weapons",""
"item_category_armor","Armor",""
"item_category_talismans_and_shields","Talismans and Shields",""
"inventory_button_crafting","Crafting",""
"inventory_button_lore","Lore",""
"item_category_melee_weapons","Melee Weapons",""
"item_category_ranged_weapons","Ranged Weapons",""
"item_category_jewellery","Jewelry",""
"item_category_all","All Items",""
"item_category_buyback","Recently Sold",""
"caravan","Caravan",""
"tooltip_potion","Potion",""
"tooltip_atk_speed","Attack Speed",""
"item_healing","Healing",""
"item_recovery","Recovery",""
"magical_fragment","Magical Fragments",""
"currency","Currency",""
"tooltip_amount","Amount: {Amount}",""
"inventory_button_currencies","Currencies",""
"tooltip_potion_over_time","<b>{Amount}</> {Type} over <b>{Time}s</>",""
"tooltip_charges_cost","Costs <b>{Amount}</> of <b>{MaxAmount}</> Charges on use",""
"tooltip_potion_health_charge_gain","Gains Charges by dealing Damage",""
"tooltip_potion_energy_charge_gain","Gains <b>{Amount}</> Charge per <b>{Time}s</>",""
"rarity_common","Common",""
"rarity_epic","Epic",""
"rarity_infrequent","Infrequent",""
"rarity_legendary","Legendary",""
"rarity_magical","Magical",""
"rarity_rare","Rare",""
"item","Item",""
"item_subline_boss_remnant","Remnant",""
"item_rarity_unknown","Unknown",""
"equipment_slot_mainhand1","Main hand (I)",""
"equipment_slot_offhand1","Off-hand (I)",""
"equipment_slot_attachment","Attachment",""
"equipment_slot_mainhand2","Main hand (II)",""
"equipment_slot_offhand2","Off-hand (II)",""
"item_type_head","Head",""
"item_type_shoulder","Shoulders",""
"item_type_torso","Torso",""
"item_type_arm","Arms",""
"item_type_artifact","Artifact",""
"item_type_leg","Legs",""
"item_type_necklace","Necklace",""
"item_type_ring","Ring",""
"item_type_mount","Mount",""
"item_type_potion","Potion",""
"item_type_weapon","Weapon",""
"item_type_weapon_axe1h","1h Axe",""
"item_type_weapon_axe2h","2h Axe",""
"item_type_weapon_axe2h_light","2h Light Axe",""
