Key,SourceString,DevComment
"cha_hollowfang_name_01","Croc creux",""
"cha_hollowfang_name_02","Croc creux béni",""
"cha_hollowfang_name_03","Croc creux exalté",""
"cha_hollowessence_name_01","Essence éthérée",""
"cha_hollowessence_name_02","Essence éthérée bénie",""
"cha_hollowessence_name_03","Essence éthérée exaltée",""
"cha_glacialshard_name_01","Éclat glacial",""
"cha_glacialshard_name_02","Éclat glacial béni",""
"cha_glacialshard_name_03","Éclat glacial exalté",""
"cha_felineclaw_name_01","Griffe de félin",""
"cha_felineclaw_name_02","Griffe de félin bénie",""
"cha_felineclaw_name_03","Griffe de félin exaltée",""
"cha_equilibriumessence_name_01","Essence sombre",""
"cha_equilibriumessence_name_02","Essence sombre bénie",""
"cha_equilibriumessence_name_03","Essence sombre exaltée",""
"cha_cyclopseye_name_01","Œil de cyclope",""
"cha_cyclopseye_name_02","Œil de cyclope béni",""
"cha_cyclopseye_name_03","Œil de cyclope exalté",""
"cha_centaurhoof_name_01","Sabot de centaure",""
"cha_centaurhoof_name_02","Sabot de centaure béni",""
"cha_centaurhoof_name_03","Sabot de centaure exalté",""
"cha_boarhide_name_01","Peau de sanglier",""
"cha_boarhide_name_02","Peau de sanglier bénie",""
"cha_boarhide_name_03","Peau de sanglier exaltée",""
"cha_boarblood_name_01","Sang d'homme-sanglier",""
"cha_boarblood_name_02","Sang d'homme-sanglier béni",""
"cha_boarblood_name_03","Sang d'homme-sanglier exalté",""
"cha_leechbile_name_01","Bile de sangsue",""
"cha_leechbile_name_02","Bile de sangsue bénie",""
"cha_leechbile_name_03","Bile de sangsue exaltée",""
"cha_ichthianfin_name_01","Nageoire d'ichthyien",""
"cha_ichthianfin_name_02","Nageoire d'ichthyien bénie",""
"cha_ichthianfin_name_03","Nageoire d'ichthyien exaltée",""
"cha_lupineclaw_name_01","Griffe de loup",""
"cha_lupineclaw_name_02","Griffe de loup bénie",""
"cha_lupineclaw_name_03","Griffe de loup exaltée",""
"cha_marbleheart_name_01","Cœur de marbre",""
"cha_marbleheart_name_02","Cœur de marbre béni",""
"cha_marbleheart_name_03","Cœur de marbre exalté",""
"cha_mechanicalparts_name_01","Pièces mécaniques",""
"cha_mechanicalparts_name_02","Pièces mécaniques bénies",""
"cha_mechanicalparts_name_03","Pièces mécaniques exaltées",""
"cha_membranewings_name_01","Ailes membraneuses",""
"cha_membranewings_name_02","Ailes membraneuses bénies",""
"cha_membranewings_name_03","Ailes membraneuses exaltées",""
"cha_necroticbones_name_01","Os nécrotiques",""
"cha_necroticbones_name_02","Os nécrotiques bénis",""
"cha_necroticbones_name_03","Os nécrotiques exaltés",""
"cha_primalmagma_name_01","Magma primordial",""
"cha_primalmagma_name_02","Magma primordial béni",""
"cha_primalmagma_name_03","Magma primordial exalté",""
"cha_primaltempest_name_01","Tempête déchaînée",""
"cha_primaltempest_name_02","Tempête déchaînée bénie",""
"cha_primaltempest_name_03","Tempête déchaînée exaltée",""
"cha_pristineplumage_name_01","Plumage immaculé",""
"cha_pristineplumage_name_02","Plumage immaculé béni",""
"cha_pristineplumage_name_03","Plumage immaculé exalté",""
"cha_rigidcarapace_name_01","Carapace rigide",""
"cha_rigidcarapace_name_02","Carapace rigide bénie",""
"cha_rigidcarapace_name_03","Carapace rigide exaltée",""
"cha_spectralmatter_name_01","Matière spectrale",""
"cha_spectralmatter_name_02","Matière spectrale bénie",""
"cha_spectralmatter_name_03","Matière spectrale exaltée",""
"cha_torturedsoul_name_01","Âme torturée",""
"cha_torturedsoul_name_02","Âme torturée bénie",""
"cha_torturedsoul_name_03","Âme torturée exaltée",""
"cha_turtleshell_name_01","Carapace de tortue",""
"cha_turtleshell_name_02","Carapace de tortue bénie",""
"cha_turtleshell_name_03","Carapace de tortue exaltée",""
"cha_venomsac_name_01","Glande à venin",""
"cha_venomsac_name_02","Glande à venin bénie",""
"cha_venomsac_name_03","Glande à venin exaltée",""
"cha_vileichor_name_01","Ichor infect",""
"cha_vileichor_name_02","Ichor infect béni",""
"cha_vileichor_name_03","Ichor infect exalté",""
"cha_necroticbones_flavortext","Os provenant d'une créature morte-vivante.",""
"cha_membranewings_flavortext","Ailes d'une imposante créature volante.",""
"cha_boarblood_flavortext","Le sang d'un champion homme-sanglier particulièrement résistant.",""
"cha_hollowfang_flavortext","Le croc creux d'un monstre.",""
"cha_hollowessence_flavortext","L'âme rémanente d'un être éthéré.",""
"cha_glacialshard_flavortext","Un petit fragment de glace provenant d'un immense glacier.",""
"cha_felineclaw_flavortext","Une griffe lourde et mortelle.",""
"cha_cyclopseye_flavortext","L'œil arraché d'un cyclope géant et massif.",""
"cha_centaurhoof_flavortext","Le sabot d'un centaure agile.",""
"cha_equilibriumessence_flavortext","Un fragment d'énergie provenant de forces opposées.",""
"cha_boarhide_flavortext","La peau tannée d'un sanglier sauvage.",""
"cha_leechbile_flavortext","Une sécrétion infecte provenant d'une sangsue géante.",""
"cha_ichthianfin_flavortext","La nageoire d'un ichthyien mort.",""
"cha_lupineclaw_flavortext","Une griffe longue et acérée.",""
"cha_marbleheart_flavortext","Le cœur d'une statue vivante.",""
"cha_mechanicalparts_flavortext","Les rouages complexes d'un automate.",""
"cha_primalmagma_flavortext","Lave magique prélevée sur une créature de feu.",""
"cha_primaltempest_flavortext","Tempête magique animée prélevée sur une créature de foudre.",""
"cha_pristineplumage_flavortext","Des plumes de haute qualité.",""
"cha_rigidcarapace_flavortext","L'épaisse carapace extérieure d'un monstre.",""
"cha_spectralmatter_flavortext","Une substance vaporeuse et luminescente.",""
"cha_torturedsoul_flavortext","L'âme d'une créature tourmentée par Némésis.",""
"cha_turtleshell_flavortext","Une grande carapace de tortue.",""
"cha_venomsac_flavortext","Contient un poison mortel.",""
"cha_vileichor_flavortext","Un amas répugnant de pus, de sang et de bile.",""
