Key,SourceString,DevComment
"ar_knight_nameAdjective_t1","Lourd",""
"ar_knight_nameAdjective_t2","Hipparque",""
"ar_knight_nameAdjective_t3","Seigneur des chevaux",""
"ar_knight_nameAdjective_t4","Mastodonte",""
"ar_fighter_nameAdjective_t1","Moyen",""
"ar_fighter_nameAdjective_t2","Hoplite",""
"ar_fighter_nameAdjective_t3","Officier",""
"ar_fighter_nameAdjective_t4","Gladiateur",""
"ar_bmage_nameAdjective_t1","Incrusté",""
"ar_bmage_nameAdjective_t2","Plaqué",""
"ar_bmage_nameAdjective_t3","Protecteur",""
"ar_bmage_nameAdjective_t4","Blindé",""
"ar_rogue_nameAdjective_t1","De lin",""
"ar_rogue_nameAdjective_t2","Psilos",""
"ar_rogue_nameAdjective_t3","D'escarmouche",""
"ar_rogue_nameAdjective_t4","Thorakitos",""
"ar_paladin_nameAdjective_t1","Orné",""
"ar_paladin_nameAdjective_t2","Phylake",""
"ar_paladin_nameAdjective_t3","Enchanté",""
"ar_paladin_nameAdjective_t4","Gardien",""
"ar_sorcerer_nameAdjective_t1","Sophiste",""
"ar_sorcerer_nameAdjective_t2","Magos",""
"ar_sorcerer_nameAdjective_t4","Doré",""
"ar_sorcerer_nameAdjective_t3","De soie",""
"ar_bmage_nameMain_arms","Bandelettes",""
"ar_bmage_nameMain_legs","Bottes",""
"ar_bmage_nameMain_head","Calotte",""
"ar_bmage_nameMain_torso","Chiton",""
"ar_bmage_nameMain_shoulder","Cape",""
"ar_knight_nameMain_legs","Cnémides",""
"ar_rogue_nameMain_legs","Bottes",""
"ar_rogue_nameMain_arms","Brassards",""
"ar_knight_nameMain_arms","Bracelets",""
"ar_rogue_nameMain_torso","Corselet",""
"ar_knight_nameMain_torso","Cuirasse",""
"ar_rogue_nameMain_shoulder","Spallières",""
"ar_knight_nameMain_shoulder","Épaulières",""
"ar_rogue_nameMain_head","Calotte",""
"ar_knight_nameMain_head","Heaume",""
"ar_fighter_nameMain_head","Casque",""
"ar_pala_nameMain_head","Heaume",""
"ar_sorc_nameMain_head","Chaperon",""
"ar_sorc_nameMain_shoulder","Cape",""
"ar_fighter_nameMain_shoulder","Spallières",""
"ar_pala_nameMain_shoulder","Épaulières",""
"ar_sorc_nameMain_arms","Bandelettes",""
"ar_fighter_nameMain_arms","Brassards",""
"ar_pala_nameMain_arms","Bracelets",""
"ar_sorc_nameMain_legs","Bottes",""
"ar_pala_nameMain_legs","Cnémides",""
"ar_fighter_nameMain_legs","Cnémides",""
"ar_sorc_nameMain_torso","Chiton",""
"ar_fighter_nameMain_torso","Thorax",""
"ar_pala_nameMain_torso","Cuirasse",""
"ar_bmage_flufftext","Un Magos est passé maître dans les arts magiques secrets, y compris la sorcellerie, et sait comment s'en protéger.",""
"ar_sorc_flufftext","Des robes légères tissées dans un tissu fin, brodées de symboles magiques.",""
"ar_rogue_flufftext","Armure légère offrant une mobilité maximale, privilégiée par les voleurs et les éclaireurs.",""
"ar_pala_flufftext","Conçue sur le modèle de l'armure de la garde royale de Sparte pour offrir une protection contre la magie divine.",""
"ar_knight_flufftext","Appréciée par la cavalerie lourde pour dévier les flèches et absorber les coups d'épée.",""
"ar_fighter_flufftext","L'équipement du soldat. Offre un bon compromis entre protection et liberté de mouvement.",""
"ar_startinggear_nameMain_torso","Tunique",""
"ar_jewelry_default_nameMain_ring","Bague",""
"ar_jewelry_default_nameMain_neck","Pendentif",""
"ar_jewelry_default_nameAdjective_mgt","En fer",""
"ar_jewelry_default_nameAdjective_agi","D'ambre",""
"ar_jewelry_default_nameAdjective_knl","En or",""
"ar_gambling_all_nameAdjective","Mystère",""
"ar_jewelry_ring_flavortext_mgt","Éraflée et rayée, mais toujours aussi solide.",""
"ar_jewelry_ring_flavortext_agi","L'ambre est importée des lointaines terres du nord.",""
"ar_jewelry_ring_flavortext_knl","Vaut assez pour payer des funérailles.",""
"ar_jewelry_neck_flavortext_mgt","Froid et rugueux au toucher.",""
"ar_jewelry_neck_flavortext_agi","L'ambre a un poids réconfortant.",""
"ar_jewelry_neck_flavortext_knl","Brille sous le soleil.",""
