Key,SourceString,DevComment
"axe2h_normal_winged_t4_nameMain","Hache",""
"axe2h_normal_winged_t4_nameAdjective","Du Minotaure",""
"axe2h_normal_winged_t3_nameMain","Couperet",""
"axe2h_normal_winged_t3_nameAdjective","Double",""
"axe2h_normal_winged_t2_nameMain","Labrys",""
"axe2h_normal_winged_t2_nameAdjective","",""
"axe2h_normal_winged_t1_nameMain","Hache",""
"axe2h_normal_winged_t1_nameAdjective","Double","Split names into Adjective+Main if 'Fire' etc sounds ok in between rather than in front."
"axe2h_normal_bearded_t4_nameMain","Couperet bovin",""
"axe2h_normal_bearded_t4_nameAdjective","",""
"axe2h_normal_bearded_t3_nameMain","Hache de guerre",""
"axe2h_normal_bearded_t3_nameAdjective","",""
"axe2h_normal_bearded_t2_nameMain","Sagaris",""
"axe2h_normal_bearded_t2_nameAdjective","",""
"axe2h_normal_bearded_t1_nameMain","Hache",""
"axe2h_normal_bearded_t1_nameAdjective","Longue",""
"axe2h_normal_all_flavortext","Autrefois réservée aux cérémonies, la hache est devenue une arme populaire depuis la chute de Sparte.",""
"axe2h_light_glaive_t4_nameMain","Faux de guerre",""
"axe2h_light_glaive_t4_nameAdjective","",""
"axe2h_light_glaive_t3_nameMain","Falx",""
"axe2h_light_glaive_t3_nameAdjective","",""
"axe2h_light_glaive_t2_nameMain","Rhomphaïa",""
"axe2h_light_glaive_t2_nameAdjective","",""
"axe2h_light_glaive_t1_nameMain","Bardiche","Found in the base affixe in /affixes/implicits"
"axe2h_light_glaive_t1_nameAdjective","",""
"axe2h_light_all_flavortext","Une lame montée sur hampe qui mise sur la finesse plutôt que sur la force.","Found in the weapon file in /items"
"axe2h_magic_all_t4_nameMain","Tranchant glaciaire",""
"axe2h_magic_all_t4_nameAdjective","",""
"axe2h_magic_all_t3_nameMain","Couperet de cristal",""
"axe2h_magic_all_t3_nameAdjective","",""
"axe2h_magic_all_t2_nameMain","Hache de Borée",""
"axe2h_magic_all_t2_nameAdjective","",""
"axe2h_magic_all_t1_nameMain","Hache de Borée","should not drop T1"
"axe2h_magic_all_t1_nameAdjective","",""
"axe2h_magic_all_flavortext","Imprégnée d'un cœur de glace.",""
"axe1h_normal_all_flavortext","Les haches offrent un bon équilibre entre vitesse et puissance.","Found in the weapon file in /items"
"axe1h_normal_winged_t1_nameAdjective","","Split names into Adjective+Main if 'Fire' etc sounds ok in between rather than in front."
"axe1h_normal_winged_t1_nameMain","Pelekys","Found in the base affixe in /affixes/implicits"
"axe1h_normal_winged_t2_nameAdjective","À deux têtes",""
"axe1h_normal_winged_t2_nameMain","Hache",""
"axe1h_normal_winged_t3_nameAdjective","Ailée",""
"axe1h_normal_winged_t3_nameMain","Hache",""
"axe1h_normal_winged_t4_nameAdjective","Cérémonielle",""
"axe1h_normal_winged_t4_nameMain","Hache",""
"axe1h_normal_nemo_t1_nameAdjective","",""
"axe1h_normal_nemo_t1_nameMain","Hachette",""
"axe1h_normal_nemo_t2_nameAdjective","",""
"axe1h_normal_nemo_t2_nameMain","Hache à lame foliacée",""
"axe1h_normal_nemo_t3_nameAdjective","",""
"axe1h_normal_nemo_t3_nameMain","Hache de bataille",""
"axe1h_normal_nemo_t4_nameAdjective","Doré",""
"axe1h_normal_nemo_t4_nameMain","Couperet",""
"axe1h_normal_bearded_t1_nameAdjective","",""
"axe1h_normal_bearded_t1_nameMain","Hachoir",""
"axe1h_normal_bearded_t2_nameAdjective","Barbu",""
"axe1h_normal_bearded_t2_nameMain","Hachereau",""
