Key,SourceString,DevComment
"suffix_1_AilmentChanceOnUse.TooltipText","On use Gain  +30% increased Ailment Chance for 3 seconds",""
"suffix_1_CleanseChilledBurning.TooltipText","Cleanses all Chilled and Burning effects on use",""
"suffix_1_CleansePlaguedShocked.TooltipText","Cleanses all Plagued and Shocked effects on use",""
"suffix_1_CleanseStaggerBleed.TooltipText","Cleanses all Staggered and Bleeding effects on use.",""
"suffix_1_MaximumEnergyOnUse.TooltipText","On use gain +50 Maximum Energy for 5 seconds",""
"suffix_1_MovespeedOnPotion.TooltipText","On use gain 25% increased Movement speed for 1 second",""
"suffix_0_LessMagicalShieldingCost.TooltipText","{Value}% less Magical Shielding cost",""
"suffix_0_PerAilmentRes.TooltipText","{Value}% Resistance to Ailments",""
"suffix_0_PerAllPetResistances.TooltipText","Summons have {Value}|fmt(sign=true)% to All Resistances","for Summons_AddRes_All"
"suffix_0_PerCritAilmentMod.TooltipText","{Value}% increased Ailment Chance on Crit",""
"suffix_0_PerDmgReflectedToAttacker.TooltipText","{Value}% Damage Reflected to Attacker",""
"suffix_0_PerEnergyCostReduction.TooltipText","{Value}% Energy cost reduction",""
"suffix_0_PerIncreasedAbilityHealing.TooltipText","{Value}% increased Healing received from Abilities",""
"suffix_0_PerIncreasedAilmentEffectChance.TooltipText","{Value}% increased Ailment Secondary Effect Chance",""
"suffix_0_PerIncreasedDmgAgainstBeastmen.TooltipText","{Value}% increased Damage against Beastmen",""
"suffix_0_PerIncreasedDmgAgainstBeasts.TooltipText","{Value}% increased Damage against Beasts",""
"suffix_0_PerIncreasedDmgAgainstHumanoids.TooltipText","{Value}% increased Damage against Humanoids",""
"suffix_0_PerIncreasedDmgAgainstUndeads.TooltipText","{Value}% increased Damage against the Undead",""
"suffix_0_PerIncreasedHealthGainFromLifeDrain.TooltipText","{Value}% increased Health gained from Life Drain Damage",""
"suffix_0_PerIncreasedLootValue.TooltipText","{Value}|fmt(sign=true)%increased Loot value",""
"suffix_0_PerIncreasedPowerToEarthActives.TooltipText","{Value}% increased power to Earth Active Skills",""
"suffix_0_PerIncreasedPowerToRogueActives.TooltipText","{Value}% increased power to Rogue Active Skills",""
"suffix_0_PerIncreasedPowerToStormActives.TooltipText","{Value}|fmt(sign=true)% power to Storm Active Skills",""
"suffix_0_PerIncreasedPowerToWarfareActives.TooltipText","{Value}% increased Power to Warfare Active Skills",""
"suffix_0_PerLessDmgFromBeastmen.TooltipText","{Value}% less Damage from Beastmen",""
"suffix_0_PerLessDmgFromBeasts.TooltipText","{Value}% less Damage from Beasts",""
"suffix_0_PerLessDmgFromHumanoids.TooltipText","{Value}% less Damage from Humanoids",""
"suffix_0_PerLessDmgFromUndeads.TooltipText","{Value}% less Damage from Undeads",""
"suffix_0_PerMorePetHealthAndArmor.TooltipText","Summons have {Value}% increased Health","for Summons_PerIncreasedHealth"
"suffix_0_PerOfShieldedDmgGainedAsEnergy.TooltipText","{value}% of Shielded damage gained as Energy",""
"suffix_0_PerOfShieldedDmgGainedAsHealth.TooltipText","{value}% of Shielded damage gained as Health",""
