Key,SourceString,DevComment
"prefix_0_x3_PerWeaponAilmentChance.TooltipText","Unique: {Value}|fmt(sign=true)% Base Weapon Ailment Chance",""
"prefix_1_MoreDmgWildlife_Quadrupeds.TooltipText","Unique: 30% More Damage to Boars, Wolves and Lions",""
"suffix_1_MoreDmgT4+.TooltipText","Unique: {Value}% More Damage to enemy Heroes and Bosses",""
"suffix_1_Unique_AbilityTagEarth_Cooldown.TooltipText","Unique: 20% increased Cooldown Rate to Earth Skills",""
"suffix_1_Unique_AbilityTagLightning_LowerCosts.TooltipText","Unique: 30% Reduced Costs to Lightning Abilities",""
"suffix_1_Unique_AbilityTagStorm_LowerCosts.TooltipText","Unique: 15% Reduced Costs to Storm Skills",""
"suffix_1_Unique_AddedLifesteal_Physical.TooltipText","Unique: +2% Added base Lifesteal to Physical Damage",""
"suffix_1_Unique_Ailment_MaxStack_Bleeding.TooltipText","Unique: +2 Maximum Bleeding Stacks",""
"suffix_1_Unique_Ailment_MaxStack_Burning.TooltipText","Unique: +3 Maximum Burning Stacks",""
"suffix_1_Unique_Ailment_MaxStack_Chilled.TooltipText","Unique: +3 Maximum Chilled Stacks",""
"suffix_1_Unique_Ailment_MaxStack_Poison.TooltipText","Unique: +3 Maximum Plagued Stacks",""
"suffix_1_Unique_Ailment_MaxStack_Shocked.TooltipText","Unique: +3 Maximum Shocked Stacks",""
"suffix_1_Unique_ChannelAbilities_MSpeedOnEnd.TooltipText","Unique: After channeling for at least 1 second, gain 20% increased Movement Speed for 2 seconds after the ability ends",""
"suffix_1_Unique_IncreasedLifesteal.TooltipText","Unique: 30% Increased Lifesteal",""
"suffix_1_Unique_OnBarrierCast_Explosion_pierce.TooltipText","Unique: Activating Barrier inflicts Pierce Damage to enemies around you",""
"suffix_1_Unique_OnCrit_AddEnergy.TooltipText","Unique: On dealing a Critical Hit, recover 30 Energy. 3 seconds Cooldown",""
"suffix_1_Unique_OnHit_CooldownProgress_Dodge.TooltipText","Unique: Hitting an enemy with your Primary Attack reduces Dodge Cooldown by 10% of its remaining duration",""
"suffix_1_Unique_OnHit_Explosion_Fire_Chance.TooltipText","Unique: Hitting an enemy with your Primary Attack has a {value}% chance of causing a an explosion dealing Fire Damage in a 3m area around your target.",""
"suffix_1_Unique_OnHit_Explosion_PoisonPlague_Chance.TooltipText","Unique: Hitting an enemy with your Primary Attack has a 15% chance of causing an explosion in a 3m area, dealing Poison Damage with a 30% Ailment Chance.",""
"suffix_1_Unique_OnHit_GainRage_chance.TooltipText","Unique: 25% Chance to Gain 1 Rage when hitting with your Primary Attack",""
"suffix_1_Unique_OnHit_Lightning_ZapChance.m_Levels.TooltipText","Unique: Every 3 seconds, Hitting an Enemy with a Weapon Attack or a Lightning Skill causes Lightning Arcs to Hit all Enemies within a 4 meter Area around your target.",""
"suffix_1_Unique_OnHit_RainOfArrows_Chance.TooltipText","Unique: Hitting an enemy with your Primary Attack has a 5% chance of casting an unmodified Rain of Arrows",""
