Key,SourceString,DevComment
"ar_bmage_nameAdjective","Shaman",""
"ar_rogue_nameAdjective","Centaur",""
"ar_knight_nameAdjective","Brutish",""
"xx_knight_nameAdjective_MI","Outrider\'s",""
"xx_bmage_nameAdjective_MI","Spiritcaller\'s",""
"xx_rogue_nameAdjective_mi","Trapper\'s",""
"ar_bmage_nameMain_arms","Bracelets",""
"ar_bmage_nameMain_legs","Wrappings",""
"ar_bmage_nameMain_head","Mask",""
"ar_bmage_nameMain_torso","Robe",""
"ar_bmage_nameMain_shoulder","Cloak",""
"ar_knight_nameMain_legs","Jambart",""
"ar_rogue_nameMain_legs","Legpiece",""
"ar_rogue_nameMain_arms","Armbands",""
"ar_knight_nameMain_arms","Bracers",""
"ar_rogue_nameMain_torso","Vest",""
"ar_knight_nameMain_torso","Cuirass",""
"ar_rogue_nameMain_shoulder","Pads",""
"ar_knight_nameMain_shoulder","Pauldrons",""
"ar_rogue_nameMain_head","Cap",""
"ar_knight_nameMain_head","Skullcap",""
"xx_weapons_NameAdjective","Centaur","all non-Mis (monster infrequents)"
"wp_spear_normal_nameMain","Spear",""
"wp_bow_normal_nameMain","Bow",""
"wp_axe2h_normal_nameMain","Axe",""
"ar_rogue_flavortext","Leathers and furs grant centaurs basic protection while not hindering their superior mobility.","all"
"ar_bmage_flavortext","Centaur Spiritcallers are respected in their tribe as both capable warriors and powerful shamans.","all"
"ar_knight_flavortext","Iron armor as worn by the strongest centaur warriors, able to deflect frontal impacts at high speed.","all"
"wp_blunt2h_flavortext","Centaurs use their massive streangth to wield great weapons.",""
"wp_bow_normal_flavortext","A centaur greatbow, used for hunting on the plains.",""
"wp_blunt1h_normal_flavortextMI","A heavy and powerful weapon wielded by centaur champions.",""
"wp_dagger_normal_flavortext","A centaur\'s belt knife, heavy enough to fight with.",""
"wp_spear_normal_flavortext","A heavy spear usually used by centaur hunters.",""
"wp_spear_normal_flavortextMI","A fine spear used by distnguished centaur hunters.",""
"wp_sword_normal_flavortext","A brutal blade often wielded by centaur raiders.",""
"wp_throwing_heavy_flavortext","It takes great strength to toss a centaur weapon.",""
"wp_staff_poison_flavortext","Centaur shamans use this to sap strength from their foes.",""
"wp_shield_light_flavortextMI","A reinforced centaur shield, designed to deflect a rival\'s arrows.","all"
"wp_staff_fire_flavortext","A fiery staff used by Brandbearer spellcasters.",""
"wp_staff_spirit_flavortextMI","The voices of centaur ancestors speak through this wand.",""
"wp_shield_light_flavortext","Lightly built, yet sturdy enough to withstand a running impact.","all"
"wp_axe1h_normal_flavortext","A popular weapon and tool within the centaur ranks.",""
"wp_blunt1h_normal_flavortext","A crude yet powerful weapon often wielded by centaurs.",""
"wp_staff_magic_nameMainMI","Wand",""
"wp_axe2h_normal_flavortext","A large curved blade, perfect for cutting down foes on the run.",""
"wp_axe1h_normal_nameMain","Hatchet",""
"wp_sword_nameMain","Khopesh",""
"wp_dagger_normal_nameMain","Dagger",""
"wp_staff_magic_nameMain","Staff",""
"wp_blunt1h_normal_nameMain","Cudgel",""
"wp_blunt1h_normal_nameMainMI","Scepter",""
"wp_blunt2h_normal_nameMain","Mace",""
"wp_shield_light_nameMainMI","Buckler",""
"wp_shield_light_nameMain","Shield",""
"wp_throwing_heavy_nameMain","Tomahawk",""
