Key,SourceString,DevComment
"ar_fighter_nameAdjective","Seashell","specifically seashell"
"ar_pala_nameAdjective","Reefguard","toughest fish armor_"
"ar_sorc_nameAdjective","Fishbone","not so protective mage gear"
"ar_pala_nameAdjective_MI","Sharptooth",""
"ar_sorc_nameAdjective_MI","Sharptooth",""
"ar_fighter_nameAdjective_MI","Sharptooth",""
"ar_fighter_nameMain_head","Helmet",""
"ar_pala_nameMain_head","Helm",""
"ar_sorc_nameMain_head","Headdress",""
"ar_sorc_nameMain_shoulder","Cloak",""
"ar_fighter_nameMain_shoulder","Spaulders",""
"ar_pala_nameMain_shoulder","Pauldrons",""
"ar_sorc_nameMain_arms","Armbands",""
"ar_fighter_nameMain_arms","Armbands",""
"ar_pala_nameMain_arms","Bracers",""
"ar_sorc_nameMain_legs","Boots",""
"ar_pala_nameMain_legs","Greaves",""
"ar_fighter_nameMain_legs","Greaves",""
"ar_sorc_nameMain_torso","Vestment",""
"ar_fighter_nameMain_torso","Thorax",""
"ar_pala_nameMain_torso","Shell",""
"xx_weapons_NameAdjective","Ichthian","all non-Mis (monster infrequents)"
"wp_axe2h_normal_nameMain","Axe",""
"wp_axe2h_light_nameFullMI","Fume Scepter",""
"wp_blunt2h_normal_nameMain","Club",""
"wp_blunt2h_normal_nameFullMI","Benthic Whomper",""
"wp_bow_normal_nameMain","Bow",""
"wp_bow_normal_nameFullMI","Benthic Stinger",""
"wp_sword_normal_nameMain","Sword",""
"wp_sword_normal_nameFullMI","Rot-Cleaver",""
"wp_axe2h_normal_flavortext","Ichthian spike-sticks are brutal but effective weapons.",""
"wp_axe2h_light_flavortextMI","The gas in this scepter seems to make it lighter.",""
"wp_blunt2h_normal_flavortext","Ichthian spike-sticks are brutal but effective weapons.",""
"wp_bow_normal_flavortext","The limbs of this bow seem to be the ribs of a great fish.",""
"wp_bow_normal_flavortextMI","The limbs of this bow seem to be the ribs of a great fish.",""
"ar_sorc_flufftext","Smelly rags adorned with charms crafted out of various gems and sea creatures.",""
"ar_pala_flufftext","Bone armor blessed by ichthian witches to offer protection against strikes and curses alike.",""
"ar_fighter_flufftext","Crude armor of rope, bones and shells. Provides a mix of protection and freedom of movement.",""
"wp_spear_normal_flavortext","The perfect weapon for underwater hunting.",""
"wp_spear_normal_flavortextMI","Used by ichthians to hunt whales in deep, cold waters.",""
"wp_sword_normal_flavortext","The ichthians craft their weapons from the jawbones of sea beasts.",""
"wp_sword_normal_flavortextMI","A rotting but unexpectetly sharp slab of bone",""
"wp_spear_normal_nameMain","Spear",""
"wp_spear_normal_nameFullMI","Benthic Harpoon",""
"wp_sword_all_desctext","Relatively slow and heavy",""
"wp_thrown_normal_flavortext","Ichthian alchemists experiment on all sorts of creatures to tailor to their purposes.",""
"wp_thrown_normal_nameMain","Sea Urchins",""
"xx_weapons_flavorMagic","Only the gods know which dark powers gave the ichthians their magic.",""
"xx_weapons_flavorPoison","Ichthian alchemists have a fascination with poisonous fish, urchins, and arachnids.",""
"wp_shield_normal_nameFullMI","Nerite Shell",""
"wp_shield_normal_nameMain","Shield",""
"wp_shield_normal_flavortext","A jumble of mollusk-infested planks",""
"wp_shield_normal_flavortextMI","Crafted from a shell of enormous size.",""
"wp_staff_magic_nameMain","Staff",""
"wp_staff_magic_nameFullMI","Benthic Wand",""
"wp_talisman_nameMain","Concoction",""
