Key,SourceString,DevComment
"wp_bandit_dagger_flavortext","A thin dagger with an exceedingly sharp point.",""
"wp_bandit_blunt1h_flavortext","A cruel weapon used to shatter bones.",""
"wp_bandit_blunt2h_flavortext","Used by bandits to set both houses and enemies aflame.",""
"wp_skeleton_axe1h_flavor","An ancient axe infused with lightning.",""
"wp_skeleton_staff_flavortext","An ancient staff, taken from its skeletal master.",""
"wp_skeleton_axe2h_flavortext","An ancient polearm that relies on finesse rather than force.",""
"wp_bandit_dagger_nameMain_MI","Needle Blade",""
"wp_bandit_blunt1h_nameMain","Cudgel",""
"xx_bandit_all_nameAdjective_MI","Bandit",""
"wp_bandit_blunt2h_nameMain_MI","Raid Torch",""
"wp_bandit_bow_nameMain","Ranger Bow",""
"wp_skeleton_axe1h_nameMain","Hatchet",""
"xx_skeleton_all_nameAdjective_MI","Revenant",""
"wp_skeleton_staff_nameMain","Wand",""
