Key,SourceString,DevComment
"item_name_format","{Prefix}|empty(no=\""{Prefix} \""){Adjective}|empty(no=\""{Adjective} \""){DamageType}|empty(no=\""{DamageType} \""){ProperName}|remove_gender(){Suffix}|empty(no=\"" {Suffix}\"")",""
"damage_type_thermal_cold","Ice","In weapon name"
"damage_type_thermal_fire","Fire","In weapon name"
"damage_type_natural_lightning","Thunder","In weapon name"
"damage_type_natural_poison","Poison","In weapon name"
"damage_type_universal_true","True","In weapon name - never used!"
"damage_type_universal_spirit","Spirit","In weapon name"
"damage_type_universal_energydrain","Drain","In weapon name"
"damage_type_universal_vitalitydrain","Leech","In weapon name"
"damage_type_physical_pierce","","In weapon name - never used!"
"damage_type_physical_strike","","In weapon name - never used!"
