Key,SourceString,DevComment
"prefix_1_Potion_Energy.TitleText","Énergisant",""
"prefix_1_Potion_EnergyRegen.TitleText","Régénérateur",""
"prefix_1_Potion_Health.TitleText","Endurant",""
"prefix_1_Potion_Health.Levels(2).TitleText","Plein de vie",""
"prefix_1_Potion_Health.Levels(4).TitleText","du Survivant",""
"prefix_1_Potion_Health.Levels(6).TitleText","Vitalisant",""
"prefix_1_Potion_Health.Levels(8).TitleText","Permanent",""
"prefix_1_Potion_Health.Levels(10).TitleText","de l'Immortel",""
"prefix_1_Potion_HealthRegen.Levels(0).TitleText","Récupérateur",""
"prefix_1_Potion_HealthRegen.Levels(2).TitleText","Rajeunissant",""
"prefix_1_Potion_HealthRegen.Levels(4).TitleText","Restaurateur",""
"prefix_1_Potion_HealthRegen.Levels(6).TitleText","Renouvelant",""
"prefix_1_Potion_HealthRegen.Levels(8).TitleText","Régénérant",""
"prefix_1_Potion_HealthRegen.Levels(10).TitleText","Ressourçant",""
"prefix_1_ColdDmg.Levels(0).TitleText","Engourdissant",""
"prefix_1_ColdDmg.Levels(2).TitleText","Mordant",""
"prefix_1_ColdDmg.Levels(4).TitleText","Frigide",""
"prefix_1_ColdDmg.Levels(6).TitleText","Glaçant",""
"prefix_1_ColdDmg.Levels(8).TitleText","Glacial",""
"prefix_1_ColdDmg.Levels(10).TitleText","Arctique",""
"prefix_1_FireDmg.Levels(0).TitleText","Fumant",""
"prefix_1_FireDmg.Levels(2).TitleText","Flammoyant",""
"prefix_1_FireDmg.Levels(4).TitleText","Ardent",""
"prefix_1_FireDmg.Levels(6).TitleText","Flamboyant",""
"prefix_1_FireDmg.Levels(8).TitleText","Brûlant",""
"prefix_1_FireDmg.Levels(10).TitleText","Volcanique",""
"prefix_1_IncreasedTotalDmg.Levels(0).TitleText","du Tyran",""
"prefix_1_IncreasedTotalDmg.Levels(1).TitleText","du Tyran",""
"prefix_1_IncreasedTotalDmg.Levels(2).TitleText","du Tyran",""
"prefix_1_IncreasedTotalDmg.Levels(3).TitleText","du Tyran",""
"prefix_1_LightningDmg.Levels(0).TitleText","Statique",""
"prefix_1_LightningDmg.Levels(2).TitleText","Chargé",""
"prefix_1_LightningDmg.Levels(4).TitleText","Électrifié",""
"prefix_1_LightningDmg.Levels(6).TitleText","Crépitant",""
"prefix_1_LightningDmg.Levels(8).TitleText","Tonnant",""
"prefix_1_LightningDmg.Levels(10).TitleText","Fulminant",""
"prefix_1_MoreDmgElites.TitleText","Héroïque",""
"prefix_1_MoreDmgHumanoids.TitleText","Sanglant",""
"prefix_1_MoreDmgIchthians.TitleText","Tueur d'Ichthiens",""
"prefix_1_MoreDmgUndeads.TitleText","du Ravageur",""
"prefix_1_MoreDmgWildlife.TitleText","du Ravageur",""
"prefix_1_PerAllResistance.TitleText","Annulateur",""
"prefix_1_PerArmorValues.TitleText","Exalté",""
"prefix_1_PerBleedAndPoisonRes.TitleText","Tenace",""
"prefix_1_PerColdRes.TitleText","Résistant",""
"prefix_1_PerFireRes.TitleText","Résistant",""
