Key,SourceString,DevComment
"suffix_1_AilmentChanceOnUse.TitleText","of Affliction","will be removed"
"suffix_1_CleanseChilledBurning.TitleText","of Purification",""
"suffix_1_CleansePlaguedShocked.TitleText","of Purification",""
"suffix_1_CleanseStaggerBleed.TitleText","of Purification",""
"suffix_1_MaximumEnergyOnUse.TitleText","of Affluence",""
"suffix_1_MovespeedOnPotion.TitleText","of Escape",""
"suffix_0_LessMagicalShieldingCost.TitleText","of Warding",""
"suffix_0_PerAilmentRes.TitleText","of the Gorgon",""
"suffix_0_PerAllPetResistances.TitleText","of Breeding",""
"suffix_0_PerCritAilmentMod.TitleText","of Viciousness",""
"suffix_0_PerDmgReflectedToAttacker.TitleText","of Retaliation",""
"suffix_0_PerEnergyCostReduction.TitleText","of Efficiency",""
"suffix_0_PerIncreasedAbilityHealing.TitleText","of Healing",""
"suffix_0_PerIncreasedAilmentEffectChance.TitleText","of Aggravation",""
"suffix_0_PerIncreasedDmgAgainstBeastmen.TitleText","of Monster Slaying",""
"suffix_0_PerIncreasedDmgAgainstBeasts.TitleText","of Huntsmanship",""
"suffix_0_PerIncreasedDmgAgainstHumanoids.TitleText","of Bounty Hunting",""
"suffix_0_PerIncreasedDmgAgainstUndeads.TitleText","of Necromancy",""
"suffix_0_PerIncreasedHealthGainFromLifeDrain.TitleText","of the Bat",""
"suffix_0_PerIncreasedLootValue.TitleText","of the Collector",""
"suffix_0_PerIncreasedPowerToEarthActives.TitleText","of Hephaistos",""
"suffix_0_PerIncreasedPowerToRogueActives.TitleText","of Thanatos",""
"suffix_0_PerIncreasedPowerToStormActives.TitleText","of Aeolus",""
"suffix_0_PerIncreasedPowerToWarfareActives.TitleText","of Enyo",""
"suffix_0_PerLessDmgFromBeastmen.TitleText","of the Labyrinth",""
"suffix_0_PerLessDmgFromBeasts.TitleText","of the Glade",""
"suffix_0_PerLessDmgFromHumanoids.TitleText","of the Battlefield",""
"suffix_0_PerLessDmgFromUndeads.TitleText","of the Crypt",""
"suffix_0_PerMorePetHealthAndArmor.TitleText","of Servitude",""
"suffix_0_PerOfShieldedDmgGainedAsEnergy.TitleText","of Absorption",""
"suffix_0_PerOfShieldedDmgGainedAsHealth.TitleText","of Defiance",""
"suffix_0_PerPetLifesteal.TitleText","of Convocation",""
"suffix_0_PerTargetMaxHealthRedOnHit.TitleText","of Harrowing",""
"suffix_1_Energy.Levels(0).TitleText","of Glimmers",""
"suffix_1_Energy.Levels(2).TitleText","of Scholars",""
"suffix_1_Energy.Levels(4).TitleText","of Wisdom",""
"suffix_1_Energy.Levels(6).TitleText","of Philosophers",""
"suffix_1_Energy.Levels(8).TitleText","of Sages",""
"suffix_1_Energy.Levels(10).TitleText","of Nyx",""
"suffix_1_EnergyBarrier.Levels(0).TitleText","of Wards",""
"suffix_1_EnergyBarrier.Levels(2).TitleText","of Shrouding",""
"suffix_1_EnergyBarrier.Levels(4).TitleText","of Sanctuary",""
"suffix_1_EnergyBarrier.Levels(6).TitleText","of the Aegis",""
"suffix_1_EnergyBarrier.Levels(8).TitleText","of Bulwarks",""
"suffix_1_EnergyBarrier.Levels(10).TitleText","of Athena",""
"suffix_1_EnergyRegenPerSecond.TitleText","of Recovery",""
"suffix_1_FreeBarrier.Levels(0).TitleText","of Guarding",""
"suffix_1_FreeBarrier.Levels(2).TitleText","of Shielding",""
"suffix_1_FreeBarrier.Levels(4).TitleText","of Warding",""
"suffix_1_FreeBarrier.Levels(6).TitleText","of Protection",""
"suffix_1_FreeBarrier.Levels(8).TitleText","of Blocking",""
"suffix_1_FreeBarrier.Levels(10).TitleText","of Bastions",""
"suffix_1_Health.Levels(0).TitleText","of Endurance",""
"suffix_1_Health.Levels(2).TitleText","of Life",""
"suffix_1_Health.Levels(4).TitleText","of Survival",""
"suffix_1_Health.Levels(6).TitleText","of Vitality",""
"suffix_1_Health.Levels(8).TitleText","of Permanence",""
"suffix_1_Health.Levels(10).TitleText","of Immortality",""
"suffix_1_HealthRegenPerSecond.Levels(0).TitleText","of Recovery",""
"suffix_1_HealthRegenPerSecond.Levels(2).TitleText","of Rejuvenation",""
"suffix_1_HealthRegenPerSecond.Levels(4).TitleText","of Restoration",""
"suffix_1_HealthRegenPerSecond.Levels(6).TitleText","of Renewal",""
"suffix_1_HealthRegenPerSecond.Levels(8).TitleText","of Regeneration",""
"suffix_1_HealthRegenPerSecond.Levels(10).TitleText","of Asklepios",""
"suffix_1_IncrAttackCastSpeed.Levels(0).TitleText","of Celerity",""
"suffix_1_IncrAttackCastSpeed.Levels(1).TitleText","of Momentum",""
"suffix_1_IncrAttackCastSpeed.Levels(2).TitleText","of Prowess",""
"suffix_1_IncrAttackCastSpeed.Levels(3).TitleText","of Mania",""
"suffix_1_IncrCritChance.TitleText","of Death",""
