Key,SourceString,DevComment
"wp_unique_dagger_t1_01_name","Fell Blade",""
"wp_unique_dagger_t1_01_flavortext","An sinister weapon premanently burning with unholy fire.",""
"wp_unique_dagger_t1_02_name","Trygon’s Tail",""
"wp_unique_dagger_t1_02_flavortext","The venomous tip of the lord of stingrays\' tail, which slew the hero Odysseus.",""
"wp_unique_dagger_t1_03_name","Heartpierce",""
"wp_unique_dagger_t1_03_flavortext","A tapering point with a singular purpose.",""
"wp_unique_dagger_t1_04_name","Mamertine Sap",""
"wp_unique_dagger_t1_04_flavortext","A small club used for knocking victims unconscious.",""
"wp_unique_dagger_t1_05_name","Katharsis",""
"wp_unique_dagger_t1_05_flavortext","A unique weapon, tempered by Zeus\'s thunderbolt. It crackles with energy.",""
"wp_unique_dagger_t1_q1_name","Pristine Blade",""
"wp_unique_dagger_t1_q1_flavortext","An implement for doing things right.",""
"wp_unique_dagger_t2_01_name","Spirit Blade","was ether"
"wp_unique_dagger_t2_01_flavortext","The blade seems to only partially exist in this world.",""
"wp_unique_dagger_t2_02_name","Stymphalian Talon",""
"wp_unique_dagger_t2_02_flavortext","Taken from the foot of a metallic bird.",""
"wp_unique_dagger_t2_03_name","Cuttlebone Knife",""
"wp_unique_dagger_t2_03_flavortext","This strange knife is covered in black ink.",""
"wp_unique_dagger_t2_04_name","Oath Breaker",""
"wp_unique_dagger_t2_04_flavortext","The blade was once shattered, to bury any memory of the dark role it played.",""
"wp_unique_dagger_t2_05_name","Icicle",""
"wp_unique_dagger_t2_05_flavortext","A magical ice crystal that radiates biting cold.",""
"wp_unique_dagger_t3_01_name","Dagger of Dawn",""
"wp_unique_dagger_t3_01_flavortext","",""
"wp_unique_dagger_t3_02_name","Kydoimos",""
"wp_unique_dagger_t3_02_flavortext","",""
"wp_unique_dagger_t3_03_name","Golden Kris",""
"wp_unique_dagger_t3_03_flavortext","",""
"wp_unique_dagger_t3_04_name","Zeus\' Touch",""
"wp_unique_dagger_t3_04_flavortext","",""
"wp_unique_dagger_t3_05_name","Shilish’s Skinner",""
"wp_unique_dagger_t3_05_flavortext","",""
"wp_unique_sword1h_t1_01_name","Soul Carver",""
"wp_unique_sword1h_t1_01_flavortext","A shining blade that wounds the spirit as much as the body.",""
"wp_unique_sword1h_t1_02_name","Sword of Peleus",""
"wp_unique_sword1h_t1_02_flavortext","A sword of superb quality, finely honed and well balanced.",""
"wp_unique_sword1h_t1_03_name","Atlantean Sabre","or coral"
"wp_unique_sword1h_t1_03_flavortext","A relic from a place of legends past.",""
"wp_unique_sword1h_t1_04_name","Bonesaw",""
