Key,SourceString
"00_in_ares_jar_description","An old jar, stoppered so tightly that it can\'t be opened."
"00_in_ares_jar_flavor","This jar is definitely talking..."
"00_in_ares_jar_name","Strange Jar"
"01_ff_kaenas_sword_description","This sword belonged to Kaenas, a warrior of Pyrgos."
"01_ff_kaenas_sword_flavor","A family heirloom sword, old but well-oiled and sharp."
"01_ff_kaenas_sword_name","Kaenas\'s Sword"
"01_ff_m_bs_militia_badge_description","This marks you as a member of the Pyrgos militia."
"01_ff_m_bs_militia_badge_flavor","A weathered iron pin, reused over the years."
"01_ff_m_bs_militia_badge_name","Militia Badge"
"01_ff_m_bs_quest_areion_charm_description","A charm containing the spirit of the divine horse Areion. A gift from your mentor, Aristonoe."
"01_ff_m_bs_quest_areion_charm_flavor","It\'s made from a metal you can\'t identify, and thrums with magical warmth."
"01_ff_m_bs_quest_areion_charm_name","Areion\'s Charm"
"01_ff_m_moc_dye_phial_description","Once Nemesis\'s divine tool, used to re-absorb her spent divine energy, the Moirai arranged for it to fall into your hands."
"01_ff_m_moc_dye_phial_flavor","It swirls with dark power that responds to your touch."
"01_ff_m_moc_dye_phial_name","Dye Phial"
"01_ff_m_vy_pan_horn_description","A piece of the God of the Wild’s horn, sliced off in combat."
"01_ff_m_vy_pan_horn_flavor","It pulses with strange power and smells of deep forests."
"01_ff_m_vy_pan_horn_name","Pan\'s Horn"
"01_ff_s_ct_trophy_description","A militia commander in the enclave will likely want to see this."
"01_ff_s_ct_trophy_flavor","A piece of a mother crab\'s shell. Crabs seem to be repulsed by it."
"01_ff_s_ct_trophy_name","Iridescent Crab Shell"
"01_ff_s_gns_snake_blood_description","The key ingredient in brewing a cure to a Gorgon snake\'s petrifying bite."
"01_ff_s_gns_snake_blood_flavor","The blood of a vanquished Gorgon snake."
"01_ff_s_gns_snake_blood_name","Gorgon Snake Blood"
"01_ff_s_gns_snakebite_cure_description","A potion that should cure a Gorgon snake\'s petrifying bite."
"01_ff_s_gns_snakebite_cure_flavor","A concoction made using the blood of a vanqished Gorgon Snake."
"01_ff_s_gns_snakebite_cure_name","Snake Bite Cure"
"01_ff_s_gs_statue_piece_head_description","A broken head piece of a larger statue that could be reassembled... if one had all the pieces."
"01_ff_s_gs_statue_piece_head_flavor","A sculpted stone likeness of the sea-god Glaukos... or, his head at least."
"01_ff_s_gs_statue_piece_head_name","Broken Statue Head"
"01_ff_s_gs_statue_piece_staff_description","A broken staff belonging to a larger statue that could be reassembled... if one had all the pieces."
"01_ff_s_gs_statue_piece_staff_flavor","The staff this stone likeness represents seems to have been fashioned from a boat\'s oar."
"01_ff_s_gs_statue_piece_staff_name","Broken Statue Staff"
