Key,SourceString
"rel_athena_name_01","Essence de l'Égide d'Athéna"
"rel_athena_name_02","Émanation de l'Égide d'Athéna"
"rel_athena_name_03","Incarnation de l'Égide d'Athéna"
"rel_athena_flavortext","L'Égide est le bouclier d'Athéna, déesse grecque de la guerre."
"rel_hephaistos_name_01","Essence de l'Enclume d'Héphaïstos"
"rel_hephaistos_name_02","Émanation de l'Enclume d'Héphaïstos"
"rel_hephaistos_name_03","Incarnation de l'Enclume d'Héphaïstos"
"rel_hephaistos_flavortext","Héphaïstos est le forgeron divin de l'Olympe. Son enclume est le cœur de ses créations."
"rel_archimedes_name_01","Essence du Miroir d'Archimède"
"rel_archimedes_name_02","Émanation du Miroir d'Archimède"
"rel_archimedes_name_03","Incarnation du Miroir d'Archimède"
"rel_archimedes_flavortext","Archimède fut l'un des plus grands philosophes et scientifiques de Grèce."
"rel_artemis_name_01","Essence de la Corde d'Artémis"
"rel_artemis_name_02","Émanation de la Corde d'Artémis"
"rel_artemis_name_03","Incarnation de la Corde d'Artémis"
"rel_artemis_flavortext","Artémis, déesse grecque de la chasse, est renommée pour son habileté à l'arc."
"rel_atalanta_name_01","Essence de la Beauté d'Atalante"
"rel_atalanta_name_02","Émanation de la Beauté d'Atalante"
"rel_atalanta_name_03","Incarnation de la Beauté d'Atalante"
"rel_atalanta_flavortext","Chasseresse de renom, Atalante accompagna les Argonautes dans leur quête de la Toison d'Or."
"rel_atlas_name_01","Essence de l'Endurance d'Atlas"
"rel_atlas_name_02","Émanation de l'Endurance d'Atlas"
"rel_atlas_name_03","Incarnation de l'Endurance d'Atlas"
"rel_atlas_flavortext","Après la guerre contre les dieux, le titan Atlas fut condamné à porter les cieux sur ses épaules pour l'éternité."
"rel_thanatos_name_01","Essence de la Lame de Thanatos"
"rel_thanatos_name_02","Émanation de la Lame de Thanatos"
"rel_thanatos_name_03","Incarnation de la Lame de Thanatos"
"rel_thanatos_flavortext","Thanatos, l'incarnation de la mort, porte une épée capable de déchirer l'âme même des simples mortels."
"rel_apollo_name_01","Essence de l'Arc d'Apollon"
"rel_apollo_name_02","Émanation de l'Arc d'Apollon"
"rel_apollo_name_03","Incarnation de l'Arc d'Apollon"
"rel_apollo_flavortext","Apollon est le dieu de la lumière et le frère jumeau d'Artémis ; son talent à l'arc n'a d'égal que celui de sa sœur."
"rel_charon_name_01","Essence de l'Obole de Charon"
"rel_charon_name_02","Émanation de l'Obole de Charon"
"rel_charon_name_03","Incarnation de l'Obole de Charon"
"rel_charon_flavortext","Charon est le passeur des Enfers, guidant les âmes à travers le fleuve Styx. Son obole est son symbole, une pièce garantissant un passage sûr à ceux qui en paient le prix."
"rel_tartaros_name_01","Essence du Froid du Tartare"
"rel_tartaros_name_02","Émanation du Froid du Tartare"
"rel_tartaros_name_03","Incarnation du Froid du Tartare"
"rel_tartaros_flavortext","Dans les abîmes les plus profonds des Enfers se trouve le Tartare. Froid comme la tombe et drapé de ténèbres, c'est ici que sont châtiés les mortels assez fous pour s'opposer aux dieux."
"rel_circe_name_01","Essence de la Baguette de Circé"
"rel_circe_name_02","Émanation de la Baguette de Circé"
