Key,SourceString,DevComment
"active_points","Points actifs",""
"passive_points","Points passifs",""
"mastery_tier","Palier : {Tier}",""
"modifier_details_title","Modificateurs",""
"modifier_details_available","Modificateurs disponibles",""
"feat_details_title","Prouesses",""
"feat_details_available","Prouesses disponibles",""
"capacity_tooltip_unlock","Déverrouillé au niveau de capacité {RequiredPoints}",""
"primary_mastery_pre_selection","Maîtrise 1","Label shown in the mastery screen for the first mastery before it was selected."
"secondary_mastery_pre_selection","Maîtrise 2","Label shown in the mastery screen for the second mastery before it was selected."
"notification_level_up","Niveau supérieur !",""
"mastery_choose","Choisissez une maîtrise","Title shown before a mastery to preview was selected."
"masteries_explanation","Choisissez les domaines de spécialisation de votre puissance divine. Quel type de héros deviendrez-vous ? Vous pouvez choisir deux maîtrises dans n'importe quel ordre et combiner leurs forces de manière unique. Chaque maîtrise peut être spécialisée au fil de votre progression.","This is where the concept of masteries is explained in a paragraph."
"mastery_earth_description","Les maîtres de la Terre exploitent les pouvoirs du feu et de la pierre des profondeurs pour façonner et embraser le champ de bataille, écrasant leurs ennemis et les livrant aux flammes.",""
"mastery_storm_description","Les maîtres de la Tempête contrôlent le champ de bataille en invoquant les forces de la foudre et de la glace pour s'abattre sur leurs ennemis, pouvant même incarner la tempête elle-même.",""
"mastery_warfare_description","Les maîtres de la Guerre excellent dans la confrontation directe, massacrant des armées entières sur le champ de bataille grâce à une variété d'armes et des tactiques audacieuses.",""
"mastery_rogue_description","Les Rôdeurs sont des maîtres de la précision, de la préparation et de l'esquive. Ils frappent les points faibles de leurs ennemis, utilisent des poisons, puis s'éloignent avant que l'adversaire n'ait une chance de riposter.",""
"mastery_earth_slogan","Pliez la terre elle-même à votre volonté !",""
"mastery_rogue_slogan","Frappez depuis les ombres !",""
"mastery_storm_slogan","Projetez la foudre du bout des doigts !",""
"mastery_warfare_slogan","Dominez le champ de bataille !",""
"mastery_earth","Terre",""
"mastery_rogue","Rôdeur",""
"mastery_warfare","Guerre",""
"mastery_storm","Tempête",""
"modifier_required_capacity","Capacité par rang",""
"mastery_respec_mode","Mode Respé",""
"refund_all","Tout rembourser","Tous les points de maîtrise passifs et actifs investis seront remboursés."
"mastery","Maîtrise",""
"masteries","Maîtrises",""
"modifier_rank","Rang",""
"mastery_confirm","Confirmer la maîtrise",""
"mastery_confirm_details","Êtes-vous sûr de vouloir choisir la maîtrise {Mastery} ?\r\nCe choix est irréversible.",""
"mastery_info","Info",""
"divinity","Divinité",""
"mastery_tier_cost_description","Divinité requise",""
"mastery_tier_title","Palier",""
"masteries_locked","Vous n'avez pas encore assez progressé dans l'histoire pour débloquer une maîtrise.",""
"core_mastery","Noyau",""
"modifier_requires","Requiert :",""
"modifier_incompatible","Incompatible :",""
"mastery_nomastery","Sans-bénédiction",""
"mastery_nomastery_slogan","Ni bénédictions. Ni miracles.",""
"mastery_nomastery_description","Ni bénédictions. Ni miracles. Juste de la force brute, une compétence durement acquise et la volonté d'endurer.",""
"mastery_combination_description_earth_rogue","Chasseurs silencieux forgés dans le feu et la pierre, les Traqueurs de cendres empoisonnent leurs proies tout en maniant le pouvoir destructeur des flammes et de la terre. Ils rôdent invisibles, posant des pièges de fureur ardente et frappant avec des coups mortels et calculés.",""
"mastery_combination_description_earth_storm","Commandants des forces élémentaires brutes, les Élémentalistes manient la puissance primordiale de la tempête et de la terre pour dévaster leurs ennemis. Des tempêtes de feu brûlantes aux éclairs crépitants, ils façonnent le champ de bataille avec une magie destructrice.",""
