Key,SourceString,DevComment
"Generic_Mod_EnhancedDamage_0Name","Dégâts améliorés",""
"Generic_Mod_EnhancedDamage_1Description","<b>{DmgMod_UI}|round()%</> de dégâts en plus.",""
"Generic_Mod_EnhancedAilment_0Name","Affliction améliorée",""
"Generic_Mod_EnhancedAilment_1Description","<b>{AilmentMod_UI}|round()%</> de <me_AilmentChance>Chances d'affliction</> en plus.\r\n<b>+{MPCostMod}|round()</> au coût en Énergie.",""
"Generic_Mod_EnhancedAilments_0Name","Afflictions améliorées",""
"Generic_Mod_EnhancedAilments_1Description","<b>+{AilmentMod_UI}|round()%</> de <me_AilmentChance>Chances d'affliction</>.",""
"Generic_Mod_EnhancedCriticalHit_0Name","Coup critique amélioré",""
"Generic_Mod_EnhancedCriticalHit_1Description","<b>{CritMod_UI}|floor()%</> de chances de <me_Critical>Coup critique</> en plus.",""
"Generic_Mod_EnhancedCriticalHits_0Name","Coups critiques améliorés",""
"Generic_Mod_EnhancedCriticalHits_1Description","<b>+{CritChanceMod_UI}|round()%</> de chances de <me_Critical>Coup critique</>.",""
"Generic_Mod_EnhancedArea_0Name","Zone améliorée",""
"Generic_Mod_EnhancedArea_1Description","Taille de la zone augmentée de <b>{AreaMod_UI}|round()%</>.",""
"Generic_Mod_EnhancedCriticalHitMP_1Description","<b>{CritMod_UI}|floor()%</> de chances de <me_Critical>Coup critique</> en plus.\r\n<b>+{MPCostMod}|round()</> au coût en Énergie.",""
"Generic_Mod_Fragmentation_0Name","Fragmentation",""
"Generic_Mod_Fragmentation_1Description","<b>{ConversionMod_UI}|round()%</> des dégâts convertis en <me_PierceDam>Dégâts de perforation</>.\nÀ l'impact, <b>{Chance_UI}|round()%</> de chances d'infliger de <b>{MinDmg}|floor()</> à <b>{MaxDmg}|floor()</> <me_PierceDam>Dégâts de perforation</> dans un rayon de <b>{Radius_UI}|fmt(min_frac=0,max_frac=1)m</> avec <b>{AilmentChance_UI}|fmt(min_frac=0,max_frac=1)%</> de <me_AilmentChance>Chances d'affliction</>.\n<b>+{MPCostMod}|round()</> au coût en Énergie.",""
"Generic_Mod_Fragmentation_2DescriptionShort","<b>{ConversionMod_UI}|round()%</> des dégâts convertis en <me_PierceDam>Dégâts de perforation</>.\nÀ l'impact, <b>{Chance_UI}|round()%</> de chances d'infliger de <b>{MinDmg}|floor()</> à <b>{MaxDmg}|floor()</> <me_PierceDam>Dégâts de perforation</> dans un rayon de <b>{Radius_UI}|fmt(min_frac=0,max_frac=1)m</> avec <b>{AilmentChance_UI}|fmt(min_frac=0,max_frac=1)%</> de <me_AilmentChance>Chances d'affliction</>.",""
"Generic_Mod_DoomBuilderRadius_0Name","Condamnation","unused"
"Generic_Mod_DoomBuilderRadius_1Description","Applique <b>{Doom}|floor()</> <me_Doom>Condamnation</> aux ennemis dans un rayon de <b>{Radius_UI}|fmt(min_frac=0,max_frac=1)m</>.","unused"
"Generic_Mod_DoomBuilderHit_0Name","Condamnation","unused"
"Generic_Mod_DoomBuilderHit_1Description","","unused"
"Generic_Mod_DoomSpenderDmg_0Name","Condamnation","unused"
"Generic_Mod_DoomSpenderDmg_1Description","Consomme <me_Doom>Condamnation</> sur la cible pour lui infliger <b>{DmgMod_UI}|fmt(min_frac=0,max_frac=1)%</> de dégâts en plus par cumul consommé.","unused"
"Generic_Mod_LongShotArea_0Name","Tir lointain",""
"Generic_Mod_LongShotArea_1Description","Inflige jusqu'à <b>{DmgMod_UI}|round()%</> de dégâts en plus selon la distance. Dégâts maximum à <b>{Distance_UI}|fmt(min_frac=0,max_frac=1)m</>.",""
"Generic_Mod_Conservation_0Name","Conservation",""
"Generic_Mod_Conservation_1Description","<b>{ReservedMPMod}|round()</> d'Énergie <me_Reserve>réservée</>.",""
"Generic_Mod_Siphon_0Name","Siphon",""
"Generic_Mod_Siphon_1Description","Les ennemis touchés subissent <b>{VitDot}|round()</> <me_VitalityDam>Dégâts de vitalité</> chaque seconde et ont <b>{ResRedMod_UI}|round()%</> de <me_Resistance>Résistance</> à la <me_VitalityDam>Vitalité</> en moins pendant <b>{Duration}|round()s</>.",""
"Generic_Mod_Blessing_BurstOfSpeed_0Name","Explosion de vitesse",""
"Generic_Mod_Blessing_BurstOfSpeed_1Description","Octroie une vitesse d'attaque et d'incantation augmentée de <b>{ActionSpdMod_UI}|round()%</>.\nEn cas d'utilisation directe, gagnez <b>{MSMod_UI}|round()%</> de vitesse de déplacement supplémentaire qui se dégrade en <b>{Duration}|fmt(min_frac=0,max_frac=1)s</>.",""
"Generic_Mod_Blessing_EnhancedAilment_0Name","Afflictions améliorées",""
"Generic_Mod_Blessing_EnhancedAilment_1Description","Tant qu'actif, octroie :\r\n<b>{AilmentChanceMod_UI}|round()%</> de <me_AilmentChance>Chances d'affliction</> augmentées\r\n<b>{AilmentPowerMod_UI}|round()%</> de <me_AilmentPower>Puissance d'affliction</> augmentée",""
"Generic_Mod_Blessing_EnhancedCriticalHit_0Name","Coups critiques améliorés",""
"Generic_Mod_Blessing_EnhancedCriticalHit_1Description","Tant qu'actif, octroie :\r\n<b>{CritChanceMod_UI}|round()%</> de chances de <me_Critical>Coup critique</> augmentées\r\n<b>+{CritDmgMod_UI}|round()%</> au <me_CritDamMult>Multiplicateur de dégâts</> de <me_Critical>Coup critique</>",""
"Generic_Mod_Blessing_EnhancedDuration_0Name","Durée améliorée",""
"Generic_Mod_Blessing_EnhancedDuration_1Description","Durée : <b>+{DurationMod}|fmt(min_frac=0,max_frac=1)s</>.",""
"Generic_Mod_Blessing_Frenzy_0Name","Frénésie",""
"Generic_Mod_Blessing_Frenzy_1Description","Octroie :\n<b>{DmgMod_UI}|round()%</> de dégâts totaux augmentés\nSubissez <b>{DmgResMod_UI}|round()%</> de dégâts en plus",""
"Generic_Mod_Blessing_DeadlyStrike_0Name","Frappe mortelle",""
"Generic_Mod_Blessing_DeadlyStrike_1Description","Octroie <b>{DmgMod_UI}|round()%</> de dégâts totaux augmentés supplémentaires\nDurée du temps de récupération réduite de <b>{BaseCDMod_UI}|round()%</>\nDurée réduite de <b>{DurationMod_UI}|round()%</>",""
"Generic_Mod_Blessing_DeadlyStrike_2DescriptionShort","Octroie <b>{DmgMod_UI}|round()%</> de dégâts totaux augmentés supplémentaires",""
