Key,SourceString,DevComment
"SWA_0Name","Attaque principale",""
"SWA_1Description","Attaquez avec votre arme en infligeant <b>{data.WeaponDmgScale_UI}|floor()%</> des dégâts de l'arme.\r\nÀ l'utilisation, gagnez <me_Overwhelm>Accablement</> tant qu'une compétence d'accablement est équipée.",""
"SWA_Mod_Tailwind_0Name","Vent arrière",""
"SWA_Mod_Tailwind_1Description","<b>+{ProjPenetration}|round()</> <me_Penetration>Pénétration de projectile</>.\r\n<b>{ProjSpeedMod_UI}|round()%</> de vitesse de projectile supplémentaire.\r\n<b>+{MPCostMod}|round()</> Energy Cost.\r\nÀ distance uniquement.","Projectiles <me_Penetration>penetrate</> <b>+{ProjPenetration}|round()</> target(s)."
"SWA_Mod_Tailwind_2DescriptionShort","<b>+{ProjPenetration}|round()</> <me_Penetration>Pénétration de projectile</>.\r\n<b>{ProjSpeedMod_UI}|round()%</> de vitesse de projectile supplémentaire.\r\nÀ distance uniquement.","Projectiles <me_Penetration>penetrate</> <b>+{ProjPenetration}|round()</> target(s)."
"SWA_Mod_Volley_0Name","Volée",""
"SWA_Mod_Volley_1Description","Vous avez <b>{Chance_UI}|round()%</> de chances de <me_FireDam>tirer</> <b>+{ProjMod}|round()</> projectiles supplémentaires en cône.\nLes projectiles additionnels infligent <b>{SideDmgMod_UI}|round()%</> de dégâts en moins et ont <b>{SideDmgMod_UI}|round()%</> de <me_AilmentChance>Chances d'affliction</> en moins.\n<b>+{MPCostMod}|round()</> Energy Cost.\nÀ distance uniquement.",""
"SWA_Mod_Volley_2DescriptionShort","Vous avez <b>{Chance_UI}|round()%</> de chances de <me_FireDam>tirer</> <b>+{ProjMod}|round()</> projectiles supplémentaires en cône.\nLes projectiles additionnels infligent <b>{SideDmgMod_UI}|round()%</> de dégâts en moins et ont <b>{SideDmgMod_UI}|round()%</> de <me_AilmentChance>Chances d'affliction</> en moins.\nÀ distance uniquement. ",""
"SWA_Mod_EnhancedAilment_0Name","Affliction améliorée",""
"SWA_Mod_EnhancedAilment_1Description","<b>+{AilmentAddMod_UI}|round()%</> de <me_AilmentChance>Chances d'affliction</> de base ajoutées.\n<b>{AilmentMoreMod_UI}|round()%</> de <me_AilmentChance>Chances d'affliction</> supplémentaires.\n<b>+{MPCostMod}|round()</> Energy Cost",""
"SWA_Mod_Punish_0Name","Punition",""
"SWA_Mod_Punish_1Description","<b>{DmgMod_UI}|round()%</> de dégâts supplémentaires contre les ennemis <me_Channel>canalisant</> ou incapacités.",""
"SWA_Mod_VitalityDrain_0Name","Drain de vitalité",""
"SWA_Mod_VitalityDrain_1Description","Inflige <b>{VitDmgMod_UI}|round()%</> des dégâts de l'arme en tant que <me_VitalityDam>Dégâts de vitalité</> bonus.",""
"SWA_Mod_Indomitable_0Name","Indomptable",""
"SWA_Mod_Indomitable_1Description","Au début de la capacité, vous devenez Indomptable pendant <b>{Duration}|fmt(min_frac=1,max_frac=1)s</>.\nIndomptable octroie <b>+{Armor}|round()</> d'<me_Armor>Armure</> ; si un ennemi vous touche à moins de <b>{Range_UI}|round()m</> de distance, infligez-lui <b>{WeaponDmgScale_UI}|round()%</> des dégâts de l'arme.\n<b>+{MPCostMod}|round()</> Energy Cost.\nMêlée uniquement.",""
"SWA_Mod_Indomitable_2DescriptionShort","Au début de la capacité, vous devenez Indomptable pendant <b>{Duration}|fmt(min_frac=1,max_frac=1)s</>.\nIndomptable octroie <b>+{Armor}|round()</> d'<me_Armor>Armure</> ; si un ennemi vous touche à moins de <b>{Range_UI}|round()m</> de distance, infligez-lui <b>{WeaponDmgScale_UI}|round()%</> des dégâts de l'arme.\nMêlée uniquement.",""
"SWA_Mod_Hamstring_0Name","Coup au jarret",""
"SWA_Mod_Hamstring_1Description","À l'impact, <me_Slow>ralentit</> les ennemis de <b>{Slow_UI}|round()%</> pendant <b>{SlowDuration}|fmt(min_frac=1,max_frac=1)s</>.\n<b>+{MPCostMod}|round()</> Energy Cost.\nMêlée uniquement.",""
"SWA_Mod_Hamstring_2DescriptionShort","À l'impact, <me_Slow>ralentit</> les ennemis de <b>{Slow_UI}|round()%</> pendant <b>{SlowDuration}|fmt(min_frac=1,max_frac=1)s</>.\nMêlée uniquement.",""
"SWA_Mod_Onslaught_0Name","Carnage",""
"SWA_Mod_Onslaught_1Description","Gagnez de la <me_Rage>Rage</> sur le premier ennemi touché.\n<b>{ASMod_UI}|fmt(min_frac=0,max_frac=1)%</> de vitesse d'attaque supplémentaire par <me_Rage>Rage</>.\n<b>+{MPCostMod}|round()</> Energy Cost.",""
"SWA_Mod_Onslaught_2DescriptionShort","Gagnez de la <me_Rage>Rage</> sur le premier ennemi touché.\n<b>{ASMod_UI}|fmt(min_frac=0,max_frac=1)%</> de vitesse d'attaque supplémentaire par <me_Rage>Rage</>.",""
"SWA_Mod_FireExplosion_0Name","Explosion de feu",""
"SWA_Mod_FireExplosion_1Description","<b>{ConversionMod_UI}|round()%</> des dégâts convertis en <me_FireDam>Dégâts de feu</>.\nÀ l'impact, <b>{Chance_UI}|round()%</> de chances d'infliger <b>{Dmg}|round()</> <me_FireDam>Dégâts de feu</> dans un rayon de <b>{Radius_UI}|fmt(min_frac=1,max_frac=1)m</> avec <b>{AilmentChance_UI}|round()%</> de <me_AilmentChance>Chances d'affliction</>.\n<b>+{MPCostMod}|round()</> Energy Cost.",""
"SWA_Mod_FireExplosion_2DescriptionShort","<b>{ConversionMod_UI}|round()%</> des dégâts convertis en <me_FireDam>Dégâts de feu</>.\nÀ l'impact, <b>{Chance_UI}|round()%</> de chances d'infliger <b>{Dmg}|round()</> <me_FireDam>Dégâts de feu</> dans un rayon de <b>{Radius_UI}|fmt(min_frac=1,max_frac=1)m</> avec <b>{AilmentChance_UI}|round()%</> de <me_AilmentChance>Chances d'affliction</>.",""
"SWA_Mod_HeavyImpact_0Name","Impact lourd",""
"SWA_Mod_HeavyImpact_1Description","<b>{ConversionMod_UI}%</> des dégâts convertis en <me_StrikeDam>Dégâts de frappe</>.\nÀ l'impact, <b>{Chance_UI}|round()%</> de chances d'infliger <b>{Dmg}|round()</> <me_StrikeDam>Dégâts de frappe</> dans un rayon de <b>{Radius_UI}|fmt(min_frac=1,max_frac=1)m</>.\n<b>+{MPCostMod}|round()</> Energy Cost.",""
"SWA_Mod_HeavyImpact_2DescriptionShort","<b>{ConversionMod_UI}%</> des dégâts convertis en <me_StrikeDam>Dégâts de frappe</>.\nÀ l'impact, <b>{Chance_UI}|round()%</> de chances d'infliger <b>{Dmg}|round()</> <me_StrikeDam>Dégâts de frappe</> dans un rayon de <b>{Radius_UI}|fmt(min_frac=1,max_frac=1)m</>.",""
"SWA_Mod_LightningStrike_0Name","Frappe de foudre",""
