Key,SourceString,DevComment
"RoilingMagma_0Name","Magma en fusion",""
"RoilingMagma_1Description","Tirez une large boule de magma qui explose au contact des ennemis ou des obstacles.\r\nInflige <b>{data.Damage}|round()</> <me_FireDam>Dégâts de feu</> dans un rayon de <b>{data.Radius_UI}|fmt(min_frac=1,max_frac=1)m</>.",""
"RoilingMagma_Mod_Fragmentation_0Name","Fragmentation",""
"RoilingMagma_Mod_Fragmentation_1Description","À l'explosion, la compétence projette <b>{ProjAmountMin}|floor()</> à <b>{ProjAmountMax}|floor()</> fragments de roche dans toutes les directions, infligeant <b>{Damage}|round()</> <me_PierceDam>Dégâts de perforation</> chacun.\n<b>+{MPCostMod}|round()</> Coût en énergie.",""
"RoilingMagma_Mod_Fragmentation_2DescriptionShort","À l'explosion, la compétence projette <b>{ProjAmountMin}|floor()</> à <b>{ProjAmountMax}|floor()</> fragments de roche dans toutes les directions, infligeant <b>{Damage}|round()</> <me_PierceDam>Dégâts de perforation</> chacun.",""
"RoilingMagma_Mod_Overload_0Name","Surcharge",""
"RoilingMagma_Mod_Overload_1Description","<b>{DmgMod_UI}|round()%</> de dégâts multipliés.\r\nRembourse <b>{MPRefundMod_UI}|round()%</> de l'énergie dépensée sur <b>{Duration}|fmt(min_frac=0,max_frac=1)s</>.\r\nGagnez <b>1</> <me_Overload>Surcharge</> par tranche de <b>30</> d'énergie dépensée.\r\n<b>+{MPCostMod}|round()</> Coût en énergie.",""
"RoilingMagma_Mod_Overload_2DescriptionShort","Rembourse <b>{MPRefundMod_UI}|round()%</> de l'énergie dépensée sur <b>{Duration}|fmt(min_frac=0,max_frac=1)s</>.\r\nGagnez <b>1</> <me_Overload>Surcharge</> par tranche de <b>30</> d'énergie dépensée.",""
"RoilingMagma_Mod_Overwhelm_0Name","Consommer l'Accablement",""
"RoilingMagma_Mod_Overwhelm_1Description","Consomme tout l'<me_Overwhelm>Accablement</> pour <b>{DmgMod_UI}|round()%</> de dégâts multipliés, <b>{DmgMod_UI}|round()%</> de <me_AilmentChance>Chances d'affliction</> multipliées, <b>{DmgMod_UI}|round()%</> de rayon de zone multiplié et <b>{ProjSpdMod_UI}|round()%</> de vitesse de projectile multipliée.\nTags: +<me_Overwhelm>Accablement</>",""
"RoilingMagma_Mod_Overwhelm_2DescriptionShort","Consomme tout l'Accablement pour <b>{DmgMod_UI}|round()%</> de dégâts multipliés, <b>{DmgMod_UI}|round()%</> de <me_AilmentChance>Chances d'affliction</> multipliées, <b>{DmgMod_UI}|round()%</> de rayon de zone multiplié et <b>{ProjSpdMod_UI}|round()%</> de vitesse de projectile multipliée.",""
"RoilingMagma_Mod_Grandeur_0Name","Grandeur",""
"RoilingMagma_Mod_Grandeur_1Description","L'explosion inflige <b>{DmgMod_UI}|fmt(min_frac=0,max_frac=1)%</> de l'énergie dépensée pour cette compétence en tant que <me_FireDam>Dégâts de feu</> additionnels.\r\n<b>+{MPCostMod_UI}|round()%</> de l'énergie actuelle en tant que coût en énergie.",""
"RoilingMagma_Mod_Vortex_0Name","Vortex",""
"RoilingMagma_Mod_Vortex_1Description","N'explose pas au contact des ennemis.\r\nInflige <b>{Damage}|round()</> <me_FireDam>Dégâts de feu</>\n toutes les <b>0,5s</> dans un rayon de <b>{Radius_UI}|fmt(min_frac=1,max_frac=1)m</>.\r\nLimite : <b>1</>.\r\nÀ l'utilisation, l'ancien orbe explose.\r\n<b>{ExplosionDmgMod_UI}|round()%</> de dégâts d'explosion en moins.\r\n<b>{ProjSpdMod_UI}|round()%</> de vitesse de projectile en moins.\r\n<b>{ProjRangeMod_UI}|round()%</> de portée de projectile en moins.",""
"RoilingMagma_Mod_EnhancedAilment_0Name","Affliction améliorée",""
"RoilingMagma_Mod_EnhancedAilment_1Description","<b>{AilmentMod_UI}|round()%</> de <me_AilmentChance>Chances d'affliction</> multipliées.\n<b>+{MPCostMod}|round()</> Coût en énergie.",""
"Fissure_0Name","Fissure",""
"Fissure_1Description","Fendez le sol devant vous pour infliger <b>{data.Damage}|round()</> <me_StrikeDam>Dégâts de frappe</> sur une ligne de <b>{data.Length_UI}|fmt(min_frac=0,max_frac=1)m</>.\r\nLa fissure persiste pendant <b>{data.Duration}|fmt(min_frac=0,max_frac=1)s</> et <me_Slow>ralentit</> les ennemis de <b>20%</>.\r\nConsomme tout l'<me_Overwhelm>Accablement</> pour <b>50%</> de dégâts multipliés.",""
"Fissure_Mod_LavaFissure_0Name","Fissure de lave",""
"Fissure_Mod_LavaFissure_1Description","<b>+{DurationMod}|fmt(min_frac=0,max_frac=1)s</> de durée de fissure.\r\nLa fissure se remplit de lave et inflige <b>{Damage}|round()</> <me_FireDam>Dégâts de feu</> toutes les <b>0,5s</> avec <b>{AilmentChance_UI}|round()%</> de <me_AilmentChance>Chances d'affliction</>.\r\n<b>+{MPCostMod}|round()</> Coût en énergie.",""
"Fissure_Mod_LavaFissure_2DescriptionShort","La fissure se remplit de lave et inflige <b>{Damage}|round()</> <me_FireDam>Dégâts de feu</>\n toutes les <b>0,5s</> avec <b>{AilmentChance_UI}|round()%</> de <me_AilmentChance>Chances d'affliction</>.",""
"Fissure_Mod_Shockwave_0Name","Onde de choc",""
"Fissure_Mod_Shockwave_1Description","Toucher un ennemi <me_Stun>étourdi</> déclenche une onde de choc infligeant <b>{Damage}|round()</> <me_StrikeDam>Dégâts de frappe</> dans un rayon de <b>{Radius_UI}|fmt(min_frac=1,max_frac=1)m</>.\r\n<b>+{MPCostMod}|round()</> Coût en énergie.",""
"Fissure_Mod_Shockwave_2DescriptionShort","Toucher un ennemi <me_Stun>étourdi</> déclenche une onde de choc infligeant <b>{Damage}|round()</> <me_StrikeDam>Dégâts de frappe</> dans un rayon de <b>{Radius_UI}|fmt(min_frac=1,max_frac=1)m</>.",""
"Fissure_Mod_SlamAttack_0Name","Attaque d'écrasement",""
"Fissure_Mod_SlamAttack_1Description","Transforme la compétence en une attaque d'écrasement au corps à corps infligeant <b>{WeaponDmg_UI}|round()%</> de dégâts d'arme avec <b>100%</> de vitesse d'arme et une portée de <b>6m</>.\r\nTags: +Attaque de mêlée\r\nRequiert : Hache, Épée, Lance ou Arme de mêlée contondante.",""
"Fissure_Mod_SlamAttack_4Ability_Description","Fendez le sol devant vous pour infliger <b>{data.WeaponDmg_UI}|round()%</> de dégâts d'arme en tant que <me_StrikeDam>Dégâts de frappe</> sur une ligne de <b>{data.Length_UI}|fmt(min_frac=0,max_frac=1)m</>.\r\nLa fissure persiste pendant <b>{data.Duration}|fmt(min_frac=0,max_frac=1)s</> et ralentit les ennemis de <b>20%</>.\r\nConsomme tout l'Accablement pour <b>50%</> de dégâts multipliés.\r\nRequiert : Hache, Épée, Lance ou Arme de mêlée contondante.",""
"Fissure_Mod_Spikes_0Name","Pointes",""
"Fissure_Mod_Spikes_1Description","<b>100%</> des dégâts de coup convertis en <me_PierceDam>Dégâts de perforation</>.\r\n<b>+{AilmentMod_UI}|round()%</> de <me_AilmentChance>Chances d'affliction</> de base ajoutées.\r\n<b>+{MPCostMod}|round()</> Coût en énergie.",""
"Fissure_Mod_StaggeringForce_0Name","Force déstabilisante",""
"Fissure_Mod_StaggeringForce_1Description","<b>{DmgMod_UI}|round()%</> de dégâts multipliés.\r\n<b>{StunChance_UI}|round()%</> de chances d'<me_Stun>Étourdir</> pendant <b>{StunDuration}|fmt(min_frac=0,max_frac=1)s</>.",""
"Fissure_Mod_StaggeringForce_2DescriptionShort","<b>{StunChance_UI}|round()%</> de chances d'<me_Stun>Étourdir</> pendant <b>{StunDuration}|fmt(min_frac=0,max_frac=1)s</>.",""
"Fissure_Mod_Interrupt_0Name","Interruption",""
"Fissure_Mod_Interrupt_1Description","Inflige <b>{DmgMod_UI}|round()%</> de dégâts multipliés contre les ennemis en <me_Channel>canalisation</>, les <me_Stun>étourdit</> pendant <b>1s</> et rembourse <b>{MPRefund_UI}|round()%</> de l'énergie dépensée.",""
"Fissure_Mod_AdditionalFissures_0Name","Fissures supplémentaires",""
"Fissure_Mod_AdditionalFissures_1Description","Crée <b>+{AreaCountMod}|round()</> fissures supplémentaires en cône.",""
"Fissure_Mod_AdditionalFissures_2DescriptionShort","Crée <b>+{AreaCountMod}|round()</> fissures supplémentaires en cône.",""
"Fissure_Mod_Overwhelm_0Name","Consommer l'Accablement",""
