Key,SourceString,DevComment
"GrandMagic_0Name","Grande magie",""
"GrandMagic_1Description","<b_gold>Niveau {CurrentLevel} :</>\n<b>{DmgCurrent}|floor()%</> de dégâts des sorts supplémentaires\n<b>+{MPCurrent}|floor()</> au maximum d'énergie\n\n<b_gold>Niveau {NextLevel} :</>\n<b>{DmgNext}|floor()%</> de dégâts des sorts supplémentaires\n<b>+{MPNext}|floor()</> au maximum d'énergie",""
"GrandMagic_Feat_Cost_0Name","Dégâts et coût des sorts",""
"GrandMagic_Feat_Cost_1Description","<b>30%</> de dégâts des sorts supplémentaires\n<b>10%</> de coût en énergie des sorts supplémentaire",""
"GrandMagic_Feat_Energy_0Name","Dégâts des sorts","unused"
"GrandMagic_Feat_Energy_1Description","Gagnez <b>1%</> de dégâts des sorts supplémentaires tous les <b>20</> points de maximum d'énergie","unused"
"GrandMagic_Feat_Overwhelm_0Name","Dégâts d'Accablement","unused"
"GrandMagic_Feat_Overwhelm_1Description","<b>20%</> de dégâts supplémentaires avec les sorts d'<me_Overwhelm>Accablement</>","unused"
"GrandMagic_Feat_Ailment_0Name","Chances d'affliction",""
"GrandMagic_Feat_Ailment_1Description","<b>30%</> de <me_AilmentChance>Chances d'affliction</> des sorts supplémentaires",""
"GrandMagic_Feat_Crit_0Name","Chances de coup critique",""
"GrandMagic_Feat_Crit_1Description","<b>30%</> de chances de <me_Critical>Coup critique</> des sorts supplémentaires",""
"EarthAttunement_0Name","Harmonie terrestre",""
"EarthAttunement_1Description","<b_gold>Niveau {CurrentLevel} :</>\n<b>{FireDmgCurrent}|floor()%</> de <me_FireDam>Dégâts de feu</> supplémentaires\n<b>{PhysDmgCurrent}|floor()%</> de <me_Physical>Dégâts physiques</> supplémentaires\n\n<b_gold>Niveau {NextLevel} :</>\n<b>{FireDmgNext}|floor()%</> de <me_FireDam>Dégâts de feu</> supplémentaires\n<b>{PhysDmgNext}|floor()%</> de <me_Physical>Dégâts physiques</> supplémentaires",""
"EarthAttunement_Feat_Weapon_0Name","Arme",""
"EarthAttunement_Feat_Weapon_1Description","<b>{WeaponDmg}%</> de dégâts d'arme <me_FireDam>de feu</> et <me_Physical>physiques</> supplémentaires\n<b>{AttackSpeed}%</> de vitesse d'attaque supplémentaire",""
"EarthAttunement_Feat_Spell_0Name","Sort",""
"EarthAttunement_Feat_Spell_1Description","<b>{SpellDmg}%</> de dégâts de sort <me_FireDam>de feu</> et <me_Physical>physiques</> supplémentaires\n<b>{CastSpeed}%</> de vitesse d'incantation supplémentaire",""
"EarthAttunement_Feat_Area_0Name","Zone",""
"EarthAttunement_Feat_Area_1Description","<b>15%</> de dégâts de zone supplémentaires.",""
"ArcaneAbundance_0Name","Abondance arcane",""
"ArcaneAbundance_1Description","<b_gold>Niveau {CurrentLevel} :</>\r\n<b>+{MPCurrent}|floor()</> au maximum d'énergie\r\n<b>{PerEnergyCurrent}|floor()%</> de maximum d'énergie supplémentaire\r\n\r\n<b_gold>Niveau {NextLevel} :</>\r\n<b>+{MPNext}|floor()</> au maximum d'énergie\r\n<b>{PerEnergyNext}|floor()%</> de maximum d'énergie supplémentaire",""
"ArcaneAbundance_Feat_Energy_0Name","Énergie",""
"ArcaneAbundance_Feat_Energy_1Description","<b>+30</> au maximum d'énergie\r\nDébloque <me_EtherShield>Bouclier d'éther</>\r\n\r\n<me_EtherShield>Bouclier d'éther</>\r\nTant que vous avez plus de 50% d'énergie, 10% des dégâts subis sont absorbés par l'énergie",""
"ArcaneAbundance_Feat_Cost_0Name","Coût",""
"ArcaneAbundance_Feat_Cost_1Description","<b>15%</> de maximum d'énergie supplémentaire\n<b>10%</> de coût des compétences supplémentaire",""
"ArcaneAbundance_Feat_Regen_0Name","Régénération",""
"ArcaneAbundance_Feat_Regen_1Description","Régénère <b>1%</> d'énergie par seconde",""
"Combustion_0Name","Combustion",""
"Combustion_1Description","<b_gold>Niveau {CurrentLevel} :</>\r\n<b>{DmgCurrent}|floor()%</> de <me_FireDam>Dégâts de feu</> supplémentaires\nLorsque vous tuez un ennemi <me_Burn>en flammes</>, vous avez 25% de chances de provoquer une explosion infligeant <b>{Dmg}|floor()</> <me_FireDam>Dégâts de feu</> dans un rayon de <b>{RadiusCurrent}|fmt(min_frac=1,max_frac=1)m</>.\r\n\r\n<b_gold>Niveau {NextLevel} :</>\r\n<b>{DmgNext}|floor()%</> de <me_FireDam>Dégâts de feu</> supplémentaires\nLorsque vous tuez un ennemi <me_Burn>en flammes</>, vous avez 25% de chances de provoquer une explosion infligeant <b>{Dmg}|floor()</> <me_FireDam>Dégâts de feu</> dans un rayon de <b>{RadiusNext}|fmt(min_frac=1,max_frac=1)m</>.",""
"Combustion_Feat_Radius_0Name","Rayon",""
"Combustion_Feat_Radius_1Description","L'explosion a un rayon de <b>+0,5m</>",""
"Combustion_Feat_Chance_0Name","Chances",""
"Combustion_Feat_Chance_1Description","<b>+10%</> de chances d'explosion",""
"Combustion_Feat_Damage_0Name","Dégâts",""
"Combustion_Feat_Damage_1Description","L'explosion a un rayon de <b>-0,5m</> et inflige <b>50%</> de dégâts multipliés",""
"ConcussiveForce_0Name","Force de percussion",""
"ConcussiveForce_1Description","<b_gold>Niveau {CurrentLevel} :</>\r\nDébloque <b>Étourdissement de déstabilisation</>\r\n<b>{PhysDmgCurrent}|floor()%</> de <me_Physical>Dégâts physiques</> supplémentaires\r\n<b>{StaggerChanceCurrent}|floor()%</> de chances d'<me_Stagger>Étourdissement</> supplémentaires\r\n<b>{PowerCurrent}|floor()%</> de <me_AilmentPower>Puissance</> d'<me_Stagger>Étourdissement</> supplémentaire\r\n<b>{StunDurationNext}|floor()%</> de durée d'<me_Stun>Étourdissement</> supplémentaire\r\n\r\n<b_gold>Niveau {NextLevel} :</>\r\nDébloque <b>Étourdissement de déstabilisation</>\r\n<b>{PhysDmgNext}|floor()%</> de <me_Physical>Dégâts physiques</> supplémentaires\r\n<b>{StaggerChanceNext}|floor()%</> de chances d'<me_Stagger>Étourdissement</> supplémentaires\r\n<b>{PowerNext}|floor()%</> de <me_AilmentPower>Puissance</> d'<me_Stagger>Étourdissement</> supplémentaire\r\n<b>{StunDurationNext}|floor()%</> de durée d'<me_Stun>Étourdissement</> supplémentaire\r\n\r\n<b>Étourdissement de déstabilisation</>\r\nLorsque vous appliquez un <me_Stagger>Étourdissement</>, vous avez +<b>1%</> de chances par cumul d'<me_Stagger>Étourdissement</> sur la cible de l'<me_Stun>Étourdir</> pendant <b>1,5</>s.",""
