Key,SourceString,DevComment
"Chains_0Name","Chains",""
"Chains_1Description","Throw chains in target direction. Deals {AbilityDamage[Dmg1]} and pulls enemies towards you.\r\nEnemies hit are <me_Stun>Stunned</> for <b>{dataDmg.HitStunDuration}s</>.\r\n\r\n<b>{Radius}|fmt(min_frac=0,max_frac=1)m</> radius. <b>{dataDmg.AngleTotal}°</> angle.\r\nChains also picks up <me_DivineCore>Divine Cores</> and Gold in the area.",""
"Chains_Mod_AdditionalChains_0Name","Additional Chains",""
"Chains_Mod_AdditionalChains_1Description","Throw additional chains for a <b>{AngleMod}°</> wider Angle.",""
"Chains_Mod_FreeChains_0Name","Free Chains",""
"Chains_Mod_FreeChains_1Description","Chains can be used while <me_Channel>Channeling</>",""
"Chains_Mod_RangedAttack_0Name","Ranged Attack",""
"Chains_Mod_RangedAttack_1Description","Instead throw the chains with your Ranged Weapon. Damage is 120% Weapon Damage instead. 50% Weapon Range.",""
"Chains_Mod_ScrapGeneration_0Name","Divine Core Generation",""
"Chains_Mod_ScrapGeneration_1Description","Enemies drop <b>{ScrapAmount}</> <me_DivineCore>Divine Cores</> on Hit",""
"Chains_Mod_WhirlingChains_0Name","Whirling Chains",""
"Chains_Mod_WhirlingChains_1Description","Chains are thrown in all directions. <b>{RadiusMod_UI}|round()%</> less radius.",""
"MetalWelding_0Name","Metal Welding",""
"MetalWelding_1Description","Reaches Stages every <b>{dataBase.ChargeTimePerStage}|fmt(min_frac=0,max_frac=1)s</> as you <me_Channel>Channel</>.\r\nGain <b>{dataBase.WeaponDmgMod_UI}|round()%</> increased Weapon Damage per stage for <b>{dataActive.DurationTotal}|fmt(min_frac=0,max_frac=1)s</> after the <me_Channel>channeling</> ends.\r\nCharge Time scales with <b>20%</> of your Attack and Cast Speed.",""
"MetalWelding_Mod_ArmorUp_0Name","Armor Up",""
"MetalWelding_Mod_ArmorUp_1Description","While active also grants <b>+{ArmorMod_UI}|round()</> <me_Armor>Armor</> per Stage",""
"MetalWelding_Mod_CooldownRefresh_0Name","Cooldown Refresh",""
"MetalWelding_Mod_CooldownRefresh_1Description","When you reach a stage, reduce the <me_Armor>Armor</> Eruption cooldown by <b>{ArmorEruption_CDMod}s</> and Chains Cooldown by <b>{Chains_CDMod}s</>",""
"MetalWelding_Mod_EnhancedWelding_0Name","Enhanced Welding",""
"MetalWelding_Mod_EnhancedWelding_1Description","<b>+{BuffMod_UI}%</> increased Weapon Damage per Stage\n<b>+{CostMod}</> <me_DivineCore>Divine Core</> Cost",""
"MetalWelding_Mod_ExtendedCharge_0Name","Extended Charge",""
"MetalWelding_Mod_ExtendedCharge_1Description","<b>+1</> Maximum Stage.\nWhen you gain a Stage, gain <me_Overwhelm>Overwhelm</>.",""
"MetalWelding_Mod_ExtendedDuration_0Name","Extended Duration",""
"MetalWelding_Mod_ExtendedDuration_1Description","When you release at maximum Stages, +<b>{DurationMod}s</> Duration",""
"MetalWelding_Mod_FastChannel_0Name","Fast Channel",""
"MetalWelding_Mod_FastChannel_1Description","<b>{SkillSpeedMod_UI}|round()%</> more Skill Speed",""
"MetalWelding_Mod_ScrapOnHit_0Name","Divine Cores On Hit",""
"MetalWelding_Mod_ScrapOnHit_1Description","While active, enemies hit by Weapon Attacks have a <b>{Chance_UI}%</> chance to drop <b>{ScrapAmount}</> <me_DivineCore>Divine Cores</>",""
"BladeTrap_0Name","Blade Trap",""
"BladeTrap_1Description","<me_Summon>Summon</> a trap with spinning blades.\r\n\r\nOn <me_Activation>Activation</> deals {dataSummonDmg.PierceDmgTotal}|floor() <me_PierceDam>Pierce Damage</> in a <b>{dataSummonDmg.Radius_UI}|fmt(min_frac=0,max_frac=1)m</> radius.\r\nAutomatically activates every <b>{dataActivation.ActivationIntervalTotal}|fmt(min_frac=0,max_frac=1)s</>.\r\n\r\nMaximum <me_Activation>Activations</>: <b>{dataActivation.ActivationMaxTotal}</>\r\nSummon Limit: <b>{dataSummon.SummonLimitTotal}</>\r\nIs destroyed when <me_Activation>Activations</> are depleted.",""
"Sentry_0Name","Sentry",""
"Sentry_1Description","<me_Summon>Summon</> a turret that fires bolts at the closest enemy.\r\n\r\nOn <me_Activation>Activation</> deals <b>{dataSummonDmg.PierceDmgTotal}|floor()</> <me_PierceDam>Pierce Damage</>.\r\nAutomatically activates every <b>{dataActivation.ActivationIntervalTotal}|fmt(min_frac=0,max_frac=1)s</>.\r\n\r\nMaximum <me_Activation>Activations</>: <b>{dataActivation.ActivationMaxTotal}</>\r\nSummon Limit: <b>{dataSummon.SummonLimitTotal}</>\r\nIs destroyed when <me_Activation>Activations</> are depleted.",""
"ArmorEruption_0Name","Armor Eruption",""
"ArmorEruption_1Description","Your <me_Armor>Armor</> explodes dealing {AbilityDamage[Dmg1]} in a <b>{dataDmg.Radius_UI}|fmt(min_frac=0,max_frac=1)m</> radius.\r\nYou shoot your <me_Armor>armor</> as metal shards in all directions dealing {AbilityDamage[Dmg2]} each.\r\n\r\nSkill Damage scales with <me_Armor>Armor</>.",""
"ArmorEruption_Mod_CooldownRefresh_0Name","Cooldown Refresh",""
"ArmorEruption_Mod_CooldownRefresh_1Description","When you hit an enemy with another active skill, reduce Cooldown by <b>{CDRed}|fmt(min_frac=0,max_frac=1)s</>",""
"ArmorEruption_Mod_ReturningProjectiles_0Name","Returning Projectiles",""
"ArmorEruption_Mod_ReturningProjectiles_1Description","The projectiles return to you after reaching maximum range dealing <b>{DmgMod_UI}|round()%</> Damage",""
"ArmorEruption_Mod_ScrapCollector_0Name","Divine Core Collector",""
"ArmorEruption_Mod_ScrapCollector_1Description","Generates <b>4</> piles of <me_DivineCore>Divine Cores</> each containing <b>{Scrap}</> <me_DivineCore>Divine Cores</>. For every <me_DivineCore>Divine Core</> you collect, reduce Cooldown by <b>0.3s</>.\r\n+2s CD.",""
"ForceField_0Name","Force Field",""
"ForceField_1Description","Create a force field at target location with <b>{Length}|fmt(min_frac=0,max_frac=1)m</> length.\n\nLimit: <b>1</>\n\nEnemies affected deal <b>{dataBase.DmgDebuff_UI}|round()%</> less Damage and have <b>{dataBase.Slow_UI}|round()%</> less Movement Speed.",""
"ForceField_Mod_SkillEnhancement_0Name","Skill Enhancement",""
"ForceField_Mod_SkillEnhancement_1Description","Enemies deal an additional <b>{DmgMod_UI}|round()%</> less Damage and have an additional <b>{SlowMod_UI}|round()%</> less Movement Speed",""
"ForceField_Mod_ArmorUp_0Name","Armor Up",""
"ForceField_Mod_ArmorUp_1Description","Grants you and your allies in the area <b>+{Armor}|round()</> <me_Armor>Armor</> and <b>+{ArmorExtra}|round()</> <me_Armor>Armor</> per enemy in the area",""
"ForceField_Mod_EnhancedControlDuration_0Name","Enhanced Control Duration",""
"ForceField_Mod_EnhancedControlDuration_1Description","Control effects applied to enemies in the area have <b>{DurationMod_UI}|round()%</> increased Duration",""
"ForceField_Mod_EnhancedDeviceDamage_0Name","Enhanced Device Damage",""
"ForceField_Mod_EnhancedDeviceDamage_1Description","<me_Device>Device</> <me_Summon>Summons</> inside the area deal <b>{DmgMod_UI}|round()%</> increased Damage",""
"ForceField_Mod_Fragile_0Name","Fragile",""
"ForceField_Mod_Fragile_1Description","Enemies inside the area take <b>{DmgMod_UI}|round()%</> increased Damage",""
"ForceField_Mod_ProjectileGlancing_0Name","Projectile Glancing",""
"ForceField_Mod_ProjectileGlancing_1Description","Grants you and allies inside the area <b>+{Glancing_UI}|round()%</> <me_Glancing>Glancing</> Chance against Projectiles",""
"ForceField_Mod_Reactivation_0Name","Reactivation",""
"ForceField_Mod_Reactivation_1Description","Reactivate once during Cooldown to deal <b>{Dmg}|round()</> <me_StrikeDam>Strike Damage</> in the Force Field and <me_Stun>Stun</> enemies for <b>1s</>.",""
"ForgeCall_0Name","Forge Call",""
"ForgeCall_1Description","Create <b>{dataBase.ProjectileAmount}</> metal orbs orbiting you.\r\nEach Orb deals {AbilityDamage[Dmg1]} on contact.\r\n<b>{dataBase.PenetrationAmount}</> <me_Penetration>Projectile Penetration</>.\r\n<b>{dataBase.OrbitDistance_UI}m</> orbit range.",""
"ForgeCall_Mod_EnhancingOrbs_0Name","Enhancing Orbs",""
"ForgeCall_Mod_EnhancingOrbs_1Description","Grants you <b>{DmgMod_UI}%</> increased Total Damage per remaining Orb",""
"ForgeCall_Mod_CooldownRefresh_0Name","Cooldown Refresh",""
"ForgeCall_Mod_CooldownRefresh_1Description","When Forge Call hits an enemy, its cooldown is reduced by <b>{CDMod}s</>\n<b>+{ScrapCostMod}</> <me_DivineCore>Divine Core</> Cost",""
"ForgeCall_Mod_ElectricInduction_0Name","Electric Induction",""
"ForgeCall_Mod_ElectricInduction_1Description","On use and every <b>{Delay}</> seconds afterwards, your next <me_LightningDam>Lightning</> Skill deals <b>{DmgMod_UI}%</> more Damage per active Orb",""
"ForgeCall_Mod_EmpoweredProjectiles_0Name","Empowered Projectiles",""
"ForgeCall_Mod_EmpoweredProjectiles_1Description","When you use a Projectile Skill consume an Orb for <b>{DmgMod_UI}%</> increased Total Damage",""
"ForgeCall_Mod_EnhancedGlancing_0Name","Enhanced Glancing",""
"ForgeCall_Mod_EnhancedGlancing_1Description","Grants you <b>{GlanceChanceMod_UI}%</> <me_Glancing>Glancing</> Hits Chance per remaining Orb",""
"ForgeCall_Mod_FireExplosion_0Name","Fire Explosion",""
"ForgeCall_Mod_FireExplosion_1Description","The bonus <me_FireDam>Fire Damage</> from Heat Up is dealt in a <b>{Radius_UI}m</> radius instead",""
"ForgeCall_Mod_HeatUp_0Name","Heat Up",""
"ForgeCall_Mod_HeatUp_1Description","While orbiting your orbs deal up to <b>+{DmgMod_UI}|floor()</> <me_FireDam>Fire Damage</> after <b>{Duration}s</>",""
"ForgeCall_Mod_HeavyImpact_0Name","Heavy Impact",""
"ForgeCall_Mod_HeavyImpact_1Description","<b>{ProjSpeedMod_UI}|round()%</> more Projectile Speed\nEnemies are <me_Stun>Stunned</> for <b>{StunDuration}|fmt(min_frac=0,max_frac=1)s</> after <b>{HitAmount}</> hits",""
"ForgeCall_Mod_AdditionalProjectiles_0Name","Additional Projectiles",""
"ForgeCall_Mod_AdditionalProjectiles_1Description","<b>+{ModifierLevel}</> Projectiles\n<b>+{OrbitMod_UI}m</> Orbit Radius",""
"ForgeCall_Mod_ProjectilePenetration_0Name","Projectile Penetration",""
"ForgeCall_Mod_ProjectilePenetration_1Description","<b>+{PenAmountMod}</> <me_Penetration>Projectile Penetration</>",""
"ForgeCall_Mod_WeaponizedOrbs_0Name","Weaponized Orbs",""
"ForgeCall_Mod_WeaponizedOrbs_1Description","Orbs deal <b>{WeaponDmgScaleMod_UI}%</> of your Weapon Damage as additional damage",""
"Ironclad_0Name","Ironclad",""
"Ironclad_1Description","Toggle to activate.\r\n\r\nCosts <b>{dataBase.BaseRecurringScrapCost}</> <me_DivineCore>Divine Cores</> per second\r\nGrants <b>+{dataBase.ArmorFlat}</> <me_Armor>Armor</>\r\nGrants <b>{dataBase.ArmorTotal_UI}|round()%</> increased Total <me_Armor>Armor</>\r\nGrants <b>+{dataBase.StunDisruptRes_UI}%</> <me_Disruption>Disruption</> and <me_Stun>Stun</> <me_Resistance>Resistance</>\r\nGrants <b>{dataBase.MovementSpeed_UI}|round()%</> less Movement Speed\r\n\r\nUsing a Movement Skill cancels Ironclad.\r\nCooldown starts after deactivation.",""
"Ironclad_Mod_ArmorShards_0Name","Armor Shards",""
"Ironclad_Mod_ArmorShards_1Description","While active, when you get hit, lose <b>{ScrapCost}</> <me_DivineCore>Divine Cores</> and shoot a metal shard towards the attacker dealing <b>{Damage}|floor()</> <me_PierceDam>Pierce Damage</> (Scales with <me_Armor>Armor</>)",""
"Ironclad_Mod_ArmorStacking_0Name","Armor Stacking",""
"Ironclad_Mod_ArmorStacking_1Description","While active, for every <me_DivineCore>Divine Core</> gained, grants you <b>+{ArmorMod}|fmt(min_frac=0,max_frac=0)</> <me_Armor>Armor</> up to <b>{ArmorMax}|fmt(min_frac=0,max_frac=0)</> <me_Armor>Armor</>\nThis resets on deactivation",""
"Ironclad_Mod_BulwarkGeneration_0Name","Bulwark Generation",""
"Ironclad_Mod_BulwarkGeneration_1Description","While active gain <me_Bulwark>Bulwark</> every <b>1s</>",""
"Ironclad_Mod_Unstoppable_0Name","Unstoppable",""
"Ironclad_Mod_Unstoppable_1Description","Grants you <me_Unstoppable>Unstoppable</> while active\n<b>+{InitialCostMod}</> Initial <me_DivineCore>Divine Core</> Cost",""
"Ironclad_Mod_PierceRetaliation_0Name","Pierce Retaliation",""
"Ironclad_Mod_PierceRetaliation_1Description","While active grants you <b>+{PierceRetaliation}|round()</> <me_PierceDam>Pierce</> <me_Retaliate>Retaliation</>\n<b>+{ScrapCostMod}</> <me_DivineCore>Divine Core</> Cost per second",""
"Ironclad_Mod_RetaliationDamage_0Name","Retaliation Damage",""
"Ironclad_Mod_RetaliationDamage_1Description","<me_Armor>Armor</> Shards deals <b>{DmgRatio_UI}%</> of your <me_Retaliate>Retaliation</> Damage as added <me_PierceDam>Pierce Damage</>",""
"Minefield_0Name","Minefield",""
"Minefield_1Description","Throw <b>{dataBase.MineAmount}</> mines to target location.\r\nThey activate after <b>{dataBase.ActivationDelay}s</>.\r\nLast for <b>{dataBase.MineDuration}s</>.\r\nExplodes on contact dealing {AbilityDamage[Dmg1]} in a <b>{Radius}|fmt(min_frac=0,max_frac=1)m</> radius.\r\nConsecutive explosions on the same target deal <b>{dataBase.RepeatDmgMultiplier_UI}|round()%</> less damage.",""
"Minefield_Mod_AdditionalMines_0Name","Additional Mines",""
"Minefield_Mod_AdditionalMines_1Description","<b>+{MineMod}</> additional Mines\n<b>+{ScrapCostMod}</> <me_DivineCore>Divine Core</> Cost",""
"Minefield_Mod_CooldownCharges_0Name","Cooldown Charges",""
"Minefield_Mod_CooldownCharges_1Description","<b>+{CDChargeMod}</> Cooldown Charges\n<b>+{ScrapMod}</> <me_DivineCore>Divine Core</> Cost",""
"Minefield_Mod_RemoteActivation_0Name","Remote Activation",""
"Minefield_Mod_RemoteActivation_1Description","<b>{DmgMod_UI}|round()%</> more Damage\nThe mines don\'t detonate automatically when near enemies\nWhen you use an <me_Exhaust>Exhaust</> Skill the mines detonate",""
"TemperedArsenal_0Name","Tempered Arsenal",""
