Key,SourceString,DevComment
"FortifiedArmor_0Name","Sturdy Armor",""
"FortifiedArmor_1Description","{DescriptionComponent[PassiveCurrent]}\n{DescriptionComponent[IncreasedHealth]}\n{DescriptionComponent[IncreasedArmor]}\n{DescriptionComponent[SummonIncreasedHealth]}\n{DescriptionComponent[SummonIncreasedArmor]}\n\n{DescriptionComponent[PassiveNext]}\n{DescriptionComponent[IncreasedHealth2]}\n{DescriptionComponent[IncreasedArmor2]}\n{DescriptionComponent[SummonIncreasedHealth2]}\n{DescriptionComponent[SummonIncreasedArmor2]}",""
"FortifiedArmor_Feat_Health_0Name","Health",""
"FortifiedArmor_Feat_Health_1Description","{DescriptionComponent[IncreasedHealth]}",""
"FortifiedArmor_Feat_SummonHealth_0Name","Summon Health",""
"FortifiedArmor_Feat_SummonHealth_1Description","{DescriptionComponent[SummonIncreasedHealth]}",""
"FortifiedArmor_Feat_Armor_0Name","Armor",""
"FortifiedArmor_Feat_Armor_1Description","{DescriptionComponent[AddArmor]}",""
"Salvager_0Name","Salvager",""
"Salvager_1Description","{DescriptionComponent[PassiveCurrent]}\r\nGaining <me_DivineCore>Divine Cores</> grants you and your <me_Summon>Summons</> <b>{DmgCurrent}|floor()%</> increased Damage for <b>{Duration}|fmt(min_frac=0,max_frac=1)s</>\r\n{DescriptionComponent[AddDoubleScrapChance]}\r\n\r\n{DescriptionComponent[PassiveNext]}\r\nGaining <me_DivineCore>Divine Cores</> grants you and your <me_Summon>Summons</> <b>{DmgNext}|floor()%</> increased Damage for <b>{Duration}|fmt(min_frac=0,max_frac=1)s</>.\r\n{DescriptionComponent[AddDoubleScrapChance2]}",""
"Salvager_Feat_SummonDamage_0Name","Summon Damage",""
"Salvager_Feat_SummonDamage_1Description","Gaining <me_DivineCore>Divine Cores</> grants your <me_Summon>Summons</> an additional <b>{Dmg}|fmt(min_frac=0,max_frac=1)%</> increased Damage",""
"Salvager_Feat_MaxScrap_0Name","Maximum Divine Cores",""
"Salvager_Feat_MaxScrap_1Description","{DescriptionComponent[AddScrapMax]}",""
"Salvager_Feat_DoubleScrap_0Name","Double Divine Cores",""
"Salvager_Feat_DoubleScrap_1Description","{DescriptionComponent[AddDoubleScrapChance]}",""
"Salvager_Buff_0Name","Salvager",""
"Salvager_Buff_1Description","Increased Damage",""
"ForgedLegion_0Name","Forged Legion",""
"ForgedLegion_1Description","{DescriptionComponent[PassiveCurrent]}\n{DescriptionComponent[SummonIncreasedDamage]}\n\n{DescriptionComponent[PassiveNext]}\n{DescriptionComponent[SummonIncreasedDamage2]}",""
"ForgedLegion_Feat_SummonDamage_0Name","Summon Damage",""
"ForgedLegion_Feat_SummonDamage_1Description","{DescriptionComponent[SummonIncreasedDamage]}",""
"ForgedLegion_Feat_SummonCritChance_0Name","Summon Critical Hit Chance",""
"ForgedLegion_Feat_SummonCritChance_1Description","{DescriptionComponent[SummonAddCritChance]}",""
"ForgedLegion_Feat_MinionMaster_0Name","Minion Master",""
"ForgedLegion_Feat_MinionMaster_1Description","Unlocks <me_MinionMaster>Minion Master</>\n{DescriptionComponent[SummonMoreDamage]}",""
"CurioCollector_0Name","Curio Collector",""
"CurioCollector_1Description","{DescriptionComponent[PassiveCurrent]}\r\n{DescriptionComponent[AddScrapMax]}\r\n{DescriptionComponent[AddDoubleScrapChance]}\r\n{DescriptionComponent[IncreasedScrapCollectionRange]}\r\n\r\n{DescriptionComponent[PassiveNext]}\r\n{DescriptionComponent[AddScrapMax2]}\r\n{DescriptionComponent[AddDoubleScrapChance2]}\r\n{DescriptionComponent[IncreasedScrapCollectionRange2]}",""
"CurioCollector_Feat_MaxScrap_0Name","Maximum Divine Cores",""
"CurioCollector_Feat_MaxScrap_1Description","{DescriptionComponent[AddScrapMax]}",""
"CurioCollector_Feat_ScrapCollectionRange_0Name","Divine Core Collection Range",""
"CurioCollector_Feat_ScrapCollectionRange_1Description","{DescriptionComponent[IncreasedScrapCollectionRange]}",""
"CurioCollector_Feat_ScrapGenerator_0Name","Divine Core Generator",""
"CurioCollector_Feat_ScrapGenerator_1Description","While below <b>{Threshold}|fmt(min_frac=0,max_frac=1)</> <me_DivineCore>Divine Cores</>, gain <b>{Scrap}|fmt(min_frac=0,max_frac=1)</> <me_DivineCore>Divine Cores</> every <b>{Period}|fmt(min_frac=0,max_frac=1)s</>",""
"ReinforcedWeaponry_0Name","Reinforced Weaponry",""
