Key,SourceString,DevComment
"LethalStrike_0Name","Lethal Strike",""
"LethalStrike_1Description","Deals <b>{data.WeaponDmg_UI}|round()%</> Weapon Damage to a single target.\nConsumes <me_Flow>Flow</> to deal <b>{data.FlowDmgMod_UI}|round()%</> more Damage.\nIf this skill consumes <me_Flow>Flow</> or the target is killed, its cooldown is refreshed.",""
"LethalStrike_Mod_ShadowStrike_0Name","Shadow Strike",""
"LethalStrike_Mod_ShadowStrike_1Description","Teleport to target before attack.\n<b>{TravelDistance_UI}|fmt(min_frac=0,max_frac=1)m</> Range.\n<b>+{MPCostMod}|round()</> Energy cost.\n<b>+{BaseCDMod}|fmt(min_frac=0,max_frac=1)s</> Base Cooldown Duration.\nTags: +Movement, +Teleport",""
"LethalStrike_Mod_ShadowStrike_4Ability_Description","Teleport to a single target and deal <b>{data.WeaponDmg_UI}|round()%</> Weapon Damage.\n<b>{data.TravelDistance_UI}|fmt(min_frac=0,max_frac=1)m</> Range.\nConsumes <me_Flow>Flow</> to deal <b>{data.FlowDmgMod_UI}|round()%</> more Damage.\nIf this skill consumes <me_Flow>Flow</> or the target is killed, its cooldown is refreshed.",""
"LethalStrike_Mod_ShadowDagger_0Name","Shadow Dagger",""
"LethalStrike_Mod_ShadowDagger_1Description","Turns into a ranged single target spell.\nTags: +Shadow",""
"LethalStrike_Mod_ShadowDagger_4Ability_Description","Deal <b>{data.SpellDmg}|floor()</> <me_PierceDam>Pierce Damage</> to target enemy.\nConsumes <me_Flow>Flow</> to deal <b>{data.FlowDmgMod_UI}|round()%</> more Damage.\nIf this skill consumes <me_Flow>Flow</> or the target is killed, its cooldown is refreshed.",""
"LethalStrike_Mod_Rupture_0Name","Rupture",""
"LethalStrike_Mod_Rupture_1Description","On hit, <b>{RuptureChance_UI}|floor()%</> <me_Rupture>Rupture</> Chance.\n<b>+{MPCostMod}|round()</> Energy cost.",""
"LethalStrike_Mod_Rupture_2DescriptionShort","On hit, <b>{RuptureChance_UI}|floor()%</> <me_Rupture>Rupture</> Chance.",""
"LethalStrike_Mod_Doom_0Name","Consume Doom",""
"LethalStrike_Mod_Doom_1Description","Consumes <me_Doom>Doom</> on target to deal <b>{DmgMod_UI}|fmt(min_frac=0,max_frac=1)%</> more Damage per <me_Doom>Doom</> consumed.\nOn kill applies <b>{Doom}|floor()</> <me_Doom>Doom</> to enemies in a <b>{Radius_UI}|fmt(min_frac=0,max_frac=1)m</> radius.\n<b>+{MPCostMod}|round()</> Energy cost.",""
"LethalStrike_Mod_Doom_2DescriptionShort","Consumes <me_Doom>Doom</> on target to deal <b>{DmgMod_UI}|fmt(min_frac=0,max_frac=1)%</> more Damage per <me_Doom>Doom</> consumed.\nOn kill applies <b>{Doom}|floor()</> <me_Doom>Doom</> to enemies in a <b>{Radius_UI}|fmt(min_frac=0,max_frac=1)m</> radius.",""
"LethalStrike_Mod_FlowGain_0Name","Gain Flow",""
"LethalStrike_Mod_FlowGain_1Description","Does not consume <me_Flow>Flow</> for a bonus effect anymore.\nIf you kill a marked enemy with this attack, gain <me_Flow>Flow</>.",""
"LethalStrike_Mod_FlowGain_2DescriptionShort","Does not consume <me_Flow>Flow</> for a bonus effect anymore.\nIf you kill a marked enemy with this attack, gain <me_Flow>Flow</>.",""
"LethalStrike_Mod_MarkFocus_0Name","Mark Focus",""
"LethalStrike_Mod_MarkFocus_1Description","<b>{DmgMod_UI}|fmt(min_frac=0,max_frac=1)%</> more Damage against your <me_Mark>Mark</>.\nWhen this ability hits your <me_Mark>Mark</> it recovers <b>{CDRefresh_UI}%</> of its Cooldown.",""
"LethalStrike_Mod_PoisonExplosion_0Name","Poison Explosion",""
"LethalStrike_Mod_PoisonExplosion_1Description","On hit deals <b>{BaseDmg}|floor()</> <me_PoisonDam>Poison Damage</> + <b>{BonusDmg}|floor()</> per <me_Plague>Plagued</> stack on target in a <b>{Radius_UI}|fmt(min_frac=0,max_frac=1)m</> radius.\n<b>+{MPCostMod}|round()</> Energy cost.",""
"LethalStrike_Mod_PoisonExplosion_2DescriptionShort","On hit deals <b>{BaseDmg}|floor()</> <me_PoisonDam>Poison Damage</> + <b>{BonusDmg}|floor()</> per <me_Plague>Plagued</> stack on target in a <b>{Radius_UI}|fmt(min_frac=0,max_frac=1)m</> radius.",""
"TrickShot_0Name","Trick Shot",""
"TrickShot_1Description","Throws a hidden blade dealing<b> {data.MinDmg}|floor() - {data.MaxDmg}|floor()</> <me_PierceDam>Pierce Damage</>.\r\nInfinite <me_Penetration>Projectile Penetration</>.\r\n<b>{data.ProjRange_UI}|fmt(min_frac=0,max_frac=1)m</> Projectile Range.",""
"TrickShot_Mod_Interrupt_0Name","Interrupt",""
"TrickShot_Mod_Interrupt_1Description","<me_Stun>Stuns</> <me_Channel>Channeling</> enemies for <b>{StunDuration}|fmt(min_frac=1,max_frac=1)s</>.",""
"TrickShot_Mod_Counter_0Name","Counter",""
"TrickShot_Mod_Counter_1Description","Deals <b>{DmgMod_UI}|floor()%</> more Damage to <me_Channel>Channeling</> enemies.",""
"TrickShot_Mod_EnhancedAilment_0Name","Enhanced Ailment","unused"
"TrickShot_Mod_EnhancedAilment_1Description","<b>{AilmentMod_UI}|floor()%</> more <me_AilmentChance>Ailment Chance</>.","unused"
"TrickShot_Mod_EnhancedCriticalHit_0Name","Enhanced Critical Hit","unused"
"TrickShot_Mod_EnhancedCriticalHit_1Description","<b>{CritMod_UI}|floor()%</> more <me_Critical>Critical Hit</> Chance.","unused"
"TrickShot_Mod_CriticalRupture_0Name","Critical Rupture",""
"TrickShot_Mod_CriticalRupture_1Description","<b>+{CritMod_UI}|fmt(min_frac=0,max_frac=1)%</> added Base <me_Critical>Critical Hit</> Chance.\nOn <me_Critical>Critical Hit</>, you have a <b>{RuptureChance_UI}|fmt(min_frac=0,max_frac=1)%</> chance to cause <me_Rupture>Rupture</>.\n<b>+{MPCostMod}|round()</> Energy cost.",""
"TrickShot_Mod_CriticalRupture_2DescriptionShort","On <me_Critical>Critical Hit</>, you have a <b>{RuptureChance_UI}|fmt(min_frac=0,max_frac=1)%</> chance to cause <me_Rupture>Rupture</>.",""
"TrickShot_Mod_Mark_0Name","Mark Focus",""
"TrickShot_Mod_Mark_1Description","Deals <b>{DmgMod_UI}|floor()%</> more Damage to your <me_Mark>Mark</>.",""
"TrickShot_Mod_Shrapnel_0Name","Shrapnel",""
"TrickShot_Mod_Shrapnel_1Description","On hit apply a debuff for <b>{Duration}|fmt(min_frac=0,max_frac=1)s</> (non-stacking) with a <b>{AilmentChance_UI}|floor()%</> <me_Bleed>Bleed</> Chance every second.\n<b>+{MPCostMod}|round()</> Energy cost.",""
"TrickShot_Mod_Shrapnel_2DescriptionShort","On hit apply a debuff for <b>{Duration}|fmt(min_frac=0,max_frac=1)s</> (non-stacking) with a <b>{AilmentChance_UI}|floor()%</> <me_Bleed>Bleed</> Chance every second.",""
"TrickShot_Mod_Doom_0Name","Consume Doom",""
"TrickShot_Mod_Doom_1Description","Consumes <me_Doom>Doom</> on target to deal <b>{DmgMod_UI}|fmt(min_frac=0,max_frac=1)%</> more Damage to it per <me_Doom>Doom</> consumed.",""
"TrickShot_Mod_ShadowDagger_0Name","Shadow Dagger",""
"TrickShot_Mod_ShadowDagger_1Description","Turns into a spell and fires a Shadow Dagger dealing <me_PierceDam>Pierce Damage</>.\nTags: +Shadow, +Spell, -Ranged Attack",""
"TrickShot_Mod_ShadowDagger_3Ability_Name","Trick Shot",""
"TrickShot_Mod_ShadowDagger_4Ability_Description","Fires a Shadow Dagger dealing <b>{data.MinDmg}|floor() - {data.MaxDmg}|floor()</> <me_PierceDam>Pierce Damage</>.\r\nInfinite <me_Penetration>Projectile Penetration</>.\r\n<b>{data.ProjRange_UI}|fmt(min_frac=0,max_frac=1)m</> Projectile Range.",""
"TrickShot_Mod_RangedWeapon_0Name","Ranged Weapon",""
"TrickShot_Mod_RangedWeapon_1Description","Instead fires your Weapon Projectile dealing <b>{DmgMod_UI}%</> Weapon Damage.\n<b>{ProjSpdMod_UI}|floor()%</> more Projectile Speed.\nRequires spear, dagger or ranged weapon",""
"TrickShot_Mod_RangedWeapon_3Ability_Name","Trick Shot - Ranged Weapon",""
"TrickShot_Mod_RangedWeapon_4Ability_Description","<me_FireDam>Fire</> your weapon dealing <b>{data.WeaponDmg_UI}|floor()%</> Weapon Damage.\r\n<b>{data.ProjSpeedFactor_UI}|floor()%</> more Projectile Speed.\r\nInfinite <me_Penetration>Projectile Penetration</>.\r\nRequires spear, dagger or ranged weapon",""
