Key,SourceString
"Accuracy_0Name","Accuracy"
"Accuracy_1Description","<b_gold>Level {CurrentLevel}:</>\n<b>{DmgCurrent}|floor()%</> increased Damage\n<b>{CritChanceCurrent}|floor()%</> increased <me_Critical>Critical Hit</> Chance\n\n<b_gold>Level {NextLevel}:</>\n<b>{DmgNext}|floor()%</> increased Damage\n<b>{CritChanceNext}|floor()%</> increased <me_Critical>Critical Hit</> Chance"
"Accuracy_Feat_CritChance_0Name","Critical Hit Chance"
"Accuracy_Feat_CritChance_1Description","<b>20%</> increased <me_Critical>Critical Hit</> Chance"
"Accuracy_Feat_CritDmg_0Name","Critical Hit Damage"
"Accuracy_Feat_CritDmg_1Description","<b>+15%</> <me_CritDamMult>Critical Damage Multiplier</>"
"Accuracy_Feat_SpecialCrit_0Name","High Critical Hit Chance"
"Accuracy_Feat_SpecialCrit_1Description","<b>100%</> increased <me_Critical>Critical Hit</> Chance\n<b>-50%</> <me_CritDamMult>Critical Damage Multiplier</>"
"DeftHands_0Name","Deft Hands"
"DeftHands_1Description","<b_gold>Level {CurrentLevel}:</>\n<b>{DmgCurrent}|floor()%</> increased Damage\n<b>{ASCurrent}|floor()%</> increased Attack Speed\n<b>{CSCurrent}|floor()%</> increased Cast Speed\n\n<b_gold>Level {NextLevel}:</>\n<b>{DmgNext}|floor()%</> increased Damage\n<b>{ASNext}|floor()%</> increased Attack Speed\n<b>{CSNext}|floor()%</> increased Cast Speed"
"DeftHands_Feat_AbilitySpeed_0Name","Attack and Cast Speed"
"DeftHands_Feat_AbilitySpeed_1Description","<b>6%</> increased Attack Speed\n<b>6%</> increased Cast Speed"
"DeftHands_Feat_CritChance_0Name","Critical Hit Chance"
"DeftHands_Feat_CritChance_1Description","<b>20%</> increased <me_Critical>Critical Hit</> Chance"
"DeftHands_Feat_AilmentChance_0Name","Ailment Chance"
"DeftHands_Feat_AilmentChance_1Description","<b>20%</> increased <me_AilmentChance>Ailment Chance</>"
"Anatomy_0Name","Anatomy"
"Anatomy_1Description","<b_gold>Level {CurrentLevel}:</>\n<b>{PierceDmgCurrent}|floor()%</> increased <me_PierceDam>Pierce Damage</>\n<b>{BleedChanceCurrent}|floor()%</> increased <me_Bleed>Bleed</> Chance\n\n<b_gold>Level {NextLevel}:</>\n<b>{PierceDmgNext}|floor()%</> increased <me_PierceDam>Pierce Damage</>\n<b>{BleedChanceNext}|floor()%</> increased <me_Bleed>Bleed</> Chance"
"Anatomy_Feat_PierceDmg_0Name","Pierce Damage"
"Anatomy_Feat_PierceDmg_1Description","<b>{PierceDmg}%</> increased <me_PierceDam>Pierce Damage</>\r\n<b>+{PiercePen}%</> <me_PierceDam>Pierce</> <me_Penetration_Damage>Penetration</>"
"Anatomy_Feat_BleedChance_0Name","Bleed Chance"
"Anatomy_Feat_BleedChance_1Description","<b>{BleedChance}%</> increased <me_Bleed>Bleed</> Chance\n<b>{BleedPower}%</> increased <me_Bleed>Bleed</> <me_AilmentPower>Power</>"
"Anatomy_Feat_ShadowSpell_0Name","Shadow Spell"
"Anatomy_Feat_ShadowSpell_1Description","Converts <b>100%</> Damage of your Shadow Spells to <me_PierceDam>Pierce Damage</>\n<b>{PierceDmg}%</> increased <me_PierceDam>Pierce Damage</>\n<b>{BleedChance}%</> increased <me_Bleed>Bleed</> Chance"
"ToxinDistillation_0Name","Toxin Distillation"
"ToxinDistillation_1Description","<b_gold>Level {CurrentLevel}:</>\n<b>{PoisonDmgCurrent}|floor()%</> increased <me_PoisonDam>Poison Damage</>\n<b>{PlaguedChanceCurrent}|floor()%</> increased <me_Plague>Plagued</> Chance\n\n<b_gold>Level {NextLevel}:</>\n<b>{PoisonDmgNext}|floor()%</> increased <me_PoisonDam>Poison Damage</>\n<b>{PlaguedChanceNext}|floor()%</> increased <me_Plague>Plagued</> Chance"
"ToxinDistillation_Feat_PoisonDmg_0Name","Poison Damage"
"ToxinDistillation_Feat_PoisonDmg_1Description","<b>{PoisonDmg}%</> increased <me_PoisonDam>Poison Damage</>\r\n<b>+{PoisonPen}%</> <me_PoisonDam>Poison</> <me_Penetration_Damage>Penetration</>"
"ToxinDistillation_Feat_PlaguedChance_0Name","Plagued Chance"
"ToxinDistillation_Feat_PlaguedChance_1Description","<b>{PlaguedChance}%</> increased <me_Plague>Plagued</> Chance\n<b>{PlaguedPower}%</> increased <me_Plague>Plagued</> <me_AilmentPower>Power</>"
"ToxinDistillation_Feat_ShadowSpell_0Name","Shadow Spell"
"ToxinDistillation_Feat_ShadowSpell_1Description","Converts <b>100%</> Damage of your Shadow Spells to <me_PoisonDam>Poison Damage</>\n<b>{PoisonDmg}%</> increased <me_PoisonDam>Poison Damage</>\n<b>{PlaguedChance}%</> increased <me_Plague>Plagued</> Chance"
"DeadlyAffliction_0Name","Deadly Affliction"
"DeadlyAffliction_1Description","<b_gold>Level {CurrentLevel}:</>\n<b>{AilmentChanceCurrent}|floor()%</> increased <me_AilmentChance>Ailment Chance</>\n<b>{AilmentPowerCurrent}|floor()%</> increased <me_AilmentPower>Ailment Power</>\n<b_gold>Level {NextLevel}:</>\n<b>{AilmentChanceNext}|floor()%</> increased <me_AilmentChance>Ailment Chance</>\n<b>{AilmentPowerNext}|floor()%</> increased <me_AilmentPower>Ailment Power</>"
"DeadlyAffliction_Feat_AilmentChance_0Name","Ailment Chance"
"DeadlyAffliction_Feat_AilmentChance_1Description","<b>{AilmentChance}%</> increased <me_AilmentChance>Ailment Chance</>"
"DeadlyAffliction_Feat_AilmentMaxStacks_0Name","Ailment Amount"
"DeadlyAffliction_Feat_AilmentMaxStacks_1Description","<b>+{AilmentStacks}</> Maximum stacks to all <me_Ailment>Ailments</>"
"DeadlyAffliction_Feat_AilmentPower_0Name","Ailment Power"
"DeadlyAffliction_Feat_AilmentPower_1Description","<b>{AilmentPower}%</> increased <me_AilmentPower>Ailment Power</>"
"NimbleDefense_0Name","Nimble Defense"
