Key,SourceString,DevComment
"IceShards_0Name","Éclats de glace",""
"IceShards_1Description","<me_FireDam>Lance</> <b>{data.ProjCount}|floor()</> éclats de glace en cône infligeant <b>{data.MinDmg}|floor() - {data.MaxDmg}|floor()</> <me_ColdDam>Dégâts de froid</> chacun. Les coups supplémentaires contre le même ennemi infligent <b>80%</> de dégâts en moins.\nÀ l'utilisation, gagnez <me_Overwhelm>Accablement</> tant qu'une compétence d'accablement est équipée.",""
"IceShards_Mod_Torrent_0Name","Torrent",""
"IceShards_Mod_Torrent_1Description","<b>+{ProjCountMod}|round()</> projectiles supplémentaires.\n<b>+{MPCostMod}|round()</> Coût en Énergie.",""
"IceShards_Mod_Penetration_0Name","Pénétration de projectile",""
"IceShards_Mod_Penetration_1Description","<b>+{ProjPenMod}</> <me_Penetration>Pénétration de projectile</>.\r\n<b>{DmgMod_UI}|round()%</> de dégâts en moins après le premier coup.","old:
Projectiles penetrate <b>{ProjPenMod}|round()</> targets.
<b>{ProjSpdMod_UI}|round()%</> more Projectile Speed.
<b>+{MPCostMod}|round()</> Energy Cost."
"IceShards_Mod_Penetration_2DescriptionShort","<b>+{ProjPenMod}</> <me_Penetration>Pénétration de projectile</>.\r\n<b>{DmgMod_UI}|round()%</> de dégâts en moins après le premier coup.","old:
Projectiles penetrate <b>{ProjPenMod}|round()</> targets.
<b>{ProjSpdMod_UI}|round()%</> more Projectile Speed."
"IceShards_Mod_FrostExplosion_0Name","Explosion de givre",""
"IceShards_Mod_FrostExplosion_1Description","Lorsque vous touchez une cible <me_Freeze>Gelée</>, cela provoque une explosion infligeant <b>{Damage}|round()</> <me_ColdDam>Dégâts de froid</> dans un rayon de <b>{Radius_UI}|fmt(min_frac=1,max_frac=1)m</>.",""
"IceShards_Mod_Homing_0Name","Tête chercheuse",""
"IceShards_Mod_Homing_1Description","<b>+{HomingAccMod_UI}|fmt(min_frac=0,max_frac=1)</> Force de guidage.\r\n<b>{ProjSpdMod_UI}|round()%</> de vitesse de projectile en moins.",""
"IceShards_Mod_Chaos_0Name","Chaos",""
"IceShards_Mod_Chaos_1Description","Les projectiles sont tirés dans des directions aléatoires et s'éloignent en spirale.\r\n<b>{ProjAmountMod_UI}|round()%</> de projectiles en plus.\r\n<b>+{MPCostMod}|round()</> Coût en Énergie.",""
"IceShards_Mod_Chaos_2DescriptionShort","Les projectiles sont tirés dans des directions aléatoires et s'éloignent en spirale.",""
"IceShards_Mod_Orbit_0Name","Orbite",""
"IceShards_Mod_Orbit_1Description","Les projectiles à tête chercheuse sans cible reviennent graviter autour de vous.\n<b>{ProjRangeMod_UI}|round()%</> de portée de projectile en plus.\n<b>+{MPCostMod}|round()</> Coût en Énergie.",""
"IceShards_Mod_Orbit_2DescriptionShort","Les projectiles à tête chercheuse sans cible reviennent graviter autour de vous.\n<b>{ProjRangeMod_UI}|round()%</> de portée de projectile en plus.",""
"IceShards_Mod_InfusedShard_0Name","Éclat infusé",""
"IceShards_Mod_InfusedShard_1Description","Inflige des <me_ColdDam>Dégâts de froid</> supplémentaires égaux à <b>{InfusedDmg}|fmt(min_frac=0,max_frac=1)%</> de l'Énergie <me_Reserve>réservée</>.",""
"IceShards_Mod_EnhancedAilment_0Name","Affliction améliorée","unused"
"IceShards_Mod_EnhancedAilment_1Description","<b>+{AilmentMod_UI}|floor()%</> de <me_AilmentChance>Chances d'affliction</> de base ajoutées.","unused"
"IceShards_Mod_LongShot_0Name","Tir lointain","unused"
"IceShards_Mod_LongShot_1Description","Inflige jusqu'à <b>{DmgMod_UI}%</> de dégâts en plus selon la distance. Atteint les dégâts maximum à <b>{DistMod}|fmt(min_frac=1,max_frac=1)m</>.","unused"
"IceNova_0Name","Nova de glace",""
"IceNova_1Description","Inflige <b>{data.Damage}|round()</> <me_ColdDam>Dégâts de froid</> dans un rayon de <b>{data.Radius_UI}|fmt(min_frac=1,max_frac=1)m</> autour de vous.\n<b>{data.FreezeChance_UI}|round()%</> de chances de <me_Freeze>Geler</> pendant <b>{data.FreezeDuration}|fmt(min_frac=1,max_frac=1)s</>.",""
"IceNova_Mod_CooldownCharge_0Name","Charges de récupération",""
"IceNova_Mod_CooldownCharge_1Description","<b>+{CDChargeMod}|round()</> charges de récupération.",""
"IceNova_Mod_FlashFreeze_0Name","Gel instantané",""
"IceNova_Mod_FlashFreeze_1Description","<me_Freeze>Gèle</> toujours.\n<b>+{FreezeDurationMod}|fmt(min_frac=0,max_frac=1)s</> à la durée de <me_Freeze>Gel</> de base.\n<b>+{BaseCDMod}|fmt(min_frac=0,max_frac=1)s</> au temps de récupération de base.\nTags : +<me_Disruption>Interruption</>",""
"IceNova_Mod_FlashFreeze_2DescriptionShort","<me_Freeze>Gèle</> toujours. <b>+{FreezeDurationMod}|fmt(min_frac=0,max_frac=1)s</> de durée de <me_Freeze>Gel</> de base, <b>+{BaseCDMod}|fmt(min_frac=0,max_frac=1)s</> de temps de récupération de base.\n",""
"IceNova_Mod_EnhancedFreeze_0Name","Gel amélioré",""
