Key,SourceString,DevComment
"StormAttunement_0Name","Harmonie de la tempête",""
"StormAttunement_1Description","<b_gold>Niveau {CurrentLevel}:</>\n<b>{LightDmgCurrent}|floor()%</> d'augmentation des <me_LightningDam>Dégâts de foudre</>\n<b>{ColdDmgCurrent}|floor()%</> d'augmentation des <me_ColdDam>Dégâts de froid</>\n\n<b_gold>Niveau {NextLevel}:</>\n<b>{LightDmgNext}|floor()%</> d'augmentation des <me_LightningDam>Dégâts de foudre</>\n<b>{ColdDmgNext}|floor()%</> d'augmentation des <me_ColdDam>Dégâts de froid</>",""
"StormAttunement_Feat_Weapon_0Name","Dégâts d'arme",""
"StormAttunement_Feat_Weapon_1Description","<b>{WeaponDmg}|floor()%</> d'augmentation des dégâts d'arme de <me_ColdDam>froid</> et de <me_LightningDam>foudre</>\n<b>{AttackSpeed}|floor()%</> d'augmentation de la vitesse d'attaque",""
"StormAttunement_Feat_Spell_0Name","Dégâts de sort",""
"StormAttunement_Feat_Spell_1Description","<b>{SpellDmg}|floor()%</> d'augmentation des dégâts de sort de <me_ColdDam>froid</> et de <me_LightningDam>foudre</>\n<b>{CastSpeed}|floor()%</> d'augmentation de la vitesse d'incantation",""
"StormAttunement_Feat_Projectile_0Name","Dégâts de projectile",""
"StormAttunement_Feat_Projectile_1Description","<b>{ProjDmg}|floor()%</> d'augmentation des dégâts de projectile",""
"ArcaneInflux_0Name","Afflux arcanique",""
"ArcaneInflux_1Description","<b_gold>Niveau {CurrentLevel}:</>\n<b>{EnergyRegenCurrent}|floor()%</> d'augmentation de la régénération d'énergie\n<b>{EnergyCurrent}|floor()%</> d'augmentation de l'énergie\n\n<b_gold>Niveau {NextLevel}:</>\n<b>{EnergyRegenNext}|floor()%</> d'augmentation de la régénération d'énergie\n<b>{EnergyNext}|floor()%</> d'augmentation de l'énergie",""
"ArcaneInflux_Feat_MaxMP_0Name","Énergie",""
"ArcaneInflux_Feat_MaxMP_1Description","<b>+{MaxMP}|floor()</> d'Énergie maximale\r\nDébloque <me_EtherShield>Bouclier d'éther</>",""
"ArcaneInflux_Feat_ReservedMP_0Name","Réservation",""
"ArcaneInflux_Feat_ReservedMP_1Description","<me_Reserve>Réserve</> <b>{ReservedMP}%</> d'Énergie ; gagnez <b>{Ratio}%</> de l'Énergie <me_Reserve>réservée</> sous forme de régénération d'énergie",""
"ArcaneInflux_Feat_MPRegen_0Name","Régénération d'énergie",""
"ArcaneInflux_Feat_MPRegen_1Description","<b>{MPRegen}|floor()%</> d'augmentation de la régénération d'énergie",""
"RagingMind_0Name","Esprit enragé",""
"RagingMind_1Description","<b_gold>Niveau {CurrentLevel}:</>\nDébloque la <me_SpellRage>Rage de sort</>.\n<b>{DmgCurrent}|floor()%</> d'augmentation des dégâts de sort\n<b>{CSCurrent}|floor()%</> d'augmentation de la vitesse d'incantation\n\n<b_gold>Niveau {NextLevel}:</>\nDébloque la <me_SpellRage>Rage de sort</>.\n<b>{DmgNext}|floor()%</> d'augmentation des dégâts de sort\n<b>{CSNext}|floor()%</> d'augmentation de la vitesse d'incantation\n\n<me_Rage>Rage</> de sort\nLa rage octroie également :\n<b>1%</> d'augmentation des dégâts de sort totaux par cumul\n<b>1%</> d'augmentation de la vitesse d'incantation par cumul",""
"RagingMind_Feat_CastSpeed_0Name","Vitesse d'incantation",""
"RagingMind_Feat_CastSpeed_1Description","<b>8%</> d'augmentation de la vitesse d'incantation",""
"RagingMind_Feat_Spell_0Name","Dégâts de sort","unused"
"RagingMind_Feat_Spell_1Description","<b>12%</> d'augmentation des dégâts de sort","unused"
"RagingMind_Feat_Energy_0Name","Énergie","unused"
"RagingMind_Feat_Energy_1Description","Récupère <b>2</> points d'Énergie par cumul de <me_Rage>Rage</> toutes les <b>2</> secondes","unused"
"RagingMind_Feat_Ailment_0Name","Chances d'affliction",""
"RagingMind_Feat_Ailment_1Description","<b>30%</> d'augmentation des <me_AilmentChance>Chances d'affliction</> de sort",""
"RagingMind_Feat_Crit_0Name","Chances de critique",""
"RagingMind_Feat_Crit_1Description","<b>30%</> d'augmentation des chances de <me_Critical>Coup critique</> de sort",""
"StormGuidance_0Name","Guide de la tempête",""
"StormGuidance_1Description","<b_gold>Niveau {CurrentLevel}:</>\n<b>{DmgCurrent}|floor()%</> d'augmentation des dégâts de projectile\n<b>{HomingCurrent}|floor()%</> d'augmentation du guidage de projectile\n<b>{RangeCurrent}|floor()%</> d'augmentation de la portée de projectile\n\n<b_gold>Niveau {NextLevel}:</>\n<b>{DmgNext}|floor()%</> d'augmentation des dégâts de projectile\n<b>{HomingNext}|floor()%</> d'augmentation du guidage de projectile\n<b>{RangeNext}|floor()%</> d'augmentation de la portée de projectile",""
"StormGuidance_Feat_Homing_0Name","Guidage",""
"StormGuidance_Feat_Homing_1Description","<b>30%</> d'augmentation du guidage de projectile\n<b>20%</> de réduction de la vitesse de projectile",""
"StormGuidance_Feat_Penetration_0Name","Pénétration",""
"StormGuidance_Feat_Penetration_1Description","<b>30%</> d'augmentation de la <me_Penetration>Pénétration de projectile</>",""
"StormGuidance_Feat_Speed_0Name","Vitesse",""
"StormGuidance_Feat_Speed_1Description","<b>30%</> d'augmentation de la vitesse de projectile, <b>20%</> d'augmentation de la portée de projectile",""
"StormAffliction_0Name","Affliction de la tempête",""
"StormAffliction_1Description","<b_gold>Niveau {CurrentLevel}:</>\n<b>{ChanceCurrent}|floor()%</> d'augmentation des chances d'<me_Shock>Électrocution</> et de <me_Chill>Glaçage</>\n<b>{PowerCurrent}|floor()%</> d'augmentation de la <me_AilmentPower>Puissance</> d'<me_Shock>Électrocution</> et de <me_Chill>Glaçage</>\n\n<b_gold>Niveau {NextLevel}:</>\n<b>{ChanceNext}|floor()%</> d'augmentation des chances d'<me_Shock>Électrocution</> et de <me_Chill>Glaçage</>\n<b>{PowerNext}|floor()%</> d'augmentation de la <me_AilmentPower>Puissance</> d'<me_Shock>Électrocution</> et de <me_Chill>Glaçage</>",""
"StormAffliction_Feat_MaxShock_0Name","Électrocution max",""
