Key,SourceString,DevComment
"LeapSlam_0Name","Saut",""
"LeapSlam_1Description","Saute vers l'endroit ciblé, infligeant <b>{data.LandingDamage}|round()</> <me_StrikeDam>Dégâts de frappe</> à l'atterrissage dans un rayon de <b>{data.LandingRadius_UI}|fmt(min_frac=1,max_frac=1)m</> autour de vous.",""
"LeapSlam_Mod_CooldownCharge_0Name","Charge de récupération",""
"LeapSlam_Mod_CooldownCharge_1Description","<b>+{CDCharge}|round()</> charge(s) de récupération.\n<b>+{BaseCD}|round()s</> de temps de recharge de base.",""
"LeapSlam_Mod_EnhancedStagger_0Name","Saut chancelant",""
"LeapSlam_Mod_EnhancedStagger_1Description","<b>{MoreDmg_UI}|round()%</> de dégâts supplémentaires.\nOctroie une chance secondaire de <b>{Chance_UI}|round()%</> d'<me_Stagger>Étourdir</>.",""
"LeapSlam_Mod_EnhancedStagger_2DescriptionShort","Octroie une chance secondaire de <b>{Chance_UI}|round()%</> d'<me_Stagger>Étourdir</>.",""
"LeapSlam_Mod_ForcefulJump_0Name","Saut sismique",""
"LeapSlam_Mod_ForcefulJump_1Description","<b>{Dmg_UI}|round()%</> de dégâts supplémentaires à l'atterrissage.\nInflige <b>{LaunchDmg}|round()</> <me_StrikeDam>Dégâts de frappe</> dans un rayon de <b>{data.LaunchRadius_UI}|fmt(min_frac=1,max_frac=1)m</> autour de votre position de départ.",""
"LeapSlam_Mod_ForcefulJump_2DescriptionShort","Inflige <b>{LaunchDmg}|round()</> <me_StrikeDam>Dégâts de frappe</> dans un rayon de <b>{data.LaunchRadius_UI}|fmt(min_frac=1,max_frac=1)m</> autour de votre position de départ.",""
"LeapSlam_Mod_Leap_0Name","Échappatoire",""
"LeapSlam_Mod_Leap_1Description","<b>{MPCost_UI}|round()%</> de coût en Énergie en moins.\n<b>{CDMod_UI}|round()%</> de temps de recharge en moins.\nVotre Saut n'inflige plus de dégâts.\nTags : -<me_Exhaust>Épuisement</>",""
"LeapSlam_Mod_RageGain_0Name","Gain de rage",""
"LeapSlam_Mod_RageGain_1Description","Gagnez <b>{Rage}|round()</> cumul(s) de <me_Rage>Rage</> si vous touchez des ennemis à l'atterrissage.",""
"LeapSlam_Mod_SlamAttack_0Name","Attaque écrasante",""
"LeapSlam_Mod_SlamAttack_1Description","Inflige à la place <b>{WeaponDmg_UI}|round()%</> des dégâts de l'arme à l'atterrissage.\nMêlée et Bâton uniquement.",""
"LeapSlam_Mod_SlamAttack_4Ability_Description","Saute vers l'endroit ciblé, infligeant <b>{data.WeaponDmg_UI}|round()%</> des dégâts de l'arme à l'atterrissage dans un rayon de <b>{data.LandingRadius_UI}|fmt(min_frac=1,max_frac=1)m</> autour de vous.",""
"LeapSlam_Mod_Stun_0Name","Étourdissement",""
"LeapSlam_Mod_Stun_1Description","Au départ et à l'atterrissage, <b>{StunChance_UI}|round()%</> de chances d'<me_Stun>Étourdir</> pendant <b>{StunDuration}|fmt(min_frac=1,max_frac=1)s</>.\n<b>+{BaseCD}|round()s</> de temps de recharge de base.",""
"LeapSlam_Mod_Stun_2DescriptionShort","Au départ et à l'atterrissage, <b>{StunChance_UI}|round()%</> de chances d'<me_Stun>Étourdir</> pendant <b>{StunDuration}|fmt(min_frac=1,max_frac=1)s</>.",""
"Stomp_0Name","Piétinement",""
"Stomp_1Description","Frappe le sol, infligeant <b>{data.Dmg}|round()</> <me_StrikeDam>Dégâts de frappe</> dans un rayon de <b>{data.Radius_UI}|fmt(min_frac=1,max_frac=1)m</> autour de vous et <me_Stun>étourdit</> les ennemis touchés pendant <b>{data.StunDuration}|fmt(min_frac=1,max_frac=1)s</>.",""
"Stomp_Mod_Overwhelm_0Name","Consommer l'accablement",""
"Stomp_Mod_Overwhelm_1Description","Consomme tout l'<me_Overwhelm>Accablement</> pour <b>{DmgMod_UI}|round()%</> de dégâts supplémentaires, un rayon de <b>+{RadiusMod_UI}|fmt(min_frac=1,max_frac=1)m</> et <b>+{StunDuration}|fmt(min_frac=1,max_frac=1)s</> de durée d'<me_Stun>Étourdissement</>.\nTags : +<me_Overwhelm>Accablement</>",""
"Stomp_Mod_Overwhelm_2DescriptionShort","Consomme tout l'<me_Overwhelm>Accablement</> pour <b>{DmgMod_UI}|round()%</> de dégâts supplémentaires, un rayon de <b>+{RadiusMod_UI}|fmt(min_frac=1,max_frac=1)m</> et <b>+{StunDuration}|fmt(min_frac=1,max_frac=1)s</> de durée d'<me_Stun>Étourdissement</>.",""
"Stomp_Mod_EnhancedAilment_0Name","Affliction améliorée",""
"Stomp_Mod_EnhancedAilment_1Description","<b>+{AilmentMod_UI}|round()%</> de <me_AilmentChance>Chances d'affliction</> de base ajoutées.\n<b>{DmgMod_UI}|round()%</> de dégâts en moins.",""
"Stomp_Mod_RagingStomp_0Name","Piétinement enragé",""
"Stomp_Mod_RagingStomp_1Description","À l'utilisation, gagnez <b>{RageGain}|round()</> <me_Rage>Rage</>.\n<b>{AilmentMod_UI}|round()%</> de <me_AilmentChance>Chances d'affliction</> supplémentaires par point de <me_Rage>Rage</>.",""
"Stomp_Mod_Slow_0Name","Ralentissement",""
"Stomp_Mod_Slow_1Description","Les ennemis touchés sont <me_Slow>ralentis</> de <b>{Slow_UI}|round()%</> pendant <b>{SlowDuration}|fmt(min_frac=1,max_frac=1)s</>.",""
"Stomp_Mod_EnhancedStun_0Name","Étourdissement amélioré",""
"Stomp_Mod_EnhancedStun_1Description","<b>+{StunDurationMod}|fmt(min_frac=1,max_frac=1)s</> de durée d'<me_Stun>Étourdissement</>.\n<b>{DmgMod_UI}|round()%</> de dégâts en moins.\n<b>+{CDMod}|round()s</> de temps de recharge de base.\nTags : +<me_Disruption>Perturbation</>",""
"Stomp_Mod_EnhancedStun_2DescriptionShort","<b>+{StunDurationMod}|fmt(min_frac=1,max_frac=1)s</> d'<me_Stun>Étourdissement</>, <b>{DmgMod_UI}|round()%</> de dégâts en moins, <b>+{CDMod}|round()s</> de temps de recharge de base.",""
"Stomp_Mod_QuickStomp_0Name","Piétinement rapide",""
"Stomp_Mod_QuickStomp_1Description","Peut être utilisé pendant les compétences de <me_Channel>Canalisation</>.",""
"Stomp_Mod_Interrupt_0Name","Interruption",""
"Stomp_Mod_Interrupt_1Description","Lorsque vous touchez un ennemi qui <me_Channel>canalise</>, <b>+0.4s</> de durée d'<me_Stun>Étourdissement</>.\nSi vous touchez un ennemi qui <me_Channel>canalise</>, réduit le temps de recharge de <b>{CDRefresh}%</> (une fois par utilisation).",""
"Stomp_Mod_SappingStomp_0Name","Piétinement siphonnant",""
"Stomp_Mod_SappingStomp_1Description","Les ennemis touchés perdent <b>{MPRemoval}</> Énergie.",""
"HeavyAttack_0Name","Attaque lourde",""
