Key,SourceString,DevComment
"WeaponProficiency_0Name","Weapon Proficiency",""
"WeaponProficiency_1Description","<b_gold>Level {CurrentLevel}:</>\n<b>{DmgCurrent}|floor()%</> increased Damage with Weapon Attacks\n<b>{ASCurrent}|floor()%</> increased Attack Speed\n\n<b_gold>Level {NextLevel}:</>\n<b>{DmgNext}|floor()%</> increased Damage with Weapon Attacks\n<b>{ASNext}|floor()%</> increased Attack Speed",""
"WeaponProficiency_Feat_AttackSpeed_0Name","Attack Speed",""
"WeaponProficiency_Feat_AttackSpeed_1Description","<b>{AttackSpeed}|floor()%</> increased Attack Speed",""
"WeaponProficiency_Feat_Damage_0Name","Weapon Damage","unused"
"WeaponProficiency_Feat_Damage_1Description","<b>{Dmg}|floor()%</> increased Damage with Weapon Attacks","unused"
"WeaponProficiency_Feat_Ailment_0Name","Ailment Chance",""
"WeaponProficiency_Feat_Ailment_1Description","<b>{Ailment}|floor()%</> increased <me_AilmentChance>Ailment Chance</> with Weapon Attacks",""
"WeaponProficiency_Feat_Crit_0Name","Critical Chance",""
"WeaponProficiency_Feat_Crit_1Description","<b>30%</> increased <me_Critical>Critical Hit</> Chance with Weapon Attacks",""
"BattleHardened_0Name","Battle Hardened",""
"BattleHardened_1Description","<b_gold>Level {CurrentLevel}:</>\n<b>+{FlatHPCurrent}|floor()</> Health\n<b>{IncrHPCurrent}%</> increased Health\n<b>{IncrArmorCurrent}%</> increased <me_Armor>Armor</>\n\n<b_gold>Level {NextLevel}:</>\n<b>+{FlatHPNext}|floor()</> Health\n<b>{IncrHPNext}%</> increased Health\n<b>{IncrArmorNext}%</> increased <me_Armor>Armor</>",""
"BattleHardened_Feat_Armor_0Name","Armor",""
"BattleHardened_Feat_Armor_1Description","<b>{Armor}|floor()%</> increased <me_Armor>Armor</>",""
"BattleHardened_Feat_Health_0Name","Health",""
"BattleHardened_Feat_Health_1Description","<b>{MaxHP}|floor()%</> increased Health",""
"BattleHardened_Feat_HealthRegen_0Name","Health Regeneration",""
"BattleHardened_Feat_HealthRegen_1Description","<b>{HPRegen}|floor()%</> increased Health Regeneration",""
"HeartOfBattle_0Name","Heart of Battle",""
"HeartOfBattle_1Description","<b_gold>Level {CurrentLevel}:</>\nFor each enemy within a <b>{Radius}|fmt(min_frac=1,max_frac=1)m</> radius, gain <b>{Dmg}|round()%</> increased Damage up to <b>{LimitCurrent}|round()%</>.\n\n<b_gold>Level {NextLevel}:</>\nFor each enemy within a <b>{Radius}|fmt(min_frac=1,max_frac=1)m</> radius, gain <b>{Dmg}|round()%</> increased Damage up to <b>{LimitNext}|round()%</>.",""
"HeartOfBattle_Feat_Damage_0Name","Enhanced Damage",""
"HeartOfBattle_Feat_Damage_1Description","Gain another <b>{Dmg}|round()%</> increased Damage per enemy. The Damage Increase limit stays the same.",""
"HeartOfBattle_Feat_Limit_0Name","Enhanced Limit",""
"HeartOfBattle_Feat_Limit_1Description","<b>{Limit}|round()%</> added to the Damage Increase limit.",""
"HeartOfBattle_Feat_Armor_0Name","Enhanced Armor",""
"HeartOfBattle_Feat_Armor_1Description","Gain <b>{Armor}|round()%</> increased <me_Armor>Armor</> per enemy up to <b>{Limit_UI}|round()%</> (half the limit for Damage).",""
"BattleRage_0Name","Battle Rage",""
"BattleRage_1Description","<b_gold>Level {CurrentLevel}:</>\n<b>{DmgCurrent}|floor()%</> increased Damage\n<b>{RageEffectCurrent}|floor()%</> increased <me_Rage>Rage</> Effect\n\n<b_gold>Level {NextLevel}:</>\n<b>{DmgNext}|floor()%</> increased Damage\n<b>{RageEffectNext}|floor()%</> increased <me_Rage>Rage</> Effect",""
"BattleRage_Feat_RageOnKill_0Name","Rage On Kill",""
"BattleRage_Feat_RageOnKill_1Description","On kill you have a <b>{Chance}%</> Chance to gain <b>{RageAmount}</> <me_Rage>Rage</>",""
"BattleRage_Feat_RageAmount_0Name","Rage Amount",""
"BattleRage_Feat_RageAmount_1Description","+<b>{MaxRage}</> Maximum <me_Rage>Rage</>",""
"BattleRage_Feat_RageOverflow_0Name","Rage Overflow",""
"BattleRage_Feat_RageOverflow_1Description","Whenever <me_Rage>Rage</> <me_Overflow>Overflows</>, heal for <b>{Heal}</>",""
"MartialExpert_0Name","Martial Expert",""
"MartialExpert_1Description","<b_gold>Level {CurrentLevel}:</>\n<b>{DmgCurrent}|floor()%</> increased <me_Physical>Physical Damage</>\n<b>{AilmentCurrent}|floor()%</> increased <me_Bleed>Bleed</> and <me_Stagger>Stagger</> Chance\n\n<b_gold>Level {NextLevel}:</>\n<b>{DmgNext}|floor()%</> increased <me_Physical>Physical Damage</>\n<b>{AilmentNext}|floor()%</> increased <me_Bleed>Bleed</> and <me_Stagger>Stagger</> Chance",""
"MartialExpert_Feat_Pierce_0Name","Pierce",""
"MartialExpert_Feat_Pierce_1Description","<b>10%</> increased <me_PierceDam>Pierce Damage</> and <me_Bleed>Bleed</> <me_AilmentPower>Power</>",""
"MartialExpert_Feat_Strike_0Name","Strike",""
"MartialExpert_Feat_Strike_1Description","<b>10%</> increased <me_StrikeDam>Strike Damage</> and <me_Stagger>Stagger</> <me_AilmentPower>Power</>",""
"MartialExpert_Feat_Damage_0Name","Damage",""
"MartialExpert_Feat_Damage_1Description","<b>10%</> increased <me_Physical>Physical Damage</>",""
"CombatRush_0Name","Combat Rush",""
"CombatRush_1Description","<b_gold>Level {CurrentLevel}:</>\nWhenever you hit an enemy with a Melee skill, gain <b>{DmgCurrent}|floor()%</> increased Damage and <b>20%</> increased Movement Speed for <b>1s</>.\n\n<b_gold>Level {NextLevel}:</>\nWhenever you hit an enemy with a Melee skill, gain <b>{DmgNext}|floor()%</> increased Damage and <b>20%</> increased Movement Speed for <b>1s</>.",""
"CombatRush_Feat_Armor_0Name","Armor",""
"CombatRush_Feat_Armor_1Description","While affected by Combat Rush gain <b>15%</> increased <me_Armor>Armor</>",""
"CombatRush_Feat_Damage_0Name","Damage",""
"CombatRush_Feat_Damage_1Description","While affected by Combat Rush gain <b>12%</> increased Weapon Damage",""
"CombatRush_Feat_Regeneration_0Name","Regeneration",""
"CombatRush_Feat_Regeneration_1Description","While affected by Combat Rush gain <b>15%</> increased Health Regeneration",""
"VersatileDefense_0Name","Versatile Defense",""
"VersatileDefense_1Description","<b_gold>Level {CurrentLevel}:</>\n<b>{ArmorCurrent}|floor()%</> increased <me_Armor>Armor</>\n<b>+{MagicResCurrent}%</> to <me_Thermic>Thermic</> and <me_Nature>Natural</> Resistances\n<b>{DodgeCDSpdCurrent}|floor()%</> increased Dodge Cooldown Rate\n\n<b_gold>Level {NextLevel}:</>\n<b>{ArmorNext}|floor()%</> increased <me_Armor>Armor</>\n<b>+{MagicResNext}%</> to <me_Thermic>Thermic</> and <me_Nature>Natural</> Resistances\n<b>{DodgeCDSpdNext}|floor()%</> increased Dodge Cooldown Rate",""
"VersatileDefense_Feat_Armor_0Name","Armor",""
"VersatileDefense_Feat_Armor_1Description","<b>{Armor}%</> increased <me_Armor>Armor</>",""
"VersatileDefense_Feat_Dodge_0Name","Movement",""
"VersatileDefense_Feat_Dodge_1Description","<b>{MovementCD}%</> increased Movement Skill Cooldown Rate",""
"VersatileDefense_Feat_Barrier_0Name","Barrier",""
"VersatileDefense_Feat_Barrier_1Description","<b>{Barrier}%</> increased <me_FreeBarrier>Free Barrier</> with a shield equipped",""
"Marksmanship_0Name","Marksmanship",""
"Marksmanship_1Description","<b_gold>Level {CurrentLevel}:</>\n<b>{DmgCurrent}|floor()%</> increased Projectile Damage\n<b>{ProjSpeedCurrent}|floor()%</> increased Projectile Speed\n\n<b_gold>Level {NextLevel}:</>\n<b>{DmgNext}|floor()%</> increased Projectile Damage\n<b>{ProjSpeedNext}|floor()%</> increased Projectile Speed",""
"Marksmanship_Feat_Penetration_0Name","Projectile Penetration",""
"Marksmanship_Feat_Penetration_1Description","<b>40%</> increased  <me_Penetration>Projectile Penetration</>",""
"Marksmanship_Feat_Damage_0Name","Projectile Damage",""
"Marksmanship_Feat_Damage_1Description","<b>25%</> increased Projectile Damage\n<b>40%</> reduced Projectile Speed",""
"Marksmanship_Feat_Range_0Name","Projectile Range",""
"Marksmanship_Feat_Range_1Description","<b>25%</> increased Projectile Speed and Projectile Range",""
"FrenziedRage_0Name","Frenzied Rage",""
"FrenziedRage_1Description","<b_gold>Level {CurrentLevel}:</>\n<b>{RageEffectCurrent}|floor()%</> increased <me_Rage>Rage</> Effect\n<b>{RageDurationCurrent}|floor()%</> increased <me_Rage>Rage</> Duration\n\n<b_gold>Level {NextLevel}:</>\n<b>{RageEffectNext}|floor()%</> increased <me_Rage>Rage</> Effect\n<b>{RageDurationNext}|floor()%</> increased <me_Rage>Rage</> Duration",""
"FrenziedRage_Feat_Overflow_0Name","Rage Overflow",""
"FrenziedRage_Feat_Overflow_1Description","Whenever <me_Rage>Rage</> <me_Overflow>Overflows</>, gain <b>+{WeaponDmg}</> Weapon <me_PierceDam>Pierce</> and <me_StrikeDam>Strike Damage</> and <b>{MSmod}%</> increased Movement Speed for <b>{Duration}s</>.",""
"FrenziedRage_Feat_MinMax_0Name","Rage Stacks",""
"FrenziedRage_Feat_MinMax_1Description","<b>+{MinRage}</> Minimum <me_Rage>Rage</>\n<b>-{MaxRage}</> Maximum <me_Rage>Rage</>",""
"FrenziedRage_Feat_Duration_0Name","Rage Duration",""
"FrenziedRage_Feat_Duration_1Description","<b>{Duration}%</> increased <me_Rage>Rage</> Duration",""
"Skullbreaker_0Name","Skullbreaker",""
"Skullbreaker_1Description","<b_gold>Level {CurrentLevel}:</>\n<b>{StaggerChanceCurrent}|floor()%</> increased <me_Stagger>Stagger</> Chance\n<b>{StunDurationCurrent}|floor()%</> increased <me_Stun>Stun</> Duration\n\n<b_gold>Level {NextLevel}:</>\n<b>{StaggerChanceNext}|floor()%</> increased <me_Stagger>Stagger</> Chance\n<b>{StunDurationNext}|floor()%</> increased <me_Stun>Stun</> Duration",""
"Skullbreaker_Feat_MaxStagger_0Name","Maximum Stagger",""
"Skullbreaker_Feat_MaxStagger_1Description","<b>+{MaxStagger}</> Maximum <me_Stagger>Stagger</>",""
"Skullbreaker_Feat_StaggerDuration_0Name","Stagger Duration",""
"Skullbreaker_Feat_StaggerDuration_1Description","<b>{Duration}%</> increased <me_Stagger>Stagger</> Duration",""
"Skullbreaker_Feat_StunDuration_0Name","Stun Duration",""
