Key,SourceString,DevComment
"dt_lore_intro_chapter.00_m_tu_note_from_mentor.Heading","Note de votre mentor",""
"dt_lore_intro_chapter.00_m_tu_note_from_mentor.TextBody","\""D'Aristonoé, ton mentor et amie.\r\n\r\nTu seras soulagé d'apprendre que nous ne nous entraînerons pas ce matin. À vrai dire, il ne me reste que peu de choses à t'enseigner.\r\n\r\nPardonne-moi si cela semble sentimental. Je n'avais jamais prévu d'élever un enfant, et j'ignorais comment m'y prendre. Alors, je t'ai entraîné à la place. Je t'ai appris ce qui, je l'espérais, t'aiderait à survivre.\r\n\r\nJe sais que tu as des questions. Sur tes origines. Sur le but de tout cet entraînement.\r\n\r\nRetrouve-moi à l'endroit habituel cet après-midi, de l'autre côté du pont. Il y a quelque chose que je dois te montrer.\""",""
"dt_lore_intro_chapter.00_s_ares_in_a_jar.Heading","Étrange sanctuaire",""
"dt_lore_intro_chapter.00_s_ares_in_a_jar.TextBody","Un sanctuaire dédié à Hermès. Il manque quelque chose.",""
"dt_lore_intro_chapter.00_m_tu_mastery_shrine.Heading","Les présents d'Achille",""
"dt_lore_intro_chapter.00_m_tu_mastery_shrine.TextBody","\""Les Moires avaient prédit que le fils de Thétis surpasserait son père en gloire, si bien qu'aucun dieu ne voulut s'unir à la nymphe. Elle épousa alors le mortel Pélée et, à la naissance de son fils, elle l'emmena au sanctuaire de la maîtrise divine pour qu'il reçoive ses dons. Son nom était Achille, le plus grand de tous les Grecs.\""",""
"dt_lore_intro_chapter.00_s_tu_boat.Heading","Bateau de pêche",""
"dt_lore_intro_chapter.00_s_tu_boat.TextBody","Aristonoé t'a emmené pêcher une fois, mais aucun de vous n'a réussi à attraper quoi que ce soit.",""
"dt_lore_intro_chapter.00_s_epitaph_for_patricus.Heading","Épitaphe fraîche",""
"dt_lore_intro_chapter.00_s_epitaph_for_patricus.TextBody","\""Patricus, tu étais le chien le plus fidèle qu'un homme puisse espérer. Bien que tu fusses encore petit, tu avais un cœur de lion.\""",""
