Key,SourceString,DevComment
"dt_lore_IchthianChapter_FloodedFarmlands.DestroyedHouse.Heading","Atre abandonné",""
"dt_lore_IchthianChapter_FloodedFarmlands.DestroyedHouse.TextBody","Une odeur de moisissure imprègne les cendres détrempées de l'âtre. Les restes d'un repas abandonné finissent de pourrir.",""
"dt_lore_IchthianChapter_FloodedFarmlands.AbandonedHouse.Heading","Lettre tachée de larmes",""
"dt_lore_IchthianChapter_FloodedFarmlands.AbandonedHouse.TextBody","De Tecmessa, ta chère et fidèle sœur. Tendres salutations à Chrysanthe.\r\n\r\nJ'ai attendu ton retour aussi longtemps que possible, espérant que tu reviendrais de ton voyage saine et sauve. Mais les Ichthiens se rapprochent chaque jour, et je ne suis qu'une vieille femme. Bien que j'abandonnerais volontiers notre foyer, je ne peux guère le défendre avec des casseroles.\r\n\r\nJ'écris dans l'espoir que tu reviennes, que tu trouves cette note et que tu me rejoignes dans l'enclave, sous la protection de la milice.\r\n\r\nPuisse Zeus, seigneur des voyageurs, te ramener saine et sauve à la maison.",""
"dt_lore_IchthianChapter_FloodedFarmlands.EranaRuins.Heading","INSCRIPTION",""
"dt_lore_IchthianChapter_FloodedFarmlands.EranaRuins.TextBody","L'inscription suivante est gravée dans la pierre :\r\n\""LA MÉNAGERIE DE PIERRE DE L'HONORABLE REINE ERANA\r\n'CE QUI JADIS VIVAIT M'ATTEND DÉSORMAIS ÉTERNELLEMENT'\""",""
"dt_lore_IchthianChapter_FloodedFarmlands.IchthianCampSouthofEnclave.Heading","Pierre sanglante",""
"dt_lore_IchthianChapter_FloodedFarmlands.IchthianCampSouthofEnclave.TextBody","Les Ichthiens rejettent les dieux de l'Olympe ; cette pierre maculée de sang doit donc servir un autre dessein. Vous frémissez à l'idée de savoir lequel.",""
"dt_lore_IchthianChapter_FloodedFarmlands.TeleporterShrine.Heading","Le mystère des sanctuaires",""
"dt_lore_IchthianChapter_FloodedFarmlands.TeleporterShrine.TextBody","Les vieux récits parlent d'un sentier utilisé par les dieux eux-mêmes pour parcourir les royaumes mortels en des temps reculés.\r\n\r\nCertains supposent que ces sanctuaires étaient autrefois les entrées de cette route céleste, semblable à l'île où l'astucieux Ulysse accosta pour voyager vers les Enfers.\r\n\r\nL'histoire du brave Aristomène, qui tint tête aux Ichthiens avec ses compagnons d'armes, décrit le héros se déplaçant à une vitesse divine à travers le pays. Peut-être ce sanctuaire en détient-il la clé.\r\n\r\nMais le temps des dieux et des héros s'efface. Seuls restent les monstres. Les secrets de ce sanctuaire sont, je le crains, perdus à jamais.",""
"dt_lore_IchthianChapter_FloodedFarmlands.StolosNote.Heading","Parchemin taché de vin",""
"dt_lore_IchthianChapter_FloodedFarmlands.StolosNote.TextBody","Les mots suivants ont été écrits d'une main tremblante :\r\n\r\n\""Le poète dit que 'le temps guérit tous les maux inutiles', mais c'est un menteur.\r\n\r\nTu étais ma moitié, celle qui ordonnait à mon cœur de battre et à mes poumons de respirer.\r\n\r\nÀ quoi bon la déesse du Châtiment ? Némésis elle-même ne pourrait imaginer punition plus terrible que le chagrin.\""",""
"dt_lore_IchthianChapter_FloodedFarmlands.Sign_BetweenShrineAndEnclave.Heading","Panneau indicateur",""
"dt_lore_IchthianChapter_FloodedFarmlands.Sign_BetweenShrineAndEnclave.TextBody","Quelqu'un a barré FERME DE STOLOS et a griffonné ENCLAVE à la place - NORD-EST\r\n\r\nCIMETIÈRE - NORD-OUEST\r\n\r\nSANCTUAIRE DE GLAUKOS - SUD-OUEST",""
"dt_lore_IchthianChapter_FloodedFarmlands.Sign_TeleporterShrine.Heading","Panneau indicateur",""
"dt_lore_IchthianChapter_FloodedFarmlands.Sign_TeleporterShrine.TextBody","Quelqu'un a barré FERME DE STOLOS et a griffonné ENCLAVE à la place - NORD\r\n\r\nCIMETIÈRE - NORD-OUEST\r\n\r\nVILLAGE DE PYRGOS - SUD-EST\r\n\r\nSANCTUAIRE DE GLAUKOS - OUEST",""
"dt_lore_IchthianChapter_FloodedFarmlands.Sign_RuinedFarmSouth.Heading","Panneau indicateur",""
"dt_lore_IchthianChapter_FloodedFarmlands.Sign_RuinedFarmSouth.TextBody","Quelqu'un a barré FERME DE STOLOS et a griffonné ENCLAVE à la place - NORD\r\n\r\nVILLAGE DE PYRGOS - SUD\r\n\r\nSANCTUAIRE DE GLAUKOS - OUEST",""
"dt_lore_IchthianChapter_FloodedFarmlands.Sign_NearMilitiaResolve.Heading","Panneau indicateur",""
"dt_lore_IchthianChapter_FloodedFarmlands.Sign_NearMilitiaResolve.TextBody","SANCTUAIRE DE GLAUKOS - NORD-OUEST\r\n\r\nPOINTE DE CHARON - OUEST\r\n\r\nBELVÉDÈRE DU GUETTEUR - SUD-EST",""
"dt_lore_IchthianChapter_FloodedFarmlands.Sign_Enclave.Heading","Panneau indicateur",""
"dt_lore_IchthianChapter_FloodedFarmlands.Sign_Enclave.TextBody","VIGNOBLE - NORD-EST\r\n\r\nCIMETIÈRE - OUEST\r\n\r\nSANCTUAIRE DE GLAUKOS - SUD-OUEST",""
"dt_lore_IchthianChapter_FloodedFarmlands.Sign_NorthOfEnclave.Heading","Panneau indicateur",""
"dt_lore_IchthianChapter_FloodedFarmlands.Sign_NorthOfEnclave.TextBody","VIGNOBLE - NORD-EST\r\n\r\nQuelqu'un a barré FERME DE STOLOS et a griffonné ENCLAVE à la place - SUD\r\n\r\nCIMETIÈRE - SUD-OUEST",""
"dt_lore_IchthianChapter_FloodedFarmlands.01_ff_s_ng_bandit_journal.Heading","Journal de bandit",""
