Key,SourceString,DevComment
"dt_lore_northern_beaches.02_nb_m_if_ancient_skylla_note.Heading","Ancient Note",""
"dt_lore_northern_beaches.02_nb_m_if_ancient_skylla_note.TextBody","These hasty scrawlings are faded by time:\r\n\r\n\""...send reinforcements! Skylla,, she...\""",""
"dt_lore_northern_beaches.02_nb_m_mr_priest_skeletons_and_scroll.Heading","Ancient Warning",""
"dt_lore_northern_beaches.02_nb_m_mr_priest_skeletons_and_scroll.TextBody","On the edge of this temple are two chained skeletons, likely remains of ancient priests who served in this place. A dusty scroll lies beside one:\r\n\r\n\""The Priests of Kronos remain below, entombed within. Let them rot with their beloved scrolls, never again seeing the light of the sun. Such is the fate of any who seek forbidden lore. Those who dare tread these profaned halls be warned.\""",""
"dt_lore_northern_beaches.02_nb_m_mr_titanomachy.Heading","The Titanomachy",""
"dt_lore_northern_beaches.02_nb_m_mr_titanomachy.TextBody","\""…Zeus banished his father’s body to Tartaros, and he and his siblings banded together, gathering powerful allies, to face the remaining Titans in the ten-year battle that boiled seas and cracked the earth…\""",""
"dt_lore_northern_beaches.02_nb_m_mr_nature_of_titans.Heading","The Nature of Divinity",""
"dt_lore_northern_beaches.02_nb_m_mr_nature_of_titans.TextBody","\""…must remember that “Titan” is a title. The Titans are one group of gods, the older generation led by Kronos, and the Olympians are another, the younger generation led by Zeus, but the nature of their divinity remains the same…\""",""
"dt_lore_northern_beaches.02_nb_m_mr_wash_away_time.Heading","Dusty Scribblings",""
"dt_lore_northern_beaches.02_nb_m_mr_wash_away_time.TextBody","\""...time ticks ever on, wearing us down with wrinkles and aches… but by invoking its master we can wash them away, refreshing youth, extending our threads longer and longer…\""",""
"dt_lore_northern_beaches.02_nb_m_mr_the_sickle.Heading","The Sickle",""
"dt_lore_northern_beaches.02_nb_m_mr_the_sickle.TextBody","\""…in his mighty hand, a sickle of adamantine, dripping red with gore of his father’s gelded loins…\""",""
"dt_lore_northern_beaches.02_nb_m_mr_the_eaten_children.Heading","The Five Who Were Eaten",""
"dt_lore_northern_beaches.02_nb_m_mr_the_eaten_children.TextBody","\""…they must have been squished inside his belly, pressed together. Unable to starve, but hungry, never having tasted mother’s milk. No wonder they are tyrants. They were driven mad before they ever saw the sun…\""",""
"dt_lore_northern_beaches.02_nb_m_mr_main_mural.Heading","Ancient Carvings",""
"dt_lore_northern_beaches.02_nb_m_mr_main_mural.TextBody","The ancient inscription is carved by many hands, representing the collected research of generations of Priests of Kronos. It gives specific, step-by-step instructions on how to find the King of Titans\' body where it lies broken in Tartaros. How to gather power from Titan Ichor and use it to infuse his veins with fresh divine blood. How to revive the Master of Time so that he might undo Zeus’ trickery and take back his rightful throne, surely conferring his favor on whomever aided his return...",""
"dt_lore_northern_beaches.02_nb_m_mr_diary_of_klumenos_01.Heading","Ancient Diary",""
"dt_lore_northern_beaches.02_nb_m_mr_diary_of_klumenos_01.TextBody","Day 1:\r\nQueen Erana’s soldiers have sealed us in. The food is running out. If Alektruon is wrong, then we will all die down here. The Fates are cruel. I joined the order to search from an escape from death before age claimed me, but it only hastened my end. Reader, if you find this amongst my bones, know that my name was Klumenos and I was alive.",""
"dt_lore_northern_beaches.02_nb_m_mr_generic_mural.Heading","Faded Mural",""
"dt_lore_northern_beaches.02_nb_m_mr_generic_mural.TextBody","The mural depicts a group of women performing some sort of ritual around a dead tree. The only word you can make out, carved around the border is \""Kronos.\""",""
"dt_lore_northern_beaches.02_nb_m_mr_rise_again.Heading","Smudged Writing",""
"dt_lore_northern_beaches.02_nb_m_mr_rise_again.TextBody","\""HE WILL RISE AGAIN! HE WILL RISE AND CARRY US BACKWARD TO YOUTH AND LIFE ETERNAL!\""",""
"dt_lore_northern_beaches.02_nb_m_mr_orders_from_alektruon.Heading","Old Instructions",""
"dt_lore_northern_beaches.02_nb_m_mr_orders_from_alektruon.TextBody","\""Why is our membership so low!? We offer the promise of eternal life! Tell the recruiters to start with that. The Queen\'s ire is irrelevant...\""",""
"dt_lore_northern_beaches.02_nb_m_mr_old_sermon.Heading","Old Sermon",""
"dt_lore_northern_beaches.02_nb_m_mr_old_sermon.TextBody","\""Why do we mortals worship the gods? Because they are just? No. Because they are powerful. Kronos eclipses Zeus\'s power a hundredfold, so he is a hundred times more worthy of worship. Zeus bested him with trickery!\""",""
"dt_lore_northern_beaches.02_nb_m_mr_diary_of_klumenos_02.Heading","Ancient Diary",""
"dt_lore_northern_beaches.02_nb_m_mr_diary_of_klumenos_02.TextBody","Day 9:\r\nHe has attempted the ritual. It did not work. The food is gone. We thought ourselves able to master Time, but it will end us.",""
"dt_lore_northern_beaches.02_nb_m_mr_diary_of_klumenos_03.Heading","Ancient Diary",""
"dt_lore_northern_beaches.02_nb_m_mr_diary_of_klumenos_03.TextBody","Day 15:\r\nIt worked. After a fashion. Alektruon was able to refresh his youth. His hair turned from white to fresh black. His belly filled out and he was a well-fed youth again. He says it will be temporary, but that we can perform the ritual again and again, staving off age and starvation…",""
"dt_lore_northern_beaches.02_nb_m_mr_diary_of_klumenos_04.Heading","Ancient Diary",""
"dt_lore_northern_beaches.02_nb_m_mr_diary_of_klumenos_04.TextBody","Day 30:\r\nWe are not immortal. Two of the others got in a fight. They stabbed each other. They bled out on the floor, and the ritual did not revive them. Alektruon claims that true immortality is possible, but I do not know. We have time to keep trying. We must ensure that we do not fight. There are a score of us left, and with us all researching as one we can surely find the answer. We must not fight.",""
"dt_lore_northern_beaches.02_nb_m_mr_diary_of_klumenos_05.Heading","Ancient Diary",""
"dt_lore_northern_beaches.02_nb_m_mr_diary_of_klumenos_05.TextBody","Day 937:\r\nWe found the answer! At last! Praise Kronos! He can give us true immortality! He can restore those who have died! We must simply revive him from where he lies in Tartaros!",""
"dt_lore_northern_beaches.02_nb_m_mr_diary_of_klumenos_06.Heading","Ancient Diary",""
