Key,SourceString,DevComment
"dt_lore_arkadian_plains_mainline.chiron_lore_other_centaurs.Heading","À propos des autres centaures",""
"dt_lore_arkadian_plains_mainline.chiron_lore_other_centaurs.TextBody","\""Les autres centaures ne vivent que par impulsion, comme Ixion, leur ancêtre. Je partage leur forme, mais pas leur sang. C'est une chose solitaire que d'être différent des siens. Mais je ne pense pas qu'ils soient encore perdus...\""",""
"dt_lore_arkadian_plains_mainline.chiron_on_achilles.Heading","Mon plus grand élève",""
"dt_lore_arkadian_plains_mainline.chiron_on_achilles.TextBody","\""Achille, aux pieds légers, l'était plus encore dans sa colère. Pourtant, il maniait la lyre avec autant de douceur que la main de sa mère. Je lui ai appris l'équilibre : cette rage doit être tempérée, comme le fer dans la forge.\""",""
"dt_lore_arkadian_plains_mainline.chiron_on_poison.Heading","Sur la nature des blessures",""
"dt_lore_arkadian_plains_mainline.chiron_on_poison.TextBody","\""Une blessure peut se refermer avec le temps, mais la douleur, lorsqu'elle est rendue immortelle, n'obéit plus aux lois du temps. J'ai soigné la chair des hommes et des dieux, et pourtant je ne peux apaiser totalement la mienne. Néanmoins, je ne me rendrai pas.\""",""
"dt_lore_arkadian_plains_mainline.chiron_on_titan_ichor.Heading","Némésis et l'Ichor de Titan",""
"dt_lore_arkadian_plains_mainline.chiron_on_titan_ichor.TextBody","\""Némésis a vidé le lac en quête d'ichor de Titan. Mais que compte-t-elle faire de cette puissance ? Si les Olympiens refusent d'enquêter, alors je devrai le faire moi-même.\""",""
"dt_lore_arkadian_plains_mainline.chiron_on_nemesis_plans.Heading","Notes frénétiques",""
"dt_lore_arkadian_plains_mainline.chiron_on_nemesis_plans.TextBody","\""Cronos ! Elle veut utiliser le pouvoir du sang d'Ouranos pour relever Cronos ! Elle veut défaire la trame de ces derniers millénaires !\""",""
"dt_lore_arkadian_plains_mainline.chiron_translated_prophecy.Heading","Prophétie traduite",""
"dt_lore_arkadian_plains_mainline.chiron_translated_prophecy.TextBody","Une traduction d'un texte ancien entourée d'annotations et de notes :\r\n\r\n\""Celui qui naît avec la marque des dieux, une demi-lune sur l'épaule droite, s'il accède à la divinité, provoquera la chute du Châtiment.\""",""
"dt_lore_arkadian_plains_mainline.pegaea_diary.Heading","Étrange journal",""
"dt_lore_arkadian_plains_mainline.pegaea_diary.TextBody","\""Je vais commencer à consigner mes pensées pour ne pas sombrer dans la folie. J'ai vu ce que le temps seul peut infliger aux créatures les plus nobles. Je ne faiblirai pas, tout comme Chiron ne l'a jamais fait, même à la fin...\""\r\n\r\nQuelques entrées courtes et confuses suivent, puis le journal est abandonné.",""
"dt_lore_arkadian_plains_mainline.chiron_on_titan_ichor_fragment.Heading","Notes sur l'Ichor de Titan",""
"dt_lore_arkadian_plains_mainline.chiron_on_titan_ichor_fragment.TextBody","\""Même un petit fragment possède assez de pouvoir pour être dangereux ! Avec suffisamment... elle <b>pourrait</> relever Cronos...\""",""
"dt_lore_arkadian_plains_mainline.03_ap_m_cc_unfinished_letter.Heading","Message inachevé",""
"dt_lore_arkadian_plains_mainline.03_ap_m_cc_unfinished_letter.TextBody","\""Chère Électre,\r\n\r\nJ'espère qu'Agavé t'a fait parvenir ceci sans encombre. Je ne pourrai pas me rendre dans la partie haute de la ville comme je l'avais promis. C'est trop dangereux en ce moment. Dis aux enfants que je...\""",""
"dt_lore_arkadian_plains_mainline.skirion_orders_start_of_chapter.Heading","Ordres de Skirion",""
"dt_lore_arkadian_plains_mainline.skirion_orders_start_of_chapter.TextBody","\""Mes Porteurs de Marque !\r\nTout humain hors des murs de la cité est un soldat ! Un guerrier ennemi à abattre ! Tranchez leurs têtes et gagnez la gloire au nom d'Ixion !\r\n- Skirion\""",""
"dt_lore_arkadian_plains_mainline.looter_orders.Heading","Ordres du pillard",""
