Key,SourceString,DevComment
"active_quests","Quêtes actives",""
"completed_quests","Quêtes terminées",""
"main_quests","Quêtes du Destin",""
"side_quests","Quêtes du monde",""
"quest_log","Journal de quêtes",""
"quest_objective","Objectifs",""
"quest_optional_objective","Objectifs facultatifs",""
"quest_completed_objective","Objectifs terminés",""
"quest_summary","Résumé",""
"notification_started_quest","Quête commencée",""
"notification_updated_quest","Quête mise à jour",""
"notification_completed_quest","Quête terminée",""
"SyncState.FatedQuestsBehind","<red>L'hôte a davantage progressé dans l'histoire principale que vous. Les quêtes du Destin ne seront pas sauvegardées pour vous tant que vous ne rattraperez pas ce retard en solo ou en tant qu'hôte.</>",""
"SyncState.FatedQuestsAhead","Vous avez davantage progressé dans l'histoire principale que l'hôte. Toute nouvelle progression sera sauvegardée.",""
"SyncState.WorldQuestsBehind","<red>L'hôte a davantage progressé dans cette quête que vous. Cette quête du monde ne sera pas sauvegardée pour vous tant que vous ne rattraperez pas ce retard en solo ou en tant qu'hôte.</>",""
"pin_quest","Épingler la quête","Used in a toggle button to highlight a quest in the HUD and Map as pinned"
"unpin_quest","Désépingler la quête","Used in a toggle button to unpin a quest from  the HUD and Map"
