Key,SourceString,DevComment
"da_quest_01_ff_m_bs_prehub.m_Title","Sur un rivage étrange",""
"da_quest_01_ff_m_bs_prehub.m_HighVisionGoal","Je devrais découvrir où les Moires m'ont mené.",""
"da_quest_01_ff_m_bs_prehub.m_CompletedGoal","Je suis arrivé à Pyrgos, un village assiégé par les ichtyens. Le dieu local, Glaucos, devrait pouvoir m'aider à atteindre les Moires — si j'arrive à le trouver.",""
"da_quest_01_ff_m_bs_prehub.m_Summary","Mon mentor Aristonoé est morte. La déesse Némésis l'a tuée, puis m'a poursuivi à travers les mers. Je me serais noyé sans l'amulette qu'elle m'avait confiée. J'ignore où je suis, ou comment trouver les Moires comme le souhaitait Aristonoé.",""
"da_quest_01_ff_m_bs_prehub.m_CompletedSummary","Je me suis échoué, mais je ne suis pas seul. L'amulette d'Aristonoé contient l'esprit du cheval divin, Arion. Il est l'ami du dieu Glaucos, qui peut m'aider à atteindre le temple des Moires. Peut-être que les dieux me sourient enfin.",""
"da_quest_01_ff_m_bs_prehub.m_Objectives(0).m_Objectives.Description","Trouver un dieu pour aider à atteindre les Moires",""
"da_quest_01_ff_m_bs_prehub.m_Objectives(1).m_Objectives.Description","Glaucos peut vous aider",""
"da_quest_01_ff_m_bs_prehub.m_Objectives(2).m_Objectives.Description","Explorer la plage",""
"da_quest_01_ff_m_bs_prehub.m_Objectives(3).m_Objectives.Description","Suivre la voix",""
"da_quest_01_ff_m_bs_prehub.m_Objectives(4).m_Objectives.Description","Sauver Arion des crabes",""
"da_quest_01_ff_m_bs_prehub.m_Objectives(5).m_Objectives.Description","Suivre la route",""
"da_quest_01_ff_m_bs_prehub.m_Objectives(6).m_Objectives.Description","Traverser la grotte",""
"da_quest_01_ff_m_bs_prehub.m_Objectives(7).m_Objectives.Description","Continuer sur la route",""
"da_quest_01_ff_m_bs_prehub.m_Objectives(8).m_Objectives.Description","Vaincre les ichtyens",""
"da_quest_01_ff_m_bs_prehub.m_Objectives(9).m_Objectives.Description","Détruire le pont",""
"da_quest_01_ff_m_bs_prehub.m_Objectives(10).m_Objectives.Description","Voyager vers le village de Pyrgos avec Philon",""
"da_quest_01_ff_m_bs_prehub.m_Objectives(11).m_Objectives.Description","Vaincre les ichtyens au sanctuaire de Glaucos",""
"da_quest_01_ff_m_bs_prehub.m_Objectives(12).m_Objectives.Description","Parler à Philon",""
"da_quest_01_ff_m_bs_prehub.m_Objectives(13).m_Objectives.Description","Entrer dans le village de Pyrgos",""
"da_quest_01_ff_m_bs_prehub.m_QuestInformation(0).m_QuestInformation.HighVisionGoal","Une voix m'a appelé depuis l'amulette d'Aristonoé. Elle a dû s'échouer à proximité. Je devrais la chercher.",""
"da_quest_01_ff_m_bs_prehub.m_QuestInformation(1).m_QuestInformation.HighVisionGoal","Je devrais chercher un village pour savoir comment atteindre le temple des Moires.",""
"da_quest_01_ff_m_bs_prehub.m_QuestInformation(2).m_QuestInformation.HighVisionGoal","Le long de la route principale, j'ai trouvé un inconnu attaqué par des ichtyens. Peut-être peut-il m'aider à trouver les Moires.",""
"da_quest_01_ff_m_bs_prehub.m_QuestInformation(3).m_QuestInformation.HighVisionGoal","Arion pense que le dieu Glaucos peut nous aider. Je devrais continuer vers le village de Pyrgos et chercher le temple de Glaucos.",""
"da_quest_01_ff_m_bs_rizons_recruitment.m_Title","La cité sur la colline",""
"da_quest_01_ff_m_bs_rizons_recruitment.m_HighVisionGoal","Trouver un chemin à travers Pyrgos pour chercher Glaucos",""
"da_quest_01_ff_m_bs_rizons_recruitment.m_CompletedGoal","J'ai rejoint la milice de Pyrgos et j'ai obtenu l'accès à l'ascenseur",""
"da_quest_01_ff_m_bs_rizons_recruitment.m_Summary","L'ascenseur menant de Pyrgos aux terres agricoles est réservé à la milice en raison de la menace ichtyenne. Pour chercher Glaucos, je dois m'enrôler.",""
"da_quest_01_ff_m_bs_rizons_recruitment.m_CompletedSummary","J'ai fait mes preuves auprès du lochage Rizon et rejoint la milice de Pyrgos.",""
"da_quest_01_ff_m_bs_rizons_recruitment.m_Objectives(0).m_Objectives.Description","Trouver un passage à travers Pyrgos",""
"da_quest_01_ff_m_bs_rizons_recruitment.m_Objectives(1).m_Objectives.Description","Trouver un moyen d'accéder à l'ascenseur pour sortir de Pyrgos",""
"da_quest_01_ff_m_bs_rizons_recruitment.m_Objectives(2).m_Objectives.Description","Parler au lochage Rizon pour rejoindre la milice",""
"da_quest_01_ff_m_bs_rizons_recruitment.m_Objectives(3).m_Objectives.Description","Vaincre la brute ichtyenne",""
"da_quest_01_ff_m_bs_rizons_recruitment.m_Objectives(4).m_Objectives.Description","Parler au lochage Rizon",""
"da_quest_01_ff_m_bs_rizons_recruitment.m_QuestInformation(0).m_QuestInformation.HighVisionGoal","Rejoindre la milice pour accéder aux terres agricoles inondées",""
"da_quest_01_ff_m_bs_rizons_recruitment.m_QuestInformation(1).m_QuestInformation.HighVisionGoal","Personne ne peut utiliser l'ascenseur de Pyrgos sans faire partie de la milice. Je devrais m'enrôler pour chercher Glaucos.",""
"da_quest_01_ff_m_bs_rizons_recruitment.m_QuestInformation(2).m_QuestInformation.Summary","L'ascenseur menant aux terres agricoles est strictement réservé à la milice. Si je veux [poursuivre ma quête], je dois m'engager.",""
"da_quest_01_ff_embers_of_the_night.m_Title","Braises anciennes",""
"da_quest_01_ff_embers_of_the_night.m_HighVisionGoal","Trouver une utilité aux braises de la nuit",""
"da_quest_01_ff_embers_of_the_night.m_CompletedGoal","J'ai échangé des braises de la nuit avec Ianthé contre des récompenses",""
"da_quest_01_ff_embers_of_the_night.m_Summary","J'ai trouvé des braises de la nuit, d'étranges amas magiques vibrant d'une énergie sombre. Ils semblent précieux, quelqu'un à Pyrgos y portera sûrement de l'intérêt.",""
"da_quest_01_ff_embers_of_the_night.m_CompletedSummary","J'ai rencontré une vieille femme nommée Ianthé qui étudie les Mycéniens. Elle m'a offert des récompenses en échange des braises de la nuit.",""
"da_quest_01_ff_embers_of_the_night.m_Objectives(0).m_Objectives.Description","Trouver quelqu'un s'y connaissant en braises de la nuit",""
"da_quest_01_ff_embers_of_the_night.m_Objectives(1).m_Objectives.Description","Collecter 1 braise de la nuit",""
"da_quest_01_ff_embers_of_the_night.m_Objectives(2).m_Objectives.Description","Apporter 1 braise de la nuit à Ianthé",""
"da_quest_01_ff_embers_of_the_night.m_Objectives(3).m_Objectives.Description","Collecter 30 braises de la nuit",""
"da_quest_01_ff_m_ds_desecrated_shrine.m_Title","À la recherche du dieu marin",""
"da_quest_01_ff_m_ds_desecrated_shrine.m_HighVisionGoal","Je devrais aller au temple de Glaucos pour demander son aide afin d'atteindre les Moires.",""
"da_quest_01_ff_m_ds_desecrated_shrine.m_CompletedGoal","Il semble que le dieu Glaucos ait abandonné la région.",""
"da_quest_01_ff_m_ds_desecrated_shrine.m_Summary","Je dois parler aux Moires pour comprendre pourquoi Némésis me traque, mais seul un dieu peut me mener à elles. Arion pense que son vieil ami Glaucos peut aider.",""
"da_quest_01_ff_m_ds_desecrated_shrine.m_CompletedSummary","Le temple de Glaucos était dans un état terrible. Les ichtyens ont déterré de l'ichor de Titan dans la crypte. J'ai absorbé l'ichor et libéré la prêtresse, mais elle n'a pas pu invoquer Glaucos. Le dieu a vraiment disparu.",""
"da_quest_01_ff_m_ds_desecrated_shrine.m_Objectives(0).m_Objectives.Description","Aller au temple de Glaucos",""
"da_quest_01_ff_m_ds_desecrated_shrine.m_Objectives(1).m_Objectives.Description","Parler à Philon",""
"da_quest_01_ff_m_ds_desecrated_shrine.m_Objectives(2).m_Objectives.Description","Chercher les captifs",""
"da_quest_01_ff_m_ds_desecrated_shrine.m_Objectives(3).m_Objectives.Description","Libérer le prisonnier",""
"da_quest_01_ff_m_ds_desecrated_shrine.m_Objectives(4).m_Objectives.Description","Entrer dans la crypte",""
"da_quest_01_ff_m_ds_desecrated_shrine.m_Objectives(5).m_Objectives.Description","Trouver la prêtresse",""
"da_quest_01_ff_m_ds_desecrated_shrine.m_Objectives(6).m_Objectives.Description","Toucher l'ichor de Titan",""
"da_quest_01_ff_m_ds_desecrated_shrine.m_Objectives(7).m_Objectives.Description","Vaincre les ennemis",""
"da_quest_01_ff_m_ds_desecrated_shrine.m_Objectives(8).m_Objectives.Description","Prendre des nouvelles de la prêtresse",""
"da_quest_01_ff_m_ds_desecrated_shrine.m_Objectives(9).m_Objectives.Description","Toucher l'ichor de Titan",""
"da_quest_01_ff_m_ds_desecrated_shrine.m_Objectives(10).m_Objectives.Description","Quitter la crypte",""
"da_quest_01_ff_m_ds_desecrated_shrine.m_Objectives(11).m_Objectives.Description","Parler à la prêtresse",""
"da_quest_01_ff_m_ds_desecrated_shrine.m_QuestInformation(0).m_QuestInformation.HighVisionGoal","Les ichtyens ont envahi le temple et fait des prisonniers. Je devrais les libérer.",""
"da_quest_01_ff_m_ds_desecrated_shrine.m_QuestInformation(1).m_QuestInformation.HighVisionGoal","Les ichtyens ont capturé la prêtresse de Glaucos. Je devrais la libérer.",""
"da_quest_01_ff_m_ds_desecrated_shrine.m_QuestInformation(2).m_QuestInformation.HighVisionGoal","J'ai libéré la prêtresse. Elle va invoquer Glaucos pour moi. Je dois la retrouver au temple.",""
"da_quest_01_ff_m_moc_moirai_cave.m_Title","Murmures des Moires",""
"da_quest_01_ff_m_moc_moirai_cave.m_HighVisionGoal","Parler aux Moires",""
"da_quest_01_ff_m_moc_moirai_cave.m_CompletedGoal","J'ai parlé aux Moires",""
"da_quest_01_ff_m_moc_moirai_cave.m_Summary","Aristonoé m'a dit que mon seul espoir de survie face à Némésis était de consulter le Destin. Il est temps de les rencontrer.",""
