Key,SourceString,DevComment
"da_quest_02_nb_m_mr_friendly_priest.m_Title","The Tortured Priest",""
"da_quest_02_nb_m_mr_friendly_priest.m_HighVisionGoal","Absorb the Nemesis Energy within the Tortured Priest.",""
"da_quest_02_nb_m_mr_friendly_priest.m_CompletedGoal","I absorbed the Nemesis Energy from within the Tortured Priest.",""
"da_quest_02_nb_m_mr_friendly_priest.m_Summary","I encountered a Priest of Kronos, tortured by Nemesis\'s power in an ancient temple.",""
"da_quest_02_nb_m_mr_friendly_priest.m_CompletedSummary","I freed a Priest of Kronos who was tortured by Nemesis\'s power, and he revealed that Nemesis seeks to raise Kronos.",""
"da_quest_02_nb_m_mr_friendly_priest.m_Objectives(0).m_Objectives.Description","Speak to the Tortured Priest",""
"da_quest_02_nb_m_mr_friendly_priest.m_Objectives(1).m_Objectives.Description","Convince the Tortured Priest to release his Nemesis Energy",""
"da_quest_02_nb_m_mr_friendly_priest.m_Objectives(2).m_Objectives.Description","Absorb the Nemesis Energy within the Tortured Priest",""
"da_quest_02_nb_m_mr_hostile_priest.m_Title","The Deranged Priest",""
"da_quest_02_nb_m_mr_hostile_priest.m_HighVisionGoal","Absorb the Nemesis Energy within the Deranged Priest.",""
"da_quest_02_nb_m_mr_hostile_priest.m_CompletedGoal","I absorbed the Nemesis Energy from within the Deranged Priest.",""
"da_quest_02_nb_m_mr_hostile_priest.m_Summary","I came upon a Priest of Kronos who must have managed to survive within the temple for centuries. Nemesis seems to have filled him with her divine energy.",""
"da_quest_02_nb_m_mr_hostile_priest.m_CompletedSummary","I came upon a Priest of Kronos who gave Nemesis the knowledge of how to use Titan Ichor to raise Kronos, and in return she filled him with her dark energy.",""
"da_quest_02_nb_m_mr_hostile_priest.m_Objectives(0).m_Objectives.Description","Speak to the Deranged Priest",""
"da_quest_02_nb_m_mr_hostile_priest.m_Objectives(1).m_Objectives.Description","Absorb the Nemesis Energy from within the Deranged Priest",""
"da_quest_02_nb_m_mr_hostile_priest.m_Objectives(2).m_Objectives.Description","Absorb the Nemesis Energy from the shrine",""
"da_quest_02_nb_m_mr_hostile_priest.m_Objectives(3).m_Objectives.Description","Investigate the inscription on the stone",""
"da_quest_02_nb_m_mr_mycenaean_ruins.m_Title","Wardens of Time",""
"da_quest_02_nb_m_mr_mycenaean_ruins.m_HighVisionGoal","Absorb major Nemesis Energies within the ruined Temple of Kronos.",""
"da_quest_02_nb_m_mr_mycenaean_ruins.m_CompletedGoal","I absorbed Nemesis Energies within the Temple of Kronos.",""
"da_quest_02_nb_m_mr_mycenaean_ruins.m_Summary","Glaukos told me that the ruined Temple of Kronos contains a concentration of Nemesis\'s power. I should delve into the ruin and absorb all I can.",""
"da_quest_02_nb_m_mr_mycenaean_ruins.m_CompletedSummary","The Temple of Kronos contained more than just Nemesis Energy for me to absorb--forbidden lore about how to raise Kronos was hidden there.",""
"da_quest_02_nb_m_mr_mycenaean_ruins.m_Objectives(0).m_Objectives.Description","Enter the Temple of Kronos",""
"da_quest_02_nb_m_mr_mycenaean_ruins.m_Objectives(1).m_Objectives.Description","Find a major Nemesis Energy within the temple",""
"da_quest_02_nb_m_mr_mycenaean_ruins.m_Objectives(2).m_Objectives.Description","Absorb a major Nemesis Energy",""
"da_quest_02_nb_m_ds_digsite.m_Title","Stolen Divinity",""
"da_quest_02_nb_m_ds_digsite.m_HighVisionGoal","Absorb Nemesis Energy at the dig site",""
"da_quest_02_nb_m_ds_digsite.m_CompletedGoal","I used the dye phial to absorb Nemesis Energy",""
"da_quest_02_nb_m_ds_digsite.m_Summary","The Moirai gave me a powerful gift; a divine dye phial that I can use to absorb energy Nemesis left behind. Glaukos told me of an ichthian dig site where I can try it out.",""
"da_quest_02_nb_m_ds_digsite.m_CompletedSummary","I used the dye phial to absorb Nemesis Energy, and discovered that doing so connects my mind to Nemesis\'s for a brief time.",""
"da_quest_02_nb_m_ds_digsite.m_Objectives(0).m_Objectives.Description","Reach the ichthian dig site",""
"da_quest_02_nb_m_ds_digsite.m_Objectives(1).m_Objectives.Description","Absorb the minor Nemesis Energy at the small dig site",""
"da_quest_02_nb_m_ds_digsite.m_Objectives(2).m_Objectives.Description","Absorb the minor Nemesis Energy at the old siren nest",""
"da_quest_02_nb_m_ds_digsite.m_Objectives(3).m_Objectives.Description","Absorb the minor Nemesis Energy at the seaside fort",""
"da_quest_02_nb_m_ds_digsite.m_Objectives(4).m_Objectives.Description","Explore the center of the dig site",""
"da_quest_02_nb_m_ds_digsite.m_Objectives(5).m_Objectives.Description","Absorb the major Nemesis Energy",""
"da_quest_02_nb_m_ds_digsite.m_Objectives(6).m_Objectives.Description","Defeat Nemesis\'s harbingers",""
"da_quest_02_nb_m_ds_digsite.m_Objectives(7).m_Objectives.Description","Absorb the major Nemesis Energy",""
"da_quest_02_nb_m_ds_digsite.m_Objectives(8).m_Objectives.Description","Talk to Glaukos",""
"da_quest_02_nb_m_ds_digsite.m_Objectives(9).m_Objectives.Description","Find Glaukos",""
"da_quest_02_nb_m_ds_digsite.m_Objectives(10).m_Objectives.Description","Talk to Glaukos",""
"da_quest_02_nb_m_if_ichthian_fortress.m_Title","The Ichthian King",""
"da_quest_02_nb_m_if_ichthian_fortress.m_HighVisionGoal","Absorb the Nemesis Energy at the heart of the Ichthian Stronghold",""
"da_quest_02_nb_m_if_ichthian_fortress.m_CompletedGoal","I absorbed the Nemesis Energy at the Ichthian Stronghold",""
"da_quest_02_nb_m_if_ichthian_fortress.m_Summary","Glaukos sensed a major source of Nemesis Energy right at the heart of the ichthian\'s military power. Despite the danger, I\'ll need to find it.",""
"da_quest_02_nb_m_if_ichthian_fortress.m_CompletedSummary","I fought my way into the Ichthian Stronghold, defeated their king, and absorbed the Nemesis Energy.",""
"da_quest_02_nb_m_if_ichthian_fortress.m_Objectives(0).m_Objectives.Description","Find the Ichthian Stronghold",""
"da_quest_02_nb_m_if_ichthian_fortress.m_Objectives(1).m_Objectives.Description","Find a way around the fortifications",""
"da_quest_02_nb_m_if_ichthian_fortress.m_Objectives(2).m_Objectives.Description","Open the path through the ruins",""
"da_quest_02_nb_m_if_ichthian_fortress.m_Objectives(3).m_Objectives.Description","Explore the ruins",""
"da_quest_02_nb_m_if_ichthian_fortress.m_Objectives(4).m_Objectives.Description","Explore the stronghold\'s outskirts",""
"da_quest_02_nb_m_if_ichthian_fortress.m_Objectives(5).m_Objectives.Description","Jump through the waterfall",""
"da_quest_02_nb_m_if_ichthian_fortress.m_Objectives(6).m_Objectives.Description","Explore the cave",""
"da_quest_02_nb_m_if_ichthian_fortress.m_Objectives(7).m_Objectives.Description","Fight your way to the heart of the stronghold",""
"da_quest_02_nb_m_if_ichthian_fortress.m_Objectives(8).m_Objectives.Description","Kill King-of-Tides",""
"da_quest_02_nb_m_if_ichthian_fortress.m_Objectives(9).m_Objectives.Description","Absorb the Nemesis Energy within the statue",""
"da_quest_02_nb_m_mp_myterious_prophecy.m_Title","The Gift of Prophecy",""
"da_quest_02_nb_m_mp_myterious_prophecy.m_HighVisionGoal","Find Glaukos",""
"da_quest_02_nb_m_mp_myterious_prophecy.m_CompletedGoal","I found Glaukos and he helped interpret the Moirai\'s prophecy",""
"da_quest_02_nb_m_mp_myterious_prophecy.m_Summary","The Moirai gave me a powerful gift and a mysterious prophecy, telling me that finding Glaukos would help make my next steps clear.",""
"da_quest_02_nb_m_mp_myterious_prophecy.m_CompletedSummary","Talking to Glaukos made my next step clear: I need to test out my new Dye Phial by absorbing Nemesis Energy at the Ichthian Dig Site.",""
"da_quest_02_nb_m_mp_myterious_prophecy.m_Objectives(0).m_Objectives.Description","Return to the Moirai Temple",""
"da_quest_02_nb_m_mp_myterious_prophecy.m_Objectives(1).m_Objectives.Description","Reach the Northern Beaches beyond the Moirai Temple",""
"da_quest_02_nb_m_mp_myterious_prophecy.m_Objectives(2).m_Objectives.Description","Find Glaukos in the Northern Beaches",""
"da_quest_02_nb_m_mp_myterious_prophecy.m_Objectives(3).m_Objectives.Description","Find Glaukos at the Travelers\' Refuge",""
"da_quest_02_nb_m_mp_myterious_prophecy.m_Objectives(4).m_Objectives.Description","Tell Glaukos about the prophecy",""
