Key,SourceString
"da_quest_03_ap_m_ts_tegea_city.m_Title","Allumer la flamme"
"da_quest_03_ap_m_ts_tegea_city.m_HighVisionGoal","Allumer le fanal des champions"
"da_quest_03_ap_m_ts_tegea_city.m_CompletedGoal","J'ai allumé le fanal et lancé un Concours de Champions"
"da_quest_03_ap_m_ts_tegea_city.m_Summary","Je dois lancer un Concours de Champions en allumant le fanal, afin de gagner la liberté de Tégée et d'obtenir une audience avec Centaurus."
"da_quest_03_ap_m_ts_tegea_city.m_CompletedSummary","J'ai allumé le fanal des champions"
"da_quest_03_ap_m_ts_tegea_city.m_Objectives(0).m_Objectives.Description","Allumer le fanal des champions"
"da_quest_03_ap_m_ts_tegea_city.m_Objectives(1).m_Objectives.Description","Suivre le chat mystérieux"
"da_quest_03_ap_m_ts_tegea_city.m_Objectives(2).m_Objectives.Description","Parler à Skylla"
"da_quest_03_ap_m_ts_tegea_city.m_Objectives(3).m_Objectives.Description","Entrer dans le quartier des centaures et allumer le fanal"
"da_quest_03_ap_m_ts_tegea_city.m_Objectives(4).m_Objectives.Description","Rejoindre Skylla"
"da_quest_03_ap_m_ts_tegea_sewers.m_Title","Sous la ville"
"da_quest_03_ap_m_ts_tegea_sewers.m_HighVisionGoal","Entrer dans Tégée"
"da_quest_03_ap_m_ts_tegea_sewers.m_CompletedGoal","J'ai trouvé un moyen d'entrer dans Tégée"
"da_quest_03_ap_m_ts_tegea_sewers.m_Summary","Pegaea a dit que ma meilleure chance de trouver Chiron est de demander à Centaurus, mais le roi des centaures est à Tégée, qui est confinée. Je vais devoir m'y introduire furtivement."
"da_quest_03_ap_m_ts_tegea_sewers.m_CompletedSummary","J'ai atteint Tégée en me faufilant dans les égouts et j'ai rencontré la rébellion en chemin."
"da_quest_03_ap_m_ts_tegea_sewers.m_Objectives(0).m_Objectives.Description","Trouver un accès aux égouts"
"da_quest_03_ap_m_ts_tegea_sewers.m_Objectives(1).m_Objectives.Description","Atteindre Tégée par les égouts"
"da_quest_03_ap_m_ts_tegea_sewers.m_Objectives(2).m_Objectives.Description","Ouvrir la grille verrouillée des égouts"
"da_quest_03_ap_m_ts_tegea_sewers.m_Objectives(3).m_Objectives.Description","Trouver la poignée manquante"
"da_quest_03_ap_m_ts_tegea_sewers.m_Objectives(4).m_Objectives.Description","Utiliser la poignée pour actionner le levier"
"da_quest_03_ap_m_ts_tegea_sewers.m_Objectives(5).m_Objectives.Description","Parler à Kyra"
"da_quest_03_ap_m_ca_centaur_camp.m_Title","Un Concours de Champions"
"da_quest_03_ap_m_ca_centaur_camp.m_HighVisionGoal","Vaincre Skirion dans l'arène"
"da_quest_03_ap_m_ca_centaur_camp.m_CompletedGoal","J'ai vaincu Skirion"
"da_quest_03_ap_m_ca_centaur_camp.m_Summary","Pour obtenir une audience avec Centaurus et libérer Tégée, je dois tuer Skirion lors d'un combat rituel."
"da_quest_03_ap_m_ca_centaur_camp.m_CompletedSummary","J'ai vaincu Skirion dans l'arène, libéré Tégée et obtenu l'aide de Centaurus pour chercher Chiron."
"da_quest_03_ap_m_ca_centaur_camp.m_Objectives(0).m_Objectives.Description","Aller au camp de guerre des Marqués"
"da_quest_03_ap_m_ca_centaur_camp.m_Objectives(1).m_Objectives.Description","Parler aux chamanes pour acquérir des offrandes"
"da_quest_03_ap_m_ca_centaur_camp.m_Objectives(2).m_Objectives.Description","Parler à l'autre chamane pour obtenir une seconde offrande"
"da_quest_03_ap_m_ca_centaur_camp.m_Objectives(3).m_Objectives.Description","Entrer dans la tente"
"da_quest_03_ap_m_ca_centaur_camp.m_Objectives(4).m_Objectives.Description","Parler à Thespios"
"da_quest_03_ap_m_ca_centaur_camp.m_Objectives(5).m_Objectives.Description","Entrer dans l'arène"
"da_quest_03_ap_m_ca_centaur_camp.m_Objectives(6).m_Objectives.Description","Vaincre Skirion"
"da_quest_03_ap_m_ca_centaur_camp.m_Objectives(7).m_Objectives.Description","Rejoindre Centaurus dans la Salle des Vainqueurs"
"da_quest_03_ap_m_ca_centaur_camp.m_Objectives(8).m_Objectives.Description","Écouter Centaurus"
"da_quest_03_ap_m_ca_centaur_camp.m_Objectives(9).m_Objectives.Description","Parler à Centaurus"
"da_quest_03_ap_m_ca_centaur_camp.m_Objectives(10).m_Objectives.Description","(Optionnel) Collecter de nouvelles offrandes"
"da_quest_03_ap_m_ca_centaur_camp.m_Objectives(11).m_Objectives.Description","(Optionnel) Refaire le rituel"
"da_quest_03_ap_m_cc_chirons_cave.m_Title","Le plus sage des centaures"
"da_quest_03_ap_m_cc_chirons_cave.m_HighVisionGoal","Chercher Chiron"
"da_quest_03_ap_m_cc_chirons_cave.m_CompletedGoal","J'ai découvert que Némésis a enlevé Chiron il y a des années"
"da_quest_03_ap_m_cc_chirons_cave.m_Summary","Héphaïstos m'a chargé de trouver Chiron, l'être le plus sage qu'il connaisse, pour nous aider contre Némésis."
"da_quest_03_ap_m_cc_chirons_cave.m_CompletedSummary","J'ai découvert que Chiron subit un Châtiment Éternel, et que Centaurus, roi des centaures, sait probablement où le trouver."
"da_quest_03_ap_m_cc_chirons_cave.m_Objectives(0).m_Objectives.Description","Atteindre la grotte de Chiron"
"da_quest_03_ap_m_cc_chirons_cave.m_Objectives(1).m_Objectives.Description","Absorber l'énergie de Némésis bloquant la grotte"
"da_quest_03_ap_m_cc_chirons_cave.m_Objectives(2).m_Objectives.Description","Entrer dans la grotte de Chiron"
"da_quest_03_ap_m_cc_chirons_cave.m_Objectives(3).m_Objectives.Description","Chercher des indices sur la position de Chiron"
"da_quest_03_ap_m_cc_chirons_cave.m_Objectives(4).m_Objectives.Description","Trouver la cible des messagers derrière la porte"
"da_quest_03_ap_m_cc_chirons_cave.m_Objectives(5).m_Objectives.Description","Parler à la personne cachée"
"da_quest_03_ap_m_cc_chirons_cave.m_Objectives(6).m_Objectives.Description","Suivre Pegaea"
"da_quest_03_ap_m_cc_chirons_cave.m_Objectives(7).m_Objectives.Description","Trouver le message de Chiron"
"da_quest_03_ap_m_cc_chirons_cave.m_Objectives(8).m_Objectives.Description","Parler à Pegaea"
"da_quest_03_ap_m_cc_chirons_cave.m_Objectives(9).m_Objectives.Description","Chercher la clé des égouts de Tégée"
"da_quest_03_ap_m_ix_ixion_dungeon.m_Title","Le roi châtié"
"da_quest_03_ap_m_ix_ixion_dungeon.m_HighVisionGoal","Absorber l'énergie de Némésis en Ixion"
"da_quest_03_ap_m_ix_ixion_dungeon.m_CompletedGoal","J'ai absorbé l'énergie de Némésis en Ixion"
"da_quest_03_ap_m_ix_ixion_dungeon.m_Summary","J'ai passé un accord avec Centaurus pour libérer son père, Ixion, de son Châtiment Éternel avant de libérer Chiron."
"da_quest_03_ap_m_ix_ixion_dungeon.m_CompletedSummary","J'ai libéré Ixion de son Châtiment Éternel, mais il m'a attaqué, me forçant à le tuer pour me défendre."
"da_quest_03_ap_m_ix_ixion_dungeon.m_Objectives(0).m_Objectives.Description","Rejoindre Centaurus à la porte des terres sacrées"
"da_quest_03_ap_m_ix_ixion_dungeon.m_Objectives(1).m_Objectives.Description","Entrer dans le palais d'Ixion"
"da_quest_03_ap_m_ix_ixion_dungeon.m_Objectives(2).m_Objectives.Description","Trouver Ixion"
"da_quest_03_ap_m_ix_ixion_dungeon.m_Objectives(3).m_Objectives.Description","Trouver un moyen de passer la porte bloquée"
"da_quest_03_ap_m_ix_ixion_dungeon.m_Objectives(4).m_Objectives.Description","Ouvrir le passage secret"
"da_quest_03_ap_m_ix_ixion_dungeon.m_Objectives(5).m_Objectives.Description","Suivre le passage secret"
"da_quest_03_ap_m_ix_ixion_dungeon.m_Objectives(6).m_Objectives.Description","Sortir des égouts du palais"
"da_quest_03_ap_m_ix_ixion_dungeon.m_Objectives(7).m_Objectives.Description","Trouver le chemin pour remonter des oubliettes vers le palais"
"da_quest_03_ap_m_ix_ixion_dungeon.m_Objectives(8).m_Objectives.Description","Entrer dans la salle du trône d'Ixion"
"da_quest_03_ap_m_ix_ixion_dungeon.m_Objectives(9).m_Objectives.Description","Parler à Ixion"
"da_quest_03_ap_m_ix_ixion_dungeon.m_Objectives(10).m_Objectives.Description","Absorber l'énergie de Némésis d'Ixion"
"da_quest_03_ap_m_ix_ixion_dungeon.m_Objectives(11).m_Objectives.Description","Vaincre Ixion"
"da_quest_03_ap_m_ix_ixion_dungeon.m_Objectives(12).m_Objectives.Description","Terminer l'absorption de l'énergie de Némésis en Ixion"
"da_quest_03_ap_m_ix_ixion_dungeon.m_Objectives(13).m_Objectives.Description","Utiliser le sang d'Ixion pour ouvrir la voie vers les terres sacrées des centaures"
"da_quest_03_ap_m_ix_ixion_dungeon.m_Objectives(14).m_Objectives.Description","Entrer dans les terres sacrées des centaures"
"da_quest_03_ap_m_ol_olymp.m_Title","Intervention divine"
"da_quest_03_ap_m_ol_olymp.m_HighVisionGoal","Informer un Olympien de la menace que représente Némésis."
"da_quest_03_ap_m_ol_olymp.m_CompletedGoal","J'ai informé Héphaïstos de la menace que représente Némésis."
"da_quest_03_ap_m_ol_olymp.m_Summary","Skylla a ouvert un portail vers l'Olympe, où nous devrions chercher l'aide des Olympiens contre Némésis."
"da_quest_03_ap_m_ol_olymp.m_CompletedSummary","J'ai rencontré Héphaïstos, qui a promis son aide contre Némésis. Il nous a envoyés demander conseil à Chiron en Arkadie."
"da_quest_03_ap_m_ol_olymp.m_Objectives(0).m_Objectives.Description","Chercher l'aide d'un Olympien"
"da_quest_03_ap_m_ol_olymp.m_Objectives(1).m_Objectives.Description","Parler à Héphaïstos"
"da_quest_03_ap_m_ol_olymp.m_Objectives(2).m_Objectives.Description","Convaincre Héphaïstos de m'envoyer en Arkadie"
"da_quest_03_ap_m_ol_olymp.m_Objectives(3).m_Objectives.Description","S'enfuir par le portail vers l'Olympe"
"da_quest_03_ap_s_rs_resistance_north.m_Title","La riposte - Front Nord"
"da_quest_03_ap_s_rs_resistance_north.m_HighVisionGoal","Mener les embuscades rebelles au nord de Tégée"
"da_quest_03_ap_s_rs_resistance_north.m_CompletedGoal","J'ai mené les embuscades rebelles au nord de Tégée"
"da_quest_03_ap_s_rs_resistance_north.m_Summary","Kyra, la maîtresse espionne des rebelles, m'a demandé de mener des embuscades contre des chefs de guerre Marqués, éliminant ainsi une menace au nord de Tégée."
"da_quest_03_ap_s_rs_resistance_north.m_CompletedSummary","J'ai mené les embuscades et éliminé les chefs de guerre Marqués pour Kyra."
"da_quest_03_ap_s_rs_resistance_north.m_Objectives(0).m_Objectives.Description","Rencontrer la première équipe d'embuscade"
"da_quest_03_ap_s_rs_resistance_north.m_Objectives(1).m_Objectives.Description","S'infiltrer avec la première équipe d'embuscade"
"da_quest_03_ap_s_rs_resistance_north.m_Objectives(2).m_Objectives.Description","Tuer le chef de guerre Marqué"
"da_quest_03_ap_s_rs_resistance_north.m_Objectives(3).m_Objectives.Description","Faire le point avec la première équipe"
"da_quest_03_ap_s_rs_resistance_north.m_Objectives(4).m_Objectives.Description","Rencontrer la seconde équipe d'embuscade"
"da_quest_03_ap_s_rs_resistance_north.m_Objectives(5).m_Objectives.Description","Tuer le chef de guerre Marqué"
"da_quest_03_ap_s_rs_resistance_north.m_Objectives(6).m_Objectives.Description","Prendre le médaillon de la seconde équipe d'embuscade"
"da_quest_03_ap_s_rs_resistance_north.m_Objectives(7).m_Objectives.Description","Faire un rapport à Kyra"
"da_quest_03_ap_s_rs_resistance_south.m_Title","La riposte - Front Sud"
"da_quest_03_ap_s_rs_resistance_south.m_HighVisionGoal","Mener les embuscades rebelles au sud de Tégée"
"da_quest_03_ap_s_rs_resistance_south.m_CompletedGoal","J'ai mené les embuscades rebelles au sud de Tégée"
"da_quest_03_ap_s_rs_resistance_south.m_Summary","Un Spartiate à la retraite nommé Doros m'a demandé de mener des embuscades contre des chefs de guerre Marqués, servant ainsi les intérêts de la rébellion de Tégée."
"da_quest_03_ap_s_rs_resistance_south.m_CompletedSummary","J'ai mené les embuscades et éliminé les chefs de guerre Marqués, comme demandé par Doros."
"da_quest_03_ap_s_rs_resistance_south.m_Objectives(0).m_Objectives.Description","Lancer l'assaut pour la première équipe d'embuscade"
"da_quest_03_ap_s_rs_resistance_south.m_Objectives(1).m_Objectives.Description","Tuer le chef de guerre Marqué"
"da_quest_03_ap_s_rs_resistance_south.m_Objectives(2).m_Objectives.Description","Faire le point avec la première équipe"
"da_quest_03_ap_s_rs_resistance_south.m_Objectives(3).m_Objectives.Description","Lancer l'assaut pour la seconde équipe d'embuscade"
"da_quest_03_ap_s_rs_resistance_south.m_Objectives(4).m_Objectives.Description","Tuer le chef de guerre Marqué"
"da_quest_03_ap_s_rs_resistance_south.m_Objectives(5).m_Objectives.Description","Faire le point avec la seconde équipe"
"da_quest_03_ap_s_rs_resistance_south.m_Objectives(6).m_Objectives.Description","Faire un rapport à Doros"
"da_quest_03_ap_s_br_burial_rites.m_Title","Repos pour les défenseurs"
"da_quest_03_ap_s_br_burial_rites.m_Objectives(0).m_Objectives.Description","Apaiser les Spartiates défunts au nord"
"da_quest_03_ap_s_br_burial_rites.m_Objectives(1).m_Objectives.Description","Apaiser les Spartiates défunts au sud"
"da_quest_03_ap_s_os_olympos_shrines.m_Title","Alimenter la forge"
"da_quest_03_ap_s_os_olympos_shrines.m_HighVisionGoal","Collecter du minerai éthéré pour Dédale sur l'Olympe"
"da_quest_03_ap_s_os_olympos_shrines.m_CompletedGoal","J'ai collecté assez de minerai éthéré pour Dédale et je lui ai apporté sur l'Olympe"
"da_quest_03_ap_s_os_olympos_shrines.m_Summary","Dédale m'a parlé du minerai éthéré, jadis utilisé pour bâtir des sanctuaires antiques. Il en a besoin pour créer des objets puissants dans la forge d'Héphaïstos."
"da_quest_03_ap_s_os_olympos_shrines.m_CompletedSummary","Dédale a été impressionné par la quantité de minerai éthéré que j'ai récupéré dans les anciens sanctuaires."
"da_quest_03_ap_s_os_olympos_shrines.m_Objectives(0).m_Objectives.Description","Apporter le minerai éthéré à Dédale sur l'Olympe"
"da_quest_03_ap_s_os_olympos_shrines.m_Objectives(1).m_Objectives.Description","Récupérer du minerai éthéré au sanctuaire antique des ténèbres"
"da_quest_03_ap_s_os_olympos_shrines.m_Objectives(2).m_Objectives.Description","Récupérer du minerai éthéré au sanctuaire antique des sentinelles"
"da_quest_03_ap_s_os_olympos_shrines.m_Objectives(3).m_Objectives.Description","Récupérer du minerai éthéré au sanctuaire antique de la colère"
"da_quest_03_ap_s_os_olympos_shrines.m_Objectives(4).m_Objectives.Description","Récupérer du minerai éthéré au sanctuaire antique de la nature sauvage"
"da_quest_03_ap_s_ts_tegea_scavanger_hunt.m_Title","Volé mais pas oublié"
"da_quest_03_ap_s_ts_tegea_scavanger_hunt.m_HighVisionGoal","Trouver le trésor caché par le célèbre voleur de Tégée"
"da_quest_03_ap_s_ts_tegea_scavanger_hunt.m_CompletedGoal","J'ai trouvé le trésor caché par Autolycos, le voleur historique et tristement célèbre de Tégée."
"da_quest_03_ap_s_ts_tegea_scavanger_hunt.m_Summary","D'abord, suivez les quatre soleils de Tégée. Appuyez sur le panneau de gauche pour chaque illumination.\r\n\r\nPuis trouvez trois frères de pierre, coiffés de leurs casques de métal, qui veillent sur Tégée. Utilisez le panneau de droite pour les nommer."
"da_quest_03_ap_s_ts_tegea_scavanger_hunt.m_CompletedSummary","Autolycos, le voleur infâme de Tégée, a laissé des indices qui m'ont mené à travers la ville et m'ont finalement gratifié d'un don."
"da_quest_03_ap_s_ts_tegea_scavanger_hunt.m_Objectives(0).m_Objectives.Description","Relier les indices"
"da_quest_03_ap_s_ts_tegea_scavanger_hunt.m_QuestInformation(0).m_QuestInformation.Summary","Rondes sont les pierres là où le temple des Cercles se cache dans l'ombre"
"da_quest_03_ap_s_ts_tegea_scavanger_hunt.m_QuestInformation(1).m_QuestInformation.Summary","Comptez ce que les cieux dans leur gloire ont accordé. Le nombre de soleils à Tégée correspond au nombre de fois où vous devez tourner à gauche. Les piliers bleus qui soutiennent le ciel comptent le nombre de fois où vous devez tourner à droite. Actionnez-les dans l'ordre, et les trésors de mes victoires passées seront vôtres."
"da_quest_03_ap_s_as_ares_slaughterhouse.m_Title","Bénédiction de force"
"da_quest_03_ap_s_as_ares_slaughterhouse.m_HighVisionGoal","Trouver et arrêter ce qui donne aux Marqués une force surnaturelle."
"da_quest_03_ap_s_as_ares_slaughterhouse.m_CompletedGoal","J'ai découvert et détruit la source de la force surnaturelle des Marqués."
"da_quest_03_ap_s_as_ares_slaughterhouse.m_Summary","Une menace pèse à l'est : des Marqués dotés d'une force anormale. Je dois y mettre fin."
"da_quest_03_ap_s_as_ares_slaughterhouse.m_CompletedSummary","J'ai trouvé et détruit les coupes sacrificielles d'Arès où les Marqués puisaient leur force de manière morbide."
"da_quest_03_ap_s_as_ares_slaughterhouse.m_Objectives(1).m_Objectives.Description","Découvrir la source de la force des Marqués"
"da_quest_03_ap_s_as_ares_slaughterhouse.m_Objectives(2).m_Objectives.Description","Détruire les coupes sacrificielles"
"da_quest_03_ap_s_as_ares_slaughterhouse.m_Objectives(3).m_Objectives.Description","Informer la rébellion de l'existence de l'artéfact du Sang d'Arès"
"da_quest_03_ap_s_as_ares_slaughterhouse.m_Objectives(4).m_Objectives.Description","Atteindre le camp des Marqués"
"da_quest_03_ap_s_as_ares_slaughterhouse.m_Objectives(5).m_Objectives.Description","Détruire la première coupe sacrificielle"
"da_quest_03_ap_s_as_ares_slaughterhouse.m_Objectives(6).m_Objectives.Description","Détruire la deuxième coupe sacrificielle"
"da_quest_03_ap_s_as_ares_slaughterhouse.m_Objectives(7).m_Objectives.Description","Détruire la troisième coupe sacrificielle"
"da_quest_03_ap_s_as_ares_slaughterhouse.m_Objectives(8).m_Objectives.Description","Détruire la quatrième coupe sacrificielle"
"da_quest_03_ap_s_dl_dried_lake_new.m_Title","Le retour de l'eau"
"da_quest_03_ap_s_dl_dried_lake_new.m_HighVisionGoal","Aider Pegaea à libérer son lac de la malédiction de Némésis."
"da_quest_03_ap_s_dl_dried_lake_new.m_CompletedGoal","J'ai aidé à débarrasser le lac de Pegaea de l'énergie de Némésis, permettant à l'eau de couler à nouveau."
"da_quest_03_ap_s_dl_dried_lake_new.m_Summary","Pegaea, une naïade du lac, m'a demandé de l'aider à annuler ce que Némésis a fait pour assécher son lac."
"da_quest_03_ap_s_dl_dried_lake_new.m_CompletedSummary","J'ai trouvé deux sources d'eau bloquées par l'énergie de Némésis et j'ai aidé Pegaea à vaincre un hippocampe sauvage. Maintenant, son lac peut se remplir paisiblement."
"da_quest_03_ap_s_dl_dried_lake_new.m_Objectives(0).m_Objectives.Description","Rejoindre Pegaea au lac asséché"
