Key,SourceString,DevComment
"reset","Reset To Defaults","Reset all settings to their default value"
"discard_title","Discard Changes?",""
"discard_description","Do you want to discard changes?",""
"press_any_key_modal_text_one","Press any key to assign it to the action you chose.",""
"press_any_key_modal_text_two","Press escape to cancel.",""
"key_already_bound_modal_text_one","{InKey} is already bound to {ActionNames} are you sure you want to rebind it?",""
"key_already_bound_modal_text_two","Press escape to cancel, or press {InKey} again to confirm rebinding.",""
"key_already_bound_modal_titel","Key already bound.",""
"keybinding_display_category_gameplay","Gameplay",""
"keybinding_display_category_interface","Interface",""
"apply","Apply",""
"value_on","On",""
"value_off","Off",""
"quality_low","Low",""
"quality_medium","Medium",""
"quality_high","High",""
"quality_epic","Epic",""
"quality_custom","Custom",""
