Key,SourceString,DevComment
"VolumeCollection_Name","Volume",""
"AudioGameplayCollection_Name","Gameplay",""
"SoundCollection_Name","Son",""
"MasterVolume_Name","Général",""
"MasterVolume_Description","Ajuste le volume global du jeu.",""
"MusicVolume_Name","Musique",""
"MusicVolume_Description","Ajuste le volume de la musique.",""
"AmbientVolume_Name","Ambiance",""
"AmbientVolume_Description","Ajuste le volume des sons d'ambiance.",""
"VoiceOverVolume_Name","Dialogue",""
"VoiceOverVolume_Description","Ajuste le volume des voix et des dialogues des personnages.",""
"EffectsVolume_Name","Effets",""
"EffectsVolume_Description","Ajuste le volume des effets sonores.",""
"UIVolume_Name","Interface",""
"UIVolume_Description","Ajuste le volume des sons de l'interface.",""
"CinematicsVolume_Name","Cinématiques",""
"CinematicsVolume_Description","Ajuste le volume des cinématiques.",""
"AudioOutputDevice_Name","Périphérique de sortie audio",""
"AudioOutputDevice_Description","Modifie le périphérique de sortie audio pour le jeu.",""
"BackgroundAudio_Name","Audio en arrière-plan",""
"BackgroundAudio_Description","Active ou désactive le son lorsque le jeu est en arrière-plan. Si l'option est activée, le son continue même si le jeu est réduit ou si une autre fenêtre est active.",""
