Key,SourceString,DevComment
"press_any_key_modal_text_one","Appuyez sur n'importe quelle touche pour l'assigner à l'action choisie !",""
"press_any_key_modal_text_two","Appuyez sur Échap pour annuler.",""
"input_rebinding_duplicate_modal_key_title","Touche déjà assignée.",""
"input_rebinding_duplicate_modal_key_text_one","{KeyNames} est déjà assignée à {ActionNames}. Voulez-vous vraiment la réassigner ?",""
"input_rebinding_duplicate_modal_keys_title","Touches déjà assignées.",""
"input_rebinding_duplicate_modal_keys_text_one","{KeyNames} sont déjà assignées à {ActionNames}. Voulez-vous vraiment les réassigner ?",""
"input_rebinding_duplicate_modal_confirmation_text","Appuyez sur {CancelKey} pour annuler, ou sur {ConfirmationKey} pour confirmer la réassignation !",""
"GamepadInputPreset_Name","Configuration de la manette",""
"GamepadInputPreset_Description","Choisissez la configuration de touches pour votre manette. La configuration par défaut privilégie des pressions simples pour les capacités, tandis que la configuration alternative repose sur des combinaisons de touches, permettant en échange une plus grande fluidité de mouvement.",""
"GamepadInputPreset_Default","Par défaut",""
"GamepadInputPreset_Alternate","Alternative",""
"CombineMovementInteractAndAbilityOnLMB_Popup_Title","Attention",""
"CombineMovementInteractAndAbilityOnLMB_Popup_Description","Pour utiliser cette option, assurez-vous d'assigner l'un de vos emplacements de capacité au bouton gauche de la souris (BGS).",""
"InputPreset_Popup_Title","Attention",""
"InputPreset_Popup_Description","Voulez-vous changer votre préréglage de commandes ? Cela réinitialisera vos assignations de touches et les paramètres associés.",""
"MouseAndKeyboardCollection_Name","Clavier et souris",""
"InputPreset_Name","Préréglage des commandes",""
"InputPreset_Description","Contrôle votre mode de saisie de base. Modifier ce paramètre modifiera d'autres options, y compris vos raccourcis clavier.",""
"InputPreset_Default","Par défaut",""
"InputPreset_ContextSensitiveLMB","BGS contextuel",""
"InputPreset_WASD","ZQSD",""
"InputBehaviorLMB_Name","Comportement du bouton gauche (BGS)",""
"InputBehaviorLMB_Description","Selon votre choix, les capacités assignées au bouton gauche de la souris basculeront automatiquement sur une combinaison d'interaction ou de mouvement si nécessaire.",""
"InputBehaviorLMB_Default","Par défaut",""
"InputBehaviorLMB_AbilityOrInteract","Capacité ou Interaction",""
"InputBehaviorLMB_AbilityInteractOrMove","Capacité, Interaction ou Mouvement",""
"KeepTargetForRepeatedCasts_Name","Garder la cible lors d'incantations répétées",""
"KeepTargetForRepeatedCasts_Description","En maintenant le bouton d'une capacité enfoncé, la cible restera la même tant qu'elle est valide, peu importe la direction visée par le curseur.",""
"UseFreeAimForStationaryCasts_Name","Visée libre pour les capacités stationnaires",""
"UseFreeAimForStationaryCasts_Description","Si cette option est activée, l'utilisation de capacités stationnaires visera toujours la direction du curseur plutôt que le centre des créatures.",""
"DynamicDetails_KeyboardInputAction","Raccourcis pour {0}",""
