Key,SourceString,DevComment
"GameplayGeneralSection_Name","Général",""
"GameplayUISection_Name","Interface",""
"OverHeadVisibilitySection_Name","Affichage des infos au-dessus de la tête",""
"FloatingCombatTextSection_Name","Texte de combat flottant",""
"LootPlateVisibilitySection_Name","Visibilité des étiquettes de butin",""
"LootPlateInteractabilitySection_Name","Interaction avec les étiquettes de butin",""
"LootTooltipVisibilitySection_Name","Visibilité des infobulles de butin",""
"TelemetrySection_Name","Analyses de gameplay",""
"HideHelmet_Name","Masquer le casque",""
"HideHelmet_Description","Permet de masquer le casque (ou tout autre couvre-chef) équipé sur votre personnage.",""
"EnableAutoEquip_Name","Activer l'équipement auto",""
"EnableAutoEquip_Description","Définit si les nouveaux objets ramassés doivent être équipés automatiquement. Désactiver cette option permet de conserver certains emplacements vides pour des builds spécifiques.",""
"TelemetryConsent_Name","Autoriser le suivi analytique",""
"TelemetryConsent_Description","Contrôle si le jeu est autorisé à collecter et envoyer des données à THQ Nordic à des fins d'analyse.\nVotre aide nous est précieuse pour améliorer le jeu via vos données d'utilisation. Cela inclut uniquement des informations sur votre façon de jouer, et ne comporte aucune donnée d'identification personnelle ou information unique sur l'appareil.",""
"TelemetryConsent_Yes","Oui",""
"TelemetryConsent_No","Non",""
"OverrideCursorScale_Name","Taille du curseur",""
"OverrideCursorScale_Description","Taille du curseur de la souris. 'Auto' tente de choisir la taille la plus adaptée à la résolution de votre interface.",""
"OverrideCursorScale_Value_Auto","Auto",""
"OverrideCursorScale_Value_Small","Petit",""
"OverrideCursorScale_Value_Big","Grand",""
"ItemColorScheme_Name","Schéma de couleurs des objets",""
"ItemColorScheme_Description","Définit le schéma de couleurs des objets.\nPar défaut : Un nouveau schéma conçu pour rendre les couleurs plus distinctes et suivre les conventions du genre ARPG.\nClassique : Les couleurs d'objets traditionnelles de 'Titan Quest'.",""
"ItemColorScheme_Default","Par défaut",""
"ItemColorScheme_Legacy","Classique",""
"AlwaysShowStatsOnOrbs_Name","Stats toujours visibles sur les globes",""
"AlwaysShowStatsOnOrbs_Description","Affiche en permanence les valeurs de statistiques sur les globes de santé et de mana de l'interface.",""
"ShowReservationOnOrbs_Name","Afficher la réserve sur les globes",""
"ShowReservationOnOrbs_Description","Affiche les valeurs d'énergie réservée sur les globes.",""
"EnableTutorials_Name","Activer les tutoriels",""
"EnableTutorials_Description","Définit si les tutoriels sont activés.",""
"ResetTutorials_Name","Réinitialiser les tutoriels",""
"ResetTutorials_Action","Réinitialiser les tutoriels",""
"ResetTutorials_Description","Réinitialise tous les tutoriels déjà affichés.",""
"ResetTutorials_Popup_Title","Attention",""
"ResetTutorials_Popup_Description","Cela réinitialisera tous les tutoriels, les faisant apparaître de nouveau durant le jeu. Voulez-vous continuer ?",""
"AllowQuickDialogueSkipping_Name","Passage rapide des dialogues",""
"AllowQuickDialogueSkipping_Description","Permet de passer les dialogues rapidement et sans interruption.\nActiver cette option vous permettra de sauter les réponses à choix unique. Vous pourriez manquer des éléments de contexte ; non recommandé pour les joueurs s'intéressant à l'histoire.",""
"TQ2HealthBarVisibilityPreference_Never","Jamais",""
"TQ2HealthBarVisibilityPreference_Damaged","Blessé",""
"TQ2HealthBarVisibilityPreference_Hover","Survolé",""
"TQ2HealthBarVisibilityPreference_DamagedOrHover","Blessé ou survolé",""
"TQ2HealthBarVisibilityPreference_Always","Toujours",""
"LocalPlayerHealthBarVisibilityPreference_Name","Barre de santé (Joueur)",""
"LocalPlayerHealthBarVisibilityPreference_Description","Définit quand afficher la barre de santé au-dessus de votre personnage.",""
"RemotePlayerHealthBarVisibilityPreference_Name","Barre de santé (Autres joueurs)",""
"RemotePlayerHealthBarVisibilityPreference_Description","Définit quand afficher la barre de santé au-dessus des personnages des autres joueurs.",""
"EnemyHealthBarVisibilityPreference_Name","Barre de santé (Ennemis)",""
"EnemyHealthBarVisibilityPreference_Description","Définit quand afficher la barre de santé au-dessus des ennemis.",""
"NPCHealthBarVisibilityPreference_Name","Barre de santé (PNJ)",""
"NPCHealthBarVisibilityPreference_Description","Définit quand afficher la barre de santé au-dessus des personnages non-joueurs alliés et neutres.",""
"LocalPlayerNameVisibilityPreference_Name","Nom du joueur",""
"LocalPlayerNameVisibilityPreference_Description","Définit quand afficher le nom au-dessus de votre personnage.",""
"RemotePlayerNameVisibilityPreference_Name","Nom des autres joueurs",""
"RemotePlayerNameVisibilityPreference_Description","Définit quand afficher le nom au-dessus des personnages des autres joueurs.",""
"EnemyNameVisibilityPreference_Name","Nom des ennemis",""
"EnemyNameVisibilityPreference_Description","Définit quand afficher le nom au-dessus des ennemis.",""
"NPCNameVisibilityPreference_Name","Nom des PNJ",""
"NPCNameVisibilityPreference_Description","Définit quand afficher le nom au-dessus des personnages non-joueurs alliés et neutres.",""
"ColorBlindMode_Name","Mode daltonisme",""
"ColorBlindMode_Description","Utilisez les images fournies pour tester les différents modes et trouver la correction de couleur qui vous convient le mieux.",""
"ColorBlindRotatorSettingOff","Désactivé",""
"ColorBlindRotatorSettingDeuteranope","Deutéranopie",""
"ColorBlindRotatorSettingProtanope","Protanopie",""
"ColorBlindRotatorSettingTritanope","Tritanopie",""
"ColorBlindStrength_Name","Intensité du mode daltonisme",""
"ColorBlindStrength_Description","Utilisez les images fournies pour ajuster l'intensité de la correction de couleur.",""
"FCTShowDamage_Name","Afficher les dégâts",""
"FCTShowDamage_Description","Affiche les popups de dégâts (texte de combat flottant).",""
"FCTShowHeal_Name","Afficher les soins",""
"FCTShowHeal_Description","Affiche les popups de soins (texte de combat flottant).",""
"FCTShowImmune_Name","Afficher 'Immunisé'",""
"FCTShowImmune_Description","Affiche les popups d'immunité (texte de combat flottant).",""
"FCTShowXP_Name","Afficher l'expérience",""
"FCTShowXP_Description","Affiche les popups de gain d'expérience (texte de combat flottant).",""
"TQ2LootPlateMode_Always","Toujours",""
"TQ2LootPlateMode_Toggle","Activer/Désactiver",""
"TQ2LootPlateMode_Hold","Maintenir",""
"TQ2GameplayUserSettings_Hotkey","Raccourci",""
"LootPlateVisibility_Name","Visibilité des étiquettes de butin",""
"LootPlateVisibility_Description","Définit quand les étiquettes de butin sont visibles et comment changer leur visibilité.",""
