Key,SourceString,DevComment
"PerfStatsPage_Name","Performance Stats",""
"PerfStatsPage_Description","Configure the display of performance statistics.",""
"PerfStatsPage_Navigation","Open",""
"StatCategory_Performance_Name","Performance",""
"PerfStat_ClientFPS","Client FPS",""
"PerfStatDescription_ClientFPS","Client frame rate (higher is better)",""
"PerfStat_ServerFPS","Server FPS",""
"PerfStatDescription_ServerFPS","Server frame rate (higher is better)",""
"PerfStat_FrameTime","Frame Time",""
"PerfStatDescription_FrameTime","The total frame time.",""
"PerfStat_IdleTime","Idle Time",""
"PerfStatDescription_IdleTime","The amount of time spent waiting idle for frame pacing.",""
"PerfStat_FrameTime_GameThread","CPU Game Time",""
"PerfStatDescription_FrameTime_GameThread","The amount of time spent on the main game thread.",""
"PerfStat_FrameTime_RenderThread","CPU Render Time",""
"PerfStatDescription_FrameTime_RenderThread","The amount of time spent on the rendering thread.",""
"PerfStat_FrameTime_RHIThread","CPU RHI Time",""
"PerfStatDescription_FrameTime_RHIThread","The amount of time spent on the Render Hardware Interface thread.",""
"PerfStat_FrameTime_GPU","GPU Render Time",""
"PerfStatDescription_FrameTime_GPU","The amount of time spent on the GPU.",""
"StatCategory_Network_Name","Network",""
"PerfStat_Ping","Ping",""
"PerfStatDescription_Ping","The roundtrip latency of your connection to the server.",""
"PerfStat_PacketLoss_Incoming","Incoming Packet Loss",""
"PerfStatDescription_PacketLoss_Incoming","The percentage of incoming packets lost.",""
"PerfStat_PacketLoss_Outgoing","Outgoing Packet Loss",""
"PerfStatDescription_PacketLoss_Outgoing","The percentage of outgoing packets lost.",""
"PerfStat_PacketRate_Incoming","Incoming Packet Rate",""
"PerfStatDescription_PacketRate_Incoming","Rate of incoming packets (per second)",""
"PerfStat_PacketRate_Outgoing","Outgoing Packet Rate",""
"PerfStatDescription_PacketRate_Outgoing","Rate of outgoing packets (per second)",""
"PerfStat_PacketSize_Incoming","Incoming Packet Size",""
"PerfStatDescription_PacketSize_Incoming","The average size (in bytes) of packets received in the last second.",""
"PerfStat_PacketSize_Outgoing","Outgoing Packet Size",""
"PerfStatDescription_PacketSize_Outgoing","The average size (in bytes) of packets sent in the last second.",""
