Key,SourceString,DevComment
"UpscalerMethod_Off","Off (No Upscaling)",""
"UpscalerMethod_UnrealTSR","Unreal TSR",""
"UpscalerMethod_FSR","AMD FSR",""
"UpscalerMethod_XeSS","Intel XeSS",""
"UpscalerMethod_DLSS","NVIDIA DLSS",""
"UpscalerMethod_Undefined","Undefined",""
"UpscalerPage_Name","Upscaling Options",""
"UpscalerPage_Description","Configure different upscalers",""
"UpscalerPage_Navigation","{0} (Click to edit)","0: current upscaler name"
"UpscalerMethod_Name","Upscaler Method",""
"UpscalerMethod_Description","Enabling an upscaler allows rendering lower resolution while maintaining current resolution. This improves performance. Available upscaler methods will depend on your graphics card. Each upscaler has separate quality settings below.",""
"AAMethod_Name","Anti-Aliasing Method",""
"AAMethod_Description","Anti-Aliasing reduces jaggy artifacts along geometry edges. Different Anti-Aliasing methods produce different visual effects. Usually, earlier entries in the list will be faster, and later ones will look better, but your mileage may vary.",""
"AAM_None","None",""
"AAM_FXAA","Fast Approximate Anti-Aliasing (FXAA)",""
"AAM_TemporalAA","Temporal Anti-Aliasing (TAA)",""
"AAM_MSAA","Multisample Anti-Aliasing (MSAA)",""
"AAM_TSR","Temporal Super-Resolution (TSR)",""
"AAOptionDisable","This feature only works if \'Upscaler Method\' is set to \'Off\'.",""
"ResolutionScale_Name","Resolution Scale",""
"ResolutionScale_Description","Resolution scale determines the resolution that objects are rendered in game, but does not affect the UI scale. Lower resolutions can significantly increase frame rate.",""
"FSRQuality_Name","FSR Quality",""
"FSRQuality_Description","Quality setting for AMD FSR upscaling.",""
"FSRQuality_NativeAA","Native AA (1.0x)",""
"FSRQuality_Quality"," Quality (1.5x)",""
"FSRQuality_Performance","Performance (2.0x)",""
"FSRQuality_UltraPerformance"," Ultra Performance (3.0x)",""
"FSRFrameGen_Name","FSR Frame Generation",""
"FSRFrameGen_Description","Enables AMD FSR Frame Generation to generate additional frames and increase frame rate. This requires a compatible AMD GPU.",""
"FSRFrameGen_Incompatible","Not supported on platforms that support Nvidia DLSS Frame Generation.\nIf you want to use this feature, you can add -slno to the game\'s launch options. This will disable Nvidia DLSS Frame Generation support.",""
"AMDAntiLag2_Name","AMD Anti-Lag 2",""
"AMDAntiLag2_Description","Reduces latency in on AMD Radeon GPUs.\""",""
"AMDAntiLag2_Incompatible","Only supported on AMD GPUs.",""
"XeSSQuality_Name","Intel XeSS Quality",""
"XeSSQuality_Description","Quality setting for Intel XeSS upscaling.",""
"XeSSQuality_Off","Off (No Upscaling)",""
"XeSSQuality_UltraPerformance","Ultra Performance",""
"XeSSQuality_Performance","Performance",""
"XeSSQuality_Balanced","Balanced",""
"XeSSQuality_Quality","Quality",""
"XeSSQuality_UltraQuality","Ultra Quality",""
"XeSSQuality_UltraQualityPlus","Ultra Quality Plus",""
"XeSSQuality_AA","Anti-Aliasing (Native)",""
"DLSSQuality_Name","NVIDIA DLSS Quality",""
"DLSSQuality_Description"," Quality setting for Intel DLSS upscaling.",""
"DLSSQuality_Off","Off (No Upscaling)",""
"DLSSQuality_UltraPerformance","Ultra Performance",""
"DLSSQuality_Performance","Performance",""
"DLSSQuality_Balanced","Balanced",""
"DLSSQuality_Quality","Quality",""
"DLSSQuality_DLAA","DLAA (Anti-Aliasing)",""
"DLSSTransformerModel_Name","Use DLSS Transformer Model",""
"DLSSTransformerModel_Description","Force DLSS to use the transformer model (Preset K).\nThis offers increased visual quality in exchange for a slight hit to performance.",""
"DLSSTransformerModel_NotUsed","Requires DLSS to be enabled.",""
"DLSSGMode_Name","NVIDIA DLSS Frame Generation",""
"DLSSGMode_Description","Enable frame generation powered by NVIDIA DLSS-FG. This feature uses AI to generate additional frames frames between the game rendered frames. This will have a bigger effect if your performance bottleneck is the CPU (processor) and will do less, if you are GPU (graphics) limited. Requires a 40-Series NVIDIA GPU and hardware-accelerated GPU scheduling to be enabled.",""
"DLSSGQuality_Off","Off",""
"DLSSGQuality_Auto","Auto",""
"DLSSGQuality_On","2x",""
"DLSSGQuality_On3X","3x",""
"DLSSGQuality_On4X","4x",""
"DLSSG_NotSupported","Frame Generation is not supported.",""
"ReflexMode_Name","NVIDIA Reflex",""
"ReflexMode_Description","Enable NVIDIA Reflex to reduce rendering latency",""
"ReflexMode_Off","Off",""
"ReflexMode_On","On",""
"ReflexMode_OnPlusBoost","On + Boost",""
"Reflex_NotSupported","NVIDIA Reflex is not supported.",""
"Reflex_Auto","NVIDIA Reflex cannot be turned off, as it is required by Frame Generation.",""
