Key,SourceString,DevComment
"modifiers","Modifiers",""
"ability_cost_none","No Cost",""
"ability_ailment_chance","Ailment Chance",""
"ability_cast_time","Cast Time",""
"ability_cooldown","Cooldown",""
"ability_cost","Cost",""
"ability_crit_chance","Crit Chance",""
"ability_summon_abilities","Abilities",""
"ability_summon_attack","Attack",""
"ability_total_damage","Total Damage",""
"ability_approach_activate","Always use without moving.",""
"ability_approach_deactivate","Always use without moving.",""
"ability_cost_initial","Initial",""
"ability_cost_recurring","Recurring",""
"ability_cost_sustained","Reserved",""
"application_type_instant","instant",""
"application_type_overtime","over time",""
"ability_cast_time_none","Instant",""
"ability_cast_time_format","{Value}s",""
"ability_cooldown_none","None",""
"damage_type_pierce","<me_PierceDam>Pierce Damage</>",""
"damage_type_strike","<me_StrikeDam>Strike Damage</>",""
"damage_type_cold","<me_ColdDam>Cold Damage</>",""
"damage_type_fire","<me_FireDam>Fire Damage</>",""
"damage_type_lightning","<me_LightningDam>Lightning Damage</>",""
"damage_type_poison","<me_PoisonDam>Poison Damage</>",""
"damage_type_true","<me_TrueDam>True Damage</>",""
"damage_type_divine","Divine Damage",""
"damage_type_energy_drain","<me_EnergyDam>Energy Damage</>",""
"damage_type_vitality_drain","Vitality Damage",""
"ability_format_wip","[WIP] {0}","Indicates that an ability is an internal work in progress"
"ability_format_beta","[BETA] {0}","Indicates that an ability is only available in closed beta"
"damage_total","Total Damage",""
"damage_over_time","<me_DoT>Damage Over Time</>",""
"dps_label","DPS","DPS = Damage Per Second"
"keyword_separator"," - ","Used for the list of ability tags/flags shown at the top of ability tooltips"
"damage","Damage",""
"attack_speed","Attack Speed",""
"attack_speed_value","{Value}x",""
