Key,SourceString,DevComment
"Ailment_Weakened_0Name","Affaiblissement",""
"Ailment_Weakened_1Desc","<b>2%</> de dégâts subis en plus par cumul.\r\nLes chances d'application sont réduites par la Résistance à l'interruption.","We don't have intensity for those values yet, so they're hardcoded"
"Ailment_Chilled_0Name","Glaçage",""
"Ailment_Chilled_1Desc","<b>-5%</> de vitesse globale par cumul.\nInflige des dégâts bruts chaque seconde.\nLes chances d'application sont réduites par la Résistance au froid.","We don't have intensity for those values yet, so they're hardcoded"
"Ailment_Bleeding_0Name","Saignement",""
"Ailment_Bleeding_1Desc","Inflige des dégâts bruts chaque seconde.\nLes chances d'application sont réduites par la Résistance à la vitalité.",""
"Ailment_Staggered_0Name","Vacillement",""
"Ailment_Staggered_1Desc","<b>-10%</> de vitesse globale par cumul.\nLes chances d'application sont réduites par la Résistance à l'étourdissement.","We don't have intensity for those values yet, so they're hardcoded"
"Ailment_Frozen_0Name","Gelé",""
"Ailment_Frozen_1Desc","Les personnages gelés ne peuvent ni se déplacer ni utiliser de capacités.",""
"Ailment_Shocked_0Name","Électrocution",""
"Ailment_Shocked_1Desc","Inflige des dégâts bruts chaque seconde et réduit la vitesse d'incantation.\nLes chances d'application sont réduites par la Résistance à la foudre.",""
"Ailment_Plagued_0Name","Peste",""
"Ailment_Plagued_1Desc","Inflige des dégâts bruts chaque seconde.\nLes chances d'application sont réduites par la Résistance au poison.",""
"Ailment_Burning_0Name","Brûlure",""
"Ailment_Burning_1Desc","Inflige des dégâts bruts chaque seconde.\nLes chances d'application sont réduites par la Résistance à la vitalité.",""
"Ailment_Rooted_0Name","Enraciné",""
"Ailment_Rooted_1Description","Les personnages enracinés ne peuvent ni se déplacer ni utiliser de capacités de déplacement.",""
"Ailment_Slowed_0Name","Ralenti",""
"Ailment_Slowed_1Description","Les personnages ralentis ont une vitesse de déplacement réduite.",""
"Ailment_Silenced_0Name","Silence",""
"Ailment_Silenced_1Description","Les personnages sous l'effet de Silence ne peuvent pas utiliser de capacités, à l'exception de l'Attaque principale et de l'Esquive.",""
"Ailment_Stunned_0Name","Étourdi",""
"Ailment_Stunned_1Description","Les personnages étourdis ne peuvent ni se déplacer ni utiliser de capacités.",""
