Key,SourceString,DevComment
"settings_screen_title","Options",""
"settings_no_editor_found","Aucun éditeur trouvé","Error text displayed in the settings menu if a settings entry was not configured properly by our coders"
"settings_available_options","Options disponibles","Header for settings entry explanation that lists all possible values for multi-select fields"
"changelog","Journal des modifications",""
"pause_menu_title","Menu",""
"pause_menu_resume","Reprendre","Button to resume game / leave the pause menu"
"pause_menu_save","Sauvegarder",""
"pause_menu_main_menu","Menu principal","Button to return to main menu"
"dev_info_about_this_map","À propos de cette carte :","Shows some information about the current map"
"pause_menu_exit","Quitter","Button to exit to Desktop"
"pause_menu_settings","Options","Open the settings / options menu"
"demo_press_any_button","Appuyez sur n'importe quelle touche",""
"pause_menu_restart","Recommencer",""
"pause_menu_exit_warning","Voulez-vous vraiment quitter le jeu ?","Warning when clicking on button to exit to Desktop"
"pause_menu_tutorials","Tutoriels",""
"screen_exit","Quitter","Used in character creator to exit the screen for example"
