Key,SourceString,DevComment
"attribute_points","Points d'attribut",""
"attribute_agility","Agilité",""
"attribute_cunning","Ruse",""
"attribute_knowledge","Savoir",""
"attribute_resolve","Détermination",""
"attribute_might","Puissance",""
"attribute_fitness","Forme",""
"attribute_vigor","Vigueur",""
"attribute_agility_short","Agi",""
"attribute_cunning_short","Rus",""
"attribute_knowledge_short","Sav",""
"attribute_resolve_short","Dét",""
"attribute_might_short","Pui",""
"attribute_fitness_short","For",""
"attribute_vigor_short","Vig",""
"attribute_agility_value","Agilité {Value}",""
"attribute_cunning_value","Ruse {Value}",""
"attribute_knowledge_value","Savoir {Value}",""
"attribute_resolve_value","Détermination {Value}",""
"attribute_might_value","Puissance {Value}",""
"attribute_fitness_value","Forme {Value}",""
"attribute_vigor_value","Vigueur {Value}",""
"attribute_agility_short_value","Agi {Value}","Abbreviation of Attribute name (3 characters) in item tooltips"
"attribute_cunning_short_value","Rus {Value}","Abbreviation of Attribute name (3 characters) in item tooltips"
"attribute_knowledge_short_value","Sav {Value}","Abbreviation of Attribute name (3 characters) in item tooltips"
"attribute_resolve_short_value","Dét {Value}","Abbreviation of Attribute name (3 characters) in item tooltips"
"attribute_might_short_value","Pui {Value}","Abbreviation of Attribute name (3 characters) in item tooltips"
"attribute_fitness_short_value","For {Value}","Abbreviation of Attribute name (3 characters) in item tooltips"
"attribute_vigor_short_value","Vig {Value}","Abbreviation of Attribute name (3 characters) in item tooltips"
"attribute_agility_description","Une mesure de votre vitesse et de votre finesse.\r\n• Soutient les armures légères, moyennes et les armes rapides.\r\n• Compte pour la Forme et la Ruse, qui augmentent certains types de dégâts.",""
"attribute_cunning_description","• Base pour les dégâts de poison et de foudre.",""
"attribute_fitness_description","• Base pour les dégâts de frappe et de perforation.",""
"attribute_knowledge_description","Une mesure de votre expertise et de votre intuition.\r\n• Soutient les robes de mage, les robes de plaques et les armes magiques.\r\n• Compte pour la Ruse et la Détermination, qui augmentent certains types de dégâts.",""
"attribute_might_description","Une mesure de votre puissance et de votre agressivité.\r\n• Soutient les armures lourdes, ornementées et les armes lourdes.\r\n• Compte pour la Forme et la Détermination, qui augmentent certains types de dégâts.",""
"attribute_resolve_description","• Base pour les dégâts de feu et de froid.",""
"attribute_vigor_description","Une mesure de votre santé et de votre ténacité.\r\n• Compte pour tous les attributs secondaires.\r\n• Augmente les points de vie de base.",""
"attribute_screen_available_gold","Or :",""
"attributes_title","Attributs",""
"attributes_description","Vos talents physiques et mentaux de base qui déterminent vos capacités générales et vous permettent d'utiliser différents équipements.","This description explains the concept of attributes - what they are used for and what they affect."
"attributes_experience","Expérience",""
"attributes_experience_short","XP",""
"attribute_popup_info","{AttributeValue} {AttributeLabel}","Utilized in floating combat text - damage numbers, experience, etc."
"attributes_experience_tooltip","{CurrentExperience} / {RequiredExperience}",""
"attribute_health","Vie",""
"attribute_health_current","Vie actuelle",""
"attribute_health_max","Vie maximum",""
"attribute_mana","Énergie",""
"attribute_mana_current","Énergie actuelle",""
"attribute_mana_max","Énergie maximum",""
"list_attribute_rider_advanced","Avancé",""
"list_attribute_rider_basic","Aperçu",""
"list_attribute_rider_misc","Divers",""
"list_attribute_category_basicstats","Stats de base",""
"list_attribute_category_attributes","Attributs",""
"list_attribute_category_maindefenses","Défenses principales",""
"attribute_barrier","Barrière",""
"attribute_basicattackdamage","Dégâts d'attaque de base",""
