Key,SourceString,DevComment
"thank_you","Merci d'avoir joué !",""
"restart_button","Recommencer la démo",""
"end_of_ea_message","Félicitations, Héros ! Vous avez triomphé de toutes les quêtes principales actuellement disponibles dans l'accès anticipé de Titan Quest 2 ! Votre légende s'écrit et les dieux eux-mêmes vous observent.\r\n\r\nPour l'instant, vous avez été téléporté à Tégée pour vous reposer, vous regrouper et célébrer vos victoires. Mais ne baissez pas votre garde : votre affrontement épique contre Némésis est loin d'être terminé. Le prochain chapitre vous attend dans une future mise à jour de contenu !\r\n\r\nD'ici là, continuez à explorer, à percer des secrets et à gagner en puissance. Merci d'avoir joué — et préparez-vous pour la suite !",""
"arkadian_plains_magic_barrier_message","Beau travail pour être arrivé jusqu'ici !\r\n\r\nCe qui se cache derrière cette barrière sera révélé lors de la prochaine mise à jour de contenu…",""
"intro_fade_message","Cette démo présente une version de notre jeu encore en cours de développement.\r\n\r\nPour cette session de {duration} minutes, nous vous confions un personnage pré-construit utilisant les maîtrises Guerre et Tempête, mais la version finale vous permettra de combiner les deux maîtrises de votre choix.\r\n\r\nÉquipez de meilleurs objets, testez les modificateurs de compétences et dépensez vos points de compétence lors de vos passages de niveau pour personnaliser votre héros.",""
"remaining_time","Temps de démo restant : {Time}",""
"survey_link","https://bit.ly/3VhmVcr",""
"survey_link_button","ce sondage",""
"survey_prompt_1","Veuillez remplir",""
"survey_prompt_2","pour nous aider à améliorer le jeu !",""
