Key,SourceString,DevComment
"back","Back",""
"continue","Continue",""
"ok","OK","Used for acknowledgements. Not to confirm in a yes/no context"
"cancel","Cancel",""
"description","Description","Used as a header for a summary description in details views, e.g. in tooltips for items, spells, etc."
"information","Information",""
"tooltip_entry_label_format","{Label}: ","Used in tooltips where we want to display label/value pairs."
"generic_label_format","{Label}:",""
"accept","Accept",""
"inspect","Inspect",""
"discard","Discard","Describes changes that we want to discard."
"cost","Cost","The cost of something in gold / currency."
"loading","Loading",""
"details","Details",""
"filter","Filter",""
"space_to_skip","Press Space To Skip",""
"select","Select",""
"activate","Activate",""
"level","Level",""
"start","Start",""
"search","Search",""
"close","Close",""
"yes","Yes","Used in a yes/no context"
"no","No","Used in a yes/no context"
"warning","Warning",""
"send","Send",""
"menu","Menu",""
"press_again_to_skip","Press Again To Skip",""
"reset","Reset",""
"preview","Preview",""
"skip","Skip",""
"value_pair","{Current} / {Max}","Used in UI to display value pairs. E.g. ""Current Health / Max Health"""
"next","Next",""
"advanced","Advanced",""
"undo","Undo",""
"redo","Redo",""
"copy","Copy",""
"apply","Apply",""
"immune","Immune",""
"22yearslater","22 Years Later",""
"currently_unavailable","Currently Unavailable",""
"all","All",""
"players","Players",""
"ping","Ping",""
"player","Player","Used as fallback whenever Steam/online player name is not available"
"color_hue","Hue","used in the context of HSV color space."
"color_saturation","Saturation","used in the context of HSV color space."
"color_value","Value","used in the context of HSV color space."
"level_value","Level {Value}",""
"level_short_value","Lv {Value}",""
"unit_format_meters_short","{Value} m","Used in tooltips to display distances/ranges in meters"
"unit_format_seconds_short","{Value} s","Used in tooltips to display time/duration in seconds"
"unit_format_feet_short","{Value} ft","Used in tooltips to display distances/ranges in feet"
"character_limit","Character Limit exceeded <b>{Characters}/{Limit}</>",""
"level_player","Player Level",""
"pin","Pin","Used in a toggle button to highlight a quest in the HUD and Map as pinned"
"unpin","Unpin","Used in a toggle button to unpin a quest from the HUD and Map"
"coming_soon","Coming Soon","used for preview/teasing features."
