Key,SourceString,DevComment
"00_proti_beach","Plage de Proti",""
"00_wolf_den","Repaire des loups",""
"00_proti_island","Île de Proti",""
"00_widows_cave","Grotte de la veuve",""
"00_temple_crypt","Crypte du temple",""
"00_temple_of_proteus","Temple de Protée",""
"00_village_outskirts","Périphérie du village",""
"00_mysterious_cave","Grotte mystérieuse",""
"00_proti_village","Village de Proti",""
"00_ruins_passage","Passage des ruines",""
"00_upper_cliffs","Falaises supérieures",""
"00_gryphons_nest","Nid du griffon",""
"00_gryphon_cult_camp","Camp du culte du griffon",""
"00_mountain_descent","Descente de la montagne",""
"00_secluded_grotto","Grotte isolée",""
"01_desolate_shore","Rivage désolé",""
"01_altar_of_benevolence","Autel de la bienveillance",""
"01_old_smugglers_cave","Ancienne grotte des contrebandiers",""
"01_cliffside_overlook","Surplomb de la falaise",""
"00_proti_beach_alt","Plage de Proti",""
"01_broken_road","Route brisée",""
"01_the_great_dam","Le Grand Barrage",""
"01_shrine_of_glaukos","Autel de Glaucos",""
"01_pyrgos_outskirts","Périphérie de Pyrgos",""
"01_pyrgos","Pyrgos",""
"01_flooded_farmlands","Terres agricoles inondées",""
"01_southern_flooded_farmlands","Terres agricoles inondées du sud",""
"01_foggy_hideout","Repaire brumeux",""
"01_shrieking_ruins","Ruines hurlantes",""
"01_forlorn_garden","Jardin délaissé",""
"01_whispering_falls","Chutes murmurantes",""
"01_bronze_lions_camp","Camp des Lions de Bronze",""
"01_raiders_landing","Débarcadère des pillards",""
"01_great_shrine_of_glaukos","Grand autel de Glaucos",""
"01_western_flooded_farmlands","Terres agricoles inondées de l'ouest",""
"01_lookouts_vantage","Surplomb du guetteur",""
"01_butchers_fort","Fort du Boucher",""
"01_statue_shrine","Autel de la statue",""
"01_eastern_flooded_farmlands","Terres agricoles inondées de l'est",""
"01_crab_nest","Nid de crabes",""
"01_the_enclave","L'Enclave",""
"01_pyrgos_graveyard","Cimetière de Pyrgos",""
"01_graveyard_tomb","Tombe du cimetière",""
"01_secluded_beach","Plage isolée",""
"01_clifftop_outpost","Avant-poste de la falaise",""
"01_erana_ruins","Ruines d'Erana",""
"01_northern_flooded_farmlands","Terres agricoles inondées du nord",""
"01_serpents_cave","Grotte du serpent",""
"01_roadside_encampment","Campement de bord de route",""
"01_ruined_watchtower","Tour de guet ruinée",""
"01_northern_road","Route du nord",""
"01_overgrown_vineyard","Vignoble envahi",""
"01_vineyard","Vignoble",""
"01_pans_sanctum","Sanctuaire de Pan",""
"01_family_crypt","Crypte familiale",""
"01_outlaws_perch","Perchoir des hors-la-loi",""
"01_mountain_path","Sentier de montagne",""
"01_howling_stone_ruins","Ruines de la pierre hurlante",""
"01_moirai_gate","Porte des Moires",""
"01_other_lion","Autre Lion",""
"02_gates_of_fate","Portes du destin",""
"02_coral_reef","Récif de corail",""
"02_sea_cave","Grotte marine",""
"02_crab_nest","Nid de crabes",""
"02_travelers_refuge","Refuge des voyageurs",""
"02_wilderness","Étendues sauvages",""
"02_ancient_portal","Portail antique",""
"02_beacon_ruins","Ruines du phare",""
"02_treacherous_coast","Côte perfide",""
"02_crab_nest_2","Nid de crabes",""
"02_mycenaean_ruins","Ruines mycéniennes",""
"02_gryphons_lair","Repaire du griffon",""
"02_nesting_crags","Crêts de nidification",""
"02_temple_of_poseidon","Temple de Poséidon",""
"02_broken_shores","Rivages brisés",""
"02_ichthian_dig_site","Site de fouilles ichthien",""
"02_coastal_foothills","Contreforts côtiers",""
"02_crumbling_watch","Poste en ruine",""
"02_coastal_cave","Grotte côtière",""
"02_mycenaean_shrine","Autel mycénien",""
"02_tritons_cove","Crique de Triton",""
"02_ionian_coast","Côte ionienne",""
"02_crab_nest_3","Nid de crabes",""
"02_grotto_of_cursed_treasure","Grotte du trésor maudit",""
"02_eastern_wilderness","Étendues sauvages de l'est",""
"02_golden_sarcophagus","Sarcophage doré",""
"02_temple_of_kronos","Temple de Cronos",""
"02_ship_graveyard","Cimetière d'épaves",""
"02_ruined_paths","Sentiers ruinés",""
"02_north_ionian_coast","Côte ionienne du nord",""
"02_stronghold_outskirts","Périphérie de la place forte",""
"02_cursed_passage","Passage maudit",""
"02_ichthian_stronghold","Place forte ichthienne",""
"02_heart_of_the_stronghold","Cœur de la place forte",""
"02_crab_nest_4","Nid de crabes",""
"03_lake_taka","Lac Taka",""
"03_shores_of_lake_taka","Rives du lac Taka",""
"03_gloomy_cavern","Caverne lugubre",""
"01_upper_graveyard","Cimetière supérieur",""
"01_lower_graveyard","Cimetière inférieur",""
