Key,SourceString,DevComment
"character_selection_load_game","Charger la partie",""
"character_selection_start_new","Commencer une nouvelle partie",""
"character_selection","Sélection du personnage",""
"character_selection_play_time","Temps de jeu",""
"save_game_delete_modal_title","Supprimer la sauvegarde",""
"save_game_delete_modal_description","Êtes-vous sûr de vouloir supprimer la sauvegarde sélectionnée ?\r\n<b_red>Cette action est irréversible.</> ",""
"save_game_error_version_entitlements","Les sauvegardes des versions \'{SavedVersion}\' ne sont pas compatibles avec votre version \'{CurrentVersion}\'.","args: CurrentVersion, SavedVersion"
"save_game_error_version_backwards","Les sauvegardes de versions plus récentes ne sont pas compatibles avec votre version \'{CurrentVersion}\'.","args: CurrentVersion, SavedVersion"
"save_game_error_version_code","Une mise à jour a introduit des changements de code incompatibles.",""
"save_game_error_version_content_character","Une mise à jour a introduit des changements de personnages incompatibles (ex: nouvelles Maîtrises, etc).",""
"save_game_error_version_content_campaign","Une mise à jour a introduit des changements de campagne incompatibles (ex: nouvel acte, etc).",""
"button_play","Jouer",""
"button_options","Options",""
"button_credits","Crédits",""
"button_changelog","Notes de mise à jour",""
"analytics_consent_description","Nous aimerions recevoir votre aide pour améliorer le jeu en collectant des données d'utilisation. Cela inclut uniquement des informations sur votre façon de jouer et n'implique aucune donnée d'identification personnelle ou information unique sur l'appareil. La contribution des données est facultative et vous pouvez vous désengager à tout moment dans le menu Paramètres du jeu.\r\n\r\nVeuillez consulter notre politique de confidentialité :",""
"analytics_consent_title","Statistiques de jeu",""
"analytics_privacy_policy_link","privacy.thqnordic.com/en",""
"character_selection_unkown_game_version","<i>inconnu</>",""
"character_selection_load_error_title","Erreur de chargement",""
"character_selection_load_error_format","{error}\r\nVersion de sauvegarde : {save_version}",""
"character_selection_dead_format","{difficulty} (Décédé)",""
"character_selection_dead_description","Il s'agissait d'un personnage Hardcore dont le fil du destin a été définitivement rompu.","This is a specific load error for dead hardcore characters."
"create_new_character","Créer un nouveau personnage",""
"initial_settings","Paramètres initiaux",""
"character_selection_ssf_suffix"," (SSF)","suffix appended to difficulty string in character selection for solo-self-found chars"
"button_play_multiplayer","Multijoueur",""
"character_selection_join_game","Rejoindre une partie",""
"character_selection_host_game","Héberger une partie",""
"character_selection_start_game","Démarrer la partie","Alternative to ""Load Game"" for new save files"
"character_selection_dead_title","R.I.P.","This is used as title for the ""error"" message/popup for dead characters"
"character_selection_host_incompatible_difficulty","La difficulté de ce personnage ne correspond pas à la difficulté de la partie hébergée ({HostDifficulty}).",""
"character_selection_host_incompatible_ssf","Les personnages ""Solo Self-Found"" ne peuvent pas être chargés dans des parties multijoueurs.",""
"character_selection_host_incompatible_title","Personnage Incompatible",""
"host_multiplayer_button_preview_disclaimer_title","Note",""
"host_multiplayer_button_preview_disclaimer","Le multijoueur est actuellement disponible en version d'essai (preview) et peut inclure des fonctionnalités incomplètes ainsi qu'une probabilité plus élevée de bugs.\r\nIl est accessible via l'option de lancement correspondante sur Steam.\r\nIl sera intégré à la version principale dans les mois à venir et amélioré régulièrement.\r\nVos retours et rapports de bugs sont les bienvenus.",""
"multiplayer_preview_disclaimer","<b_gold>Informations Multijoueur</>\r\nNous avons apporté des améliorations majeures à la stabilité et aux fonctionnalités du multijoueur lors des dernières mises à jour. Nous ne le considérons plus comme une version de test précoce, mais comme une expérience <b>globalement stable</>.\r\nCela étant dit, le jeu peut encore présenter <b>certains problèmes</> que vous ne rencontreriez pas en mode Solo. Nous travaillons toujours à l'amélioration de l'expérience pour qu'elle soit totalement au niveau du mode Solo dans de <b>futures mises à jour</>.",""
"button_play_multiplayer_preview","Héberger Multijoueur","in the current EA version this is only for HOSTING the game (joining is only possible via Steam friends list)"
"multiplayer_lobby_create_lobby","Créer un salon",""
"multiplayer_lobby_name","Nom du salon",""
"multiplayer_lobby_private","Privé",""
"multiplayer_lobby_public","Public",""
"multiplayer_disclaimer","Avertissement",""
"multiplayer_lobby_browser","Liste des salons",""
"multiplayer_lobby_browser_refresh","Actualiser",""
"multiplayer_lobby_browser_filters","Filtres de recherche",""
"multiplayer_lobby_browser_type","Type de salon",""
"multiplayer_lobby_browser_details","Détails du salon",""
"multiplayer_lobby_type_private","Privé",""
"multiplayer_lobby_type_public","Public",""
"multiplayer_lobby_type_friends","Les amis peuvent toujours rejoindre",""
"multiplayer_privacy","Confidentialité",""
"multiplayer_enter_lobby_name","Entrer le nom du salon...",""
