Key,SourceString,DevComment
"fast_travel_destinations","Destinations:",""
"move_portal_confirmation","Do you want to move your Personal Portal?",""
"portal_button_tooltip","Open Portal","The button in the HUD next to the minimap that opens a players personal portal"
"map_title","World Map",""
"fallback_location_description","Wilderness","This will be displayed as location name if no suitable named area can be found"
"portal_button_toolip_disabled","Can\'t Open Portal",""
"portal_unknown_destination","Unknown Destination",""
"travel_input_hint","Travel",""
"portal_type_town_hub","Rebirth Waypoint",""
"portal_type_minor","Waypoint",""
"portal_type_ally","Ally",""
"portal_type_personal","Personal Portal",""
"portal_type_death","Recovery Portal",""
"confirm_travel_title","Confirm Travel",""
"confirm_travel_content","Are you sure you want to use this portal?",""
"confirm_travel_warning_use_once","Portal closes after use.",""
"confirm_travel_ally_in_combat","Cannot travel to ally in combat.",""
"cannot_travel","Cannot Travel",""
"fast_travel_destination","Destination:",""
"death_portal_tooltip_main","Teleport back to the location of your previous death. Only one <b>Recovery Portal</> can be active at a time.",""
"portal_title","Teleportation",""
"fast_travel_teleport","Teleport",""
"other_players","Other Heroes",""
"portal_type_direct_to_player","Hero",""
"confirm_travel_direct_to_hero","Are you sure you want to teleport directly to this hero?",""
"fast_travel_in_combat","In Combat",""
"map","Map",""
"marker_dungeon","Entrance",""
"chapter_selection","Chapter Selection",""
"minimap_area_label","{AreaName} (Lv {AreaLevel})",""
"minimap_current_area_level_label","Current Area Level",""
"marker_ritual_shrine","Ritual Shrine",""
"marker_dungeon_exit","Exit",""
"marker_jump_point","Jump",""
"marker_boss_fight","Memory",""
"marker_boss_fight_ritual","Memory Knot",""
"marker_traversable","Climb",""
"portal_unknown_player","Unknown Player",""
"marker_destructible_wall","Broken Wall",""
"map_quests","Map & Quests",""
"world_greece","Greece",""
"bliblup","Ancient Note",""
"daytime_dawn","Dawn",""
"daytime_day","Day",""
"daytime_night","Night",""
"daytime_dusk","Dusk",""
"area","Area",""
"portal_type_minor_plural","Waypoints",""
"portal_type_personal_plural","Personal Portals",""
"portal_type_town_hub_plural","Rebirth Waypoints",""
"portal_type_dungeon_plural","Dungeon Waypoints",""
