Key,SourceString,DevComment
"Overload_0Name","Surcharge","615"
"Overload_1Description","Durée : <b>5s</> (indépendante)\r\n\r\nCertaines capacités génèrent des cumuls de Surcharge à l'utilisation. Les cumuls peuvent être <me_Cleanse>purifiés</>.\r\nSubissez <b>1,5 %</> de votre Vie maximum par cumul sous forme de <me_FireDam>Feu</> et de <me_LightningDam>Foudre</> combinés par seconde.\r\n<me_Cleanse>Purifie</> <b>1</> cumul tous les <b>15</> points d'Énergie dépensés dans des capacités qui ne sont ni de Feu ni de Foudre.\r\nRécupérez <b>5</> points d'Énergie par cumul <me_Cleanse>purifié</> en <b>1s</>.","No Maximum"
"Overwhelm_0Name","Subjugation",""
"Overwhelm_1Description","Maximum : <b>3</>\r\nDurée : <b>8s</>\r\n\r\nLes capacités de <b>base</> génèrent des cumuls de <b>Subjugation</> à l'impact.\r\nAu maximum, les cumuls peuvent être consommés par des <b>Capacités de Subjugation</> pour des effets plus puissants.",""
"Overwhelm_1BuffDescription","Cumuls maximum : <b>3</>\r\nUne Subjugation complète peut être consommée pour renforcer une capacité.",""
"Rage_0Name","Rage",""
"Rage_1Description","Maximum : <b>10</>\r\nLes cumuls de Rage se dissipent individuellement après <b>3s</>. Taux de dissipation augmenté de <b>20 %</> par cumul.\r\n\r\n<b>1 %</> de dégâts d'attaque totaux en plus par cumul\r\n<b>1 %</> de vitesse d'attaque en plus par cumul",""
"SpellRage_0Name","Rage de sort",""
"SpellRage_1Description","La Rage confère également :\n<b>1 %</> de dégâts de sort totaux en plus par cumul\n<b>1 %</> de vitesse d'incantation en plus par cumul",""
"Exhaust_0Name","Épuisement",""
"Exhaust_1Description","Pendant l'utilisation d'une capacité d'Épuisement, votre régénération d'énergie est réduite de <b>75 %</>.",""
"EtherShield_0Name","Bouclier d'éther",""
"EtherShield_1Description","Tant que l'Énergie est supérieure à <b>50 %</>, <b>10 %</> des dégâts subis sont absorbés par l'Énergie.",""
"LightningStrike_0Name","Frappe de foudre",""
"LightningStrike_1Description","La cible est frappée par la foudre.\nInflige des dégâts de foudre basés sur le niveau de votre personnage.",""
"Overflow_0Name","Débordement",""
"Overflow_1Description","Le Débordement se produit lorsqu'un cumul d'effet de statut est gagné alors que le maximum de cumuls de cet effet est déjà atteint.",""
"DefaultAbility_0Name","Capacité de base",""
"DefaultAbility_1Description","Les capacités de base peuvent être utilisées avec une Énergie insuffisante tant que le coût n'est pas supérieur à l'<b>Énergie non réservée</b>.",""
"Channeling_0Name","Canalisation",""
"Channeling_1Description","Une créature est considérée en canalisation lorsqu'elle exécute une capacité de manière continue.\r\nPour les ennemis, cela est indiqué par une icône au-dessus de leur tête.",""
"Incapacitated_0Name","Incapacitation",""
"Incapacitated_1Description","Étourdi ou gelé et incapable d'agir.",""
"Disruption_0Name","Interruption",""
"Disruption_1Description","Les capacités d'Interruption partagent leur temps de récupération.",""
"Amplify_0Name","Amplification",""
"Amplify_1Description","Certaines capacités génèrent des cumuls d'Amplification.\r\nCeux-ci comptent individuellement pour chaque capacité et ne se chevauchent pas avec d'autres capacités d'Amplification.\r\nLeurs effets et la méthode d'obtention sont propres à chaque capacité.",""
"Doom_0Name","Condamnation",""
"Doom_1Description","Maximum : <b>20</>\r\nDurée : <b>3s</>\r\n\r\nÀ la fin de Condamnation, la cible subit des <me_VitalityDam>Dégâts de vitalité</> par cumul.",""
"Rupture_0Name","Rupture",""
"Rupture_1Description","Rupture inflige <b>30 %</> de la vie maximum de la cible sous forme de dégâts bruts.\nLes ennemis les plus puissants subissent moins de dégâts.\nNe peut se déclencher qu'une fois par cible toutes les <b>0,4s</>.",""
"Flow_0Name","Flux",""
"Flow_1Description","Maximum : <b>1</>\nDurée : <b>2,5s</>\n\nCertaines capacités ou modificateurs génèrent du Flux.\nD'autres peuvent le consommer pour des effets plus puissants.",""
"Blessing_0Name","Bénédiction",""
"Blessing_1Description","Les capacités de Bénédiction partagent leur temps de récupération.",""
"Aura_0Name","Aura",""
"Aura_1Description","Les auras appliquent leur effet sur vous-même et sur chaque <me_Ally>allié</> autour de vous.\r\nVous ne pouvez pas bénéficier du même modificateur de plusieurs auras en même temps.",""
"BleedRupture_0Name","Saignement - Rupture",""
"BleedRupture_1Description","Lorsque vous appliquez un <me_Bleed>Saignement</>, vous avez +<b>1 %</> de chances par cumul de <me_Bleed>Saignement</> sur la cible de provoquer une <me_Rupture>Rupture</>.",""
"ChillFreeze_0Name","Glaçage - Gel",""
"ChillFreeze_1Description","Lorsque vous appliquez un <me_Chill>Glaçage</>, vous avez +<b>1 %</> de chances par cumul de <me_Chill>Glaçage</> sur la cible de <me_Freeze>Geler</> pendant <b>1,5</>s.",""
"Glancing_0Name","Coup d'œil",""
"Glancing_1Description","Chances que les dégâts d'un coup soient réduits de 50 %.",""
"Mark_0Name","Marque",""
"Mark_1Description","Certaines capacités vous permettent de marquer une cible.\nD'autres capacités peuvent avoir des effets sur la cible marquée.\nVous ne pouvez avoir qu'une seule marque active à la fois.",""
"Ailments_0Name","Afflictions",""
"Ailments_1Description","Les afflictions s'appliquent par cumuls et ont divers effets selon leur type.\r\nLa plupart infligent des dégâts sur la durée, certaines ralentissent les ennemis ou réduisent leurs <me_Resistance>Résistances</>.\r\nChaque affliction est appliquée par son type de dégâts correspondant.",""
"Retaliate_0Name","Représailles",""
"Retaliate_1Description","Inflige des dégâts égaux à vos dégâts de représailles aux attaquants proches de vous.",""
"Retaliate_Damage","Dégâts de représailles",""
"BarrierConversion_0Name","Taux de conversion de barrière",""
"BarrierConversion_1Description","Détermine le coût de la barrière d'énergie.\r\n\r\nLe taux peut être amélioré via l'équipement et les maîtrises.",""
"EnergyBarrier_0Name","Barrière d'énergie",""
"EnergyBarrier_1Description","Ajoute son effet à l'incantation, mais <b>consomme de l'énergie</b> pour le faire.\n\nPrincipalement augmentée par certains types d'armure et les maîtrises.",""
"FreeBarrier_0Name","Barrière gratuite",""
"FreeBarrier_1Description","Ajoute son effet à l'incantation <b>sans consommer</b> d'énergie.\n\nPrincipalement augmentée par les boucliers et les maîtrises.",""
"VitalityDamage_0Name","Dégâts de vitalité",""
"VitalityDamage_1Description","Les dégâts de vitalité ont 10 % de vol de vie.",""
"ElementalInfusion_0Name","Infusion élémentaire",""
"ElementalInfusion_1Description","Durée : <b>30s</> \r\n\r\nTant que vous avez une capacité d'Infusion équipée, utiliser une capacité de Feu, de Froid ou de Foudre octroie une infusion du même type.\r\nVous ne pouvez avoir qu'une seule infusion à la fois. En générer une nouvelle supprime l'infusion actuelle.\r\nLes infusions élémentaires peuvent être consommées pour renforcer des capacités.",""
"ElementalInfusion_1BuffName_Fire","Infusion de feu",""
"ElementalInfusion_2BuffDescription_Fire","Renforce votre prochaine capacité d'Infusion avec des dégâts de feu supplémentaires.",""
"ElementalInfusion_1BuffName_Cold","Infusion de froid",""
"ElementalInfusion_2BuffDescription_Cold","Renforce votre prochaine capacité d'Infusion avec des <me_ColdDam>Dégâts de froid</> supplémentaires.",""
"ElementalInfusion_1BuffName_Lightning","Infusion de foudre",""
"ElementalInfusion_2BuffDescription_Lightning","Renforce votre prochaine capacité d'Infusion avec des dégâts de foudre supplémentaires.",""
"Armor_0Name","Armure",""
"Armor_1Description","L'armure réduit les dégâts physiques selon le type.\r\nPar exemple, l'armure de frappe réduit les <me_StrikeDam>Dégâts de frappe</>.",""
"Resistance_0Name","Résistance",""
"Resistance_1Description","La résistance réduit les dégâts du type correspondant.\r\nElle aide également à résister à l'application de l'affliction appropriée.",""
"AilmentChance_0Name","Chances d'affliction",""
