Key,SourceString,DevComment
"locked","Locked","used to show gate is locked"
"unlocked","Unlocked","used to show gate is unlocked"
"dye_phial_filled","Dye Phial Filled",""
"death_message","You Are Not Fated To Die Here",""
"quest_completed","Quest Completed",""
"level_up","Level Up",""
"death_message_hardcore","Your Thread Has Been Severed",""
"stash_full","Caravan Tab Full",""
"stash_not_selected","No Caravan Tab Open",""
"lever_handle_missing","Handle Missing","Used when lever handle not socketed in lever multi state actor"
"lever_handle_returned","Handle Returned","Used when lever is returned to the socket of lever multi state actor"
"gather_invitation","would like to gather",""
"gather_party","Gather Your Party",""
"leave_the_area","would like you to leave the area",""
"cant_join_bossfight","Cannot Reenter Fight",""
"caravan_merged_title","We updated your item stash!",""
"caravan_merged_description","In a recent update we combined the Multiplayer and Singleplayer versions of the game into one version.\r\nThis means all your multiplayer characters were transferred over.\r\nWe have moved all items from their shared stash tabs into your current stash.\r\nIn the process we might have unlocked some previously locked stash tabs for you.",""
"caravan_merged_not_complete_title","Too many items to merge stash!",""
"caravan_merged_not_complete_description","While moving items over from your Multiplayer shared stash we ran out of space.\r\nThere are still {0} items waiting to be moved.\r\nPlease make room in your stash. Once you re-log with this character, the remaining items will be processed.\r\nNote: This process can be repeated multiple times. So no need to do it all in one go if you don\'t want to or lack the space.\r\nYou also have the option to discard the items. Note that this will delete them and you cannot get them back.",""
"caravan_merged_not_complete_yes","Continue",""
"caravan_merged_not_complete_no","Discard Items",""
