Key,SourceString,DevComment
"ritual_xyz_description","Description of my ritual",""
"ritual_xyz_name","Ritual Name",""
"ritual_attribute_reset_name","Reset Attributes",""
"ritual_attribute_reset_description","• Refund all invested attribute points",""
"ritual_boss_respawn_name","Revive Boss",""
"ritual_boss_respawn_description","• Revive this arena\'s boss",""
"ritual_adjust_difficulty_name","Adjust Difficulty","Shown as name of the ritual"
"ritual_adjust_difficulty_description","• Increase or decrease difficulty","Shown in the description of the ritual"
"ritual_respawn_enemies_name","Respawn Enemies",""
"ritual_respawn_enemies_description","• Respawn enemies in the area",""
"ritual_adjust_difficulty_short_description","• Increase or decrease difficulty","Shown in the ritual category's description"
"ritual_attribute_reset_short_description","• Refund all invested attribute points",""
"ritual_boss_respawn_short_description","• Revive this arena\'s boss",""
"ritual_respawn_enemies_short_description","• Respawn enemies in the area",""
"shrine_name_default","Ritual Shrine",""
"ritual_successful","Ritual Successful",""
"ritual_spawn_fight_name","Ritual Of Fighting",""
"ritual_spawn_fight_description","• Start a challenging fight",""
"ritual_spawn_fight_short_description","• Start a challenging fight",""
"ritual_category_name_debug","Ritual Category",""
"ritual_category_flavour_debug","<i>Much have I suffered, labored long and hard by now in the waves and wars. Add this to the total - bring the trial on! </>",""
"ritual_category_description_debug","This is a description of available rituals",""
"ritual_category_description_reweaving","<b>• Costs various amounts of gold</>",""
"ritual_category_flavour_reweaving","<i>Invoking Athena, the goddess of skill and strategy, allows exploration of alternate tactics from those already committed to.</>",""
"ritual_category_name_reweaving","Rituals Of Athena",""
"ritual_category_description_fateremembered","<b>• Costs various amounts of gold</>",""
"ritual_category_name_fateremembered","Rituals Of Ares",""
"ritual_category_flavour_fateremembered","<i>Invoking Ares, the god of battle and glory, allows for even greater martial challenges, as well as the chance to face old foes.</>",""
"ritual_category_choose_ritual","<b>• Choose from these options:</>",""
"shrine_name_major_shrine","Major Shrine",""
"shrine_name_minor_shrine","Minor Shrine",""
"ritual_modal_adjust_difficulty","Adjust Difficulty",""
"ritual_modal_adjust_difficulty_description","Choose how many levels you want to increase or decrease enemy levels by.\r\nThe cost of the ritual scales based on the difference in levels.",""
"ritual_modal_adjust_difficulty_current","Current Enemy Level:",""
"ritual_adjust_min_level_name","Adjust Minimum Enemy Level",""
"ritual_adjust_min_level_description","• Elevate enemy levels in previous areas",""
"ritual_adjust_min_level_short_description","• Elevate minimum enemy level",""
"ritual_modal_adjust_min_level_description","Elevate the minimum level of enemies to your current level.\r\nThe cost of the ritual scales based on the increase.",""
"ritual_modal_adjust_min_level_current","Current Minimum Level:",""
"ritual_modal_adjust_min_level_new","New Minimum Level",""
"ritual_suffix_per_level","per Level",""
"ritual_modal_generic_title","Confirm Ritual",""
"ritual_modal_generic_description","Are you sure you want to activate this ritual?",""
"ritual_easy_mode_description","• Raise the difficulty to <b>Normal</>",""
"ritual_easy_mode_name","Exit Neophyte Mode",""
"ritual_easy_mode_short_description","• Raise the difficulty to <b>Normal</>",""
"multiplayer_disclaimer","Rituals are not available in multiplayer sessions yet.",""
"multiplayer_title","Note",""
"ritual_boss_respawn_notification","Memory unlocked",""
"require_exit_from_boss_area","Ask to leave",""
"ritual_not_available_in_multiplayer_tooltip","Ritual is not available in multiplayer.",""
