Key,SourceString,DevComment
"ability_slot_1","Ability Slot 2",""
"ability_slot_2","Ability Slot 3",""
"ability_slot_3","Ability Slot 4",""
"ability_slot_4","Ability Slot 5",""
"ability_slot_5","Ability Slot 6",""
"ability_slot_6","Ability Slot 7",""
"ability_slot_7","Ability Slot 8",""
"ability_slot_8","Ability Slot 9",""
"potion_slot_1","Potion Slot 1",""
"ability_slot_9","Ability Slot 10",""
"potion_slot_2","Potion Slot 2",""
"ability_slot_0","Ability Slot 1",""
"weapon_swap","Swap Bar",""
"weapon_set_a","Weapon Set I",""
"weapon_set_b","Weapon Set II",""
"loadout_switch_button_description_1","Switch to Quick Slot Bar I\r\nand Weapon Set I",""
"loadout_switch_button_description_2","Switch to Quick Slot Bar II\r\nand Weapon Set II",""
