Key,SourceString
"IncreasedDamage","<b>{Value}|fmt(min_frac=0,max_frac=1)%</> de dégâts supplémentaires"
"IncreasedPhysicalDamage","<b>{Value}|fmt(min_frac=0,max_frac=1)%</> de <me_Physical>Dégâts physiques</> supplémentaires"
"IncreasedElementalDamage","<b>{Value}|fmt(min_frac=0,max_frac=1)%</> de dégâts élémentaires supplémentaires"
"IncreasedBleedDamage","<b>{Value}|fmt(min_frac=0,max_frac=1)%</> de dégâts de <me_Bleed>Saignement</> supplémentaires"
"IncreasedStaggerPower","<b>{Value}|fmt(min_frac=0,max_frac=1)%</> de <me_AilmentPower>Puissance</> d'<me_Stagger>Étourdissement</> supplémentaire"
"IncreasedRetaliationDamage","<b>{Value}|fmt(min_frac=0,max_frac=1)%</> de dégâts de <me_Retaliate>Représailles</> supplémentaires"
"IncreasedPhysicalRetaliationDamage","<b>{Value}|fmt(min_frac=0,max_frac=1)%</> de dégâts de <me_Retaliate>Représailles</> <me_Physical>physiques</> supplémentaires"
"MoreRetaliationDamage","<b>{Value}|fmt(min_frac=0,max_frac=1)%</> de dégâts de <me_Retaliate>Représailles</> multipliés"
"SummonIncreasedDamage","Vos <me_Summon>Invocations</> ont <b>{Value}|fmt(min_frac=0,max_frac=1)%</> de dégâts supplémentaires"
"DeviceIncreasedDamage","Vos compétences de <me_Device>Dispositif</> et vos <me_Device>Dispositifs</> ont <b>{Value}|fmt(min_frac=0,max_frac=1)%</> de dégâts supplémentaires"
"DeviceIncreasedActivationSpeed","Vos <me_Device>Dispositifs</> activables ont <b>{Value}|fmt(min_frac=0,max_frac=1)%</> de vitesse d'<me_Activation>Activation</> supplémentaire"
"DeviceIncreasedActivations","Vos <me_Device>Dispositifs</> activables ont <b>{Value}|fmt(min_frac=0,max_frac=1)%</> d'<me_Activation>Activations</> supplémentaires"
"DeviceAddDoubleActivationChance","Vos <me_Device>Dispositifs</> activables ont <b>+{Value}|fmt(min_frac=0,max_frac=1)%</> de chances de double <me_Activation>Activation</>"
"MoreDamage","<b>{Value}|fmt(min_frac=0,max_frac=1)%</> de dégâts multipliés"
"SummonMoreDamage","Vos <me_Summon>Invocations</> infligent <b>{Value}|fmt(min_frac=0,max_frac=1)%</> de dégâts multipliés"
"AddCritChance","<b>+{Value}|fmt(min_frac=0,max_frac=1)%</> de chances de <me_Critical>Coup critique</>"
"SummonAddCritChance","Vos <me_Summon>Invocations</> ont <b>+{Value}|fmt(min_frac=0,max_frac=1)%</> de chances de <me_Critical>Coup critique</>"
"IncreasedHealth","<b>{Value}|fmt(min_frac=0,max_frac=1)%</> de vie supplémentaire"
"SummonIncreasedHealth","Vos <me_Summon>Invocations</> ont <b>{Value}|fmt(min_frac=0,max_frac=1)%</> de vie supplémentaire"
"IncreasedArmor","<b>{Value}|fmt(min_frac=0,max_frac=1)%</> d'<me_Armor>Armure</> supplémentaire"
"SummonIncreasedArmor","Vos <me_Summon>Invocations</> ont <b>{Value}|fmt(min_frac=0,max_frac=1)%</> d'<me_Armor>Armure</> supplémentaire"
"AddArmor","<b>+{Value}|floor()</> d'<me_Armor>Armure</>"
"SummonAddArmor","Vos <me_Summon>Invocations</> ont <b>+{Value}|floor()</> d'<me_Armor>Armure</>"
"AddScrapMax","<b>+{Value}|floor()</> maximum de <me_DivineCore>Cœurs divins</>"
"AddDoubleScrapChance","Les ennemis ont <b>+{Value}|floor()%</> de chances de lâcher le double de <me_DivineCore>Cœurs divins</>"
"IncreasedScrapCollectionRange","<b>{Value}|fmt(min_frac=0,max_frac=1)%</> de portée de collecte de <me_DivineCore>Cœurs divins</> supplémentaire"
