Key,SourceString,DevComment
"abstract_personal_portal","Personal Portal ({0})",""
"abstract_death_portal","Recovery Portal ({0})",""
"00_start","Home",""
"00_shrine1","Proti Village Outskirts",""
"00_proti_village","Proti Village",""
"00_escape_cave","Mountain Descent",""
"00_climb","Upper Cliffs",""
"00_mountain_top","Gryphon\'s Nest",""
"01_pyrgos","Pyrgos Village",""
"01_prehub_beach_shore","Desolate Shore",""
"01_vineyard_entrance","Vineyard Entrance",""
"01_moirai_gate","Moirai Temple Gate",""
"01_moirai_realm","Moirai Realm",""
"01_enclave","The Enclave",""
"01_moirai_cave","Moirai Temple Entrance",""
"01_center","Central Farmlands",""
"01_east","Eastern Farmlands",""
"01_south_east","Southeastern Farmlands",""
"01_south","Southern Farmlands",""
"01_moirai_cave_spartan","The Blocked Gate",""
"01_moirai_cave_divine_challenge","Moirai Temple Dungeon",""
"01_moirai_cave_mid_point","Gallery of Lachesis",""
"01_moirai_cave_inner_sanctum","Portal of Fate",""
"01_prehub_beach_cliff","Clifftop Path",""
"01_prehub_cave_exit","Broken Road",""
"01_prehub_bridge","The Great Dam",""
"01_prehub_outskirts","Pyrgos Outskirts",""
"01_bandits","Lookout\'s Vantage",""
"01_desecrated_shrine","Desecrated Shrine",""
"01_graveyard","Graveyard",""
"01_erana_ruins","Erana Ruins",""
"01_tavern_crossroads","Farmland Crossroads",""
"01_ruined_tower_crossroads","Ruined Tower Crossroads",""
"01_vineyard_cliffside","Vineyard Cliffside",""
"02_moirai_cave_exit","Moirai Cave Exit",""
"02_explorer_camp","Travelers\' Refuge",""
"02_digsite","Ichthian Dig Site",""
"02_digsite_burial_cave","Burial Caves Entrance",""
"02_digsite_hill","Coastal Foothills",""
"02_gryphon_mountain","Foot of the Mountain",""
"02_gryphon","Gryphon\'s Lair",""
"02_sunken_temple_arrive","Sunken Temple Entrance",""
"02_sunken_temple_nemesis","Sunken Temple Center",""
"02_sunken_temple_end","Skylla\'s Lair",""
"02_sunken_temple_portal","Ancient Portal",""
"02_ship_graveyard","Ship Graveyard",""
"02_mycenaean_plateau","Ruined Paths",""
"02_fortress_outer","Stronghold Outskirts",""
"02_fortress_cave","Cursed Passage",""
"02_fortress_inner","Ichthian Fortress",""
"02_fortress_arena","Heart of the Stronghold",""
"02_south_road_crossing","Southern Road",""
"02_east_roaming_cliffs","Eastern Wilderness",""
"02_east_roaming_area","Cliffside Bridge",""
"02_south_west_coast","Treacherous Coast",""
"02_north_west_coast","North Ionian Coast",""
"03_tegea","City of Tegea",""
"03_outpost","Rebel Outpost",""
"03_dried_lake_shore","Shores of Lake Taka",""
"03_centaur_stronghold","Brandbearer Warcamp",""
"03_south_roaming_sewer","Tegea Sewers",""
"03_ixion_palace_outer","Outer Palace Ruins",""
"03_ixion_palace_throne","King Ixion\'s Throne Room",""
"03_ixion_palace_start","Ixion\'s Palace",""
"03_intro_temple","Shrine of Hephaistos",""
"03_tegea_outskirts","Northern Outskirts of Tegea",""
"03_quarry","Doliana Quarry",""
"03_olymp","Mount Olympos",""
