Key,SourceString,DevComment
"dodge_title","Esquive",""
"dodge_text","Appuyez sur <gga id=\""bp_bga_player_generic_dodge\""/> pour <b>Esquiver</b>.",""
"combat_basics_title","Attaque",""
"combat_basics_text","Appuyez sur <gga id=\""bp_selector_player_standardWeaponAttack\""/> pour <b>Attaquer</b>.",""
"inventory_title","Inventaire",""
"inventory_text","Les dieux vous ont accordé des dépouilles.\r\n\r\nAppuyez sur <gia id=\""ia_UI_window_inventory\""/> pour ouvrir votre <b>Inventaire</b>.",""
"mastery_window_text","Les dieux vous ont accordé leur bénédiction.\r\n\r\nAppuyez sur <gia id=\""ia_UI_window_masteries\""/> pour ouvrir l'<b>écran des Maîtrises</b> et choisir votre première Maîtrise.",""
"mastery_window_title","Choisir une Maîtrise",""
"attribute_window_text","Vous avez gagné de nouveaux <b>Points d'attribut</b>. Appuyez sur <gia id=\""ia_UI_window_attributes\""/> pour les dépenser.",""
"attribute_window_title","Points d'attribut",""
"mastery_passives_title","Traits passifs",""
"mastery_passives_text","Dépensez des <b>Points de passif</b> en appuyant sur le <b>[+]</b> du trait passif.\r\nLes traits passifs débloquent de puissantes <b>Aptitudes</b> lorsque vous y investissez assez de points.\r\n\r\nCliquez sur un trait passif pour équiper des Aptitudes.",""
"mastery_actives_title","Capacités actives et passives",""
"mastery_actives_text","Augmentez le niveau de vos <b>Compétences actives</b> en cliquant sur leur <b>[+]</b> respectif pour les débloquer.\r\n\r\nCela donne également de la <b>Capacité</b> à la compétence, que vous pouvez utiliser pour assigner de puissants <b>Modificateurs</b> afin de la personnaliser.\r\nNe vous inquiétez pas, vous pourrez toujours réinitialiser vos choix plus tard !",""
"equipping_modifiers_title","Assigner des Modificateurs",""
"equipping_modifiers_text","Vous pouvez assigner des Modificateurs à vos compétences en <b>cliquant dessus</b>.\r\nChaque modificateur requiert de la <b>Capacité</b>. Vous pouvez augmenter la Capacité en augmentant le niveau de la compétence.\r\nDe nombreux modificateurs ont aussi des <b>rangs</b>. Cliquez <b>plusieurs fois</b> dessus pour insérer un rang supérieur, ce qui coûtera <b>plus de Capacité</b>.",""
"potions_title","Potions",""
"potions_text","Les potions restaurent la Santé <gia id=\""ia_character_potion_a\""/> ou l'Énergie <gia id=\""ia_character_potion_b\""/>.\r\n\r\nVous récupérez des potions de <b>Santé</b> en <b>infligeant des dégâts</b> aux ennemis.\r\nLes potions d'<b>Énergie</b> se restaurent <b>avec le temps</b>.",""
"death_title","Mort",""
"death_text","Vous avez été terrassé, mais les Moires ont décrété que votre heure n'était pas encore venue.\r\n\r\nInteragissez avec un <b>Point de renaissance</b> pour utiliser votre <b>Portail de récupération</b> et vous téléporter sur le lieu de votre mort.",""
"interactions_title","Interagir",""
"interactions_text","<input>Clic gauche</> pour interagir avec les autres personnages et les objets de l'environnement.",""
"open_map_title","La Carte",""
"open_map_text","Appuyez sur <gia id=\""ia_UI_window_map\""/> pour ouvrir votre Carte.",""
"attribute_basics_title","Bases des Attributs",""
"attribute_basics_text","Dépensez des points dans les <b>Attributs principaux</b> en cliquant sur le <b>[+]</b> au survol.\r\nDes attributs principaux élevés vous permettent de porter des équipements plus puissants !\r\nIls augmentent aussi les <b>Attributs secondaires</b>, qui accroissent certains types de dégâts.",""
"mastery_core_title","Compétences de base",""
"mastery_core_text","Vous pouvez aussi améliorer et personnaliser vos <b>Compétences de base</b> !\r\nSélectionnez l'onglet <b>Base</b> dans l'écran des Maîtrises pour ce faire.\r\nVotre <b>choix de Maîtrise</b> débloque parfois des <b>Modificateurs uniques</b> pour ces compétences !",""
"exploration_title","Exploration",""
"exploration_text","C'est <b>votre voyage</b> ! Le monde de <i>Titan Quest II</i> est façonné à la main et regorge de secrets, d'aventures et de créatures mythologiques à découvrir.\r\n\r\nChaque lieu de quête ou rencontre n'est pas forcément marqué. <b>Explorez</b>, soyez attentif à l'environnement et parlez aux PNJ pour découvrir de nouveaux lieux, des combats épiques et des <b>récompenses légendaires</b>.",""
"modifier_window_title","Modificateurs de capacité",""
"modifier_window_text","Vous pouvez <b>cliquer sur une capacité</b> pour ouvrir la <b>Fenêtre des modificateurs</b> afin de personnaliser la capacité à votre guise et la renforcer.",""
"personal_portal_title","Portail personnel",""
"personal_portal_text","Appuyez sur <gia id=\""ia_character_place_portal\""/> pour ouvrir votre <b>portail personnel</b>.\r\n\r\nIl vous permettra de voyager vers <b>n'importe quel autre point de passage ou portail</b>, tant qu'aucun ennemi n'est à proximité.",""
"portal_return_title","Retour par les portails",""
"portal_return_text","Votre <b>Portail personnel</b> reste actif après votre retour en ville.\r\n\r\nInteragissez avec un <b>Point de passage</b> et sélectionnez votre <b>Portail personnel</b> dans la liste pour l'emprunter en sens inverse.",""
"rituals_title","Rituels",""
"rituals_text","Les <b>Autels de rituel</b> vous permettent d'accomplir des rituels contre une <b>somme d'or</b>.\r\n\r\nCeux-ci peuvent avoir divers effets.\r\n\r\nActuellement, vous pouvez :\r\n\r\n• Réinitialiser vos Attributs\r\n\r\n• Changer le niveau des ennemis\r\n  dans le monde entier, pour augmenter\r\n  le défi et les récompenses si vous\r\n  le souhaitez",""
"barrier_title","Barrière",""
"barrier_text","Vous pouvez utiliser votre <b>Compétence de barrière</b> pour booster temporairement votre défense.\r\n\r\nUtilisez la compétence <b>Barrière</b> (<gga id=\""bp_bga_player_generic_barrier_p\""/>) pour vous défendre activement et obtenir une protection supplémentaire.\r\n\r\nÉquiper un bouclier ou porter certains types d'armures augmente l'efficacité de cette compétence.",""
"category_default","Divers",""
"category_mastery","Maîtrise",""
"category_combat","Combat",""
"category_attributes","Attributs",""
"category_portals","Portails",""
"ailments_apply_title","Afflictions - Application",""
"ailments_apply_text","Les afflictions sont des <b>effets négatifs</b> qui s'appliquent sous forme de <b>cumuls</b> sur les ennemis et les joueurs.\r\n\r\nIl y a 3 étapes lors de l'application :\r\n• <b>Attaque :</b> chaque attaque possède une Chance d'affliction qui définit si elle doit s'appliquer.\r\n• <b>Résistance :</b> la cible résiste ensuite à l'affliction en utilisant ses Résistances.\r\n• <b>Définition du type :</b> si l'affliction est appliquée, le <b>type d'affliction</b> est choisi. Il dépend des <b>types de dégâts</b> de l'attaque. Plus un type de dégâts est <b>élevé</b>, plus la <b>chance</b> que son affliction soit choisie est grande.\r\n\r\nSi la Chance d'affliction est <b>supérieure à 100%</b>, un <b>jet supplémentaire</b> est effectué pour tenter d'appliquer un <b>2e cumul</b>, et ainsi de suite.",""
"ailments_effect_title","Afflictions - Effets",""
